iso3166,geography,units,unitsshort,period,value
USA,USA,Billion Cubic Feet,Bcf,2019,
USA,USA,Billion Cubic Feet,Bcf,2018,
USA,USA,Billion Cubic Feet,Bcf,2017,
USA,USA,Billion Cubic Feet,Bcf,2016,
USA,USA,Billion Cubic Feet,Bcf,2015,32940.0
USA,USA,Billion Cubic Feet,Bcf,2014,47071.0
USA,USA,Billion Cubic Feet,Bcf,2013,51074.0
USA,USA,Billion Cubic Feet,Bcf,2012,47053.0
USA,USA,Billion Cubic Feet,Bcf,2011,47635.0
USA,USA,Billion Cubic Feet,Bcf,2010,46283.0
USA,USA,Billion Cubic Feet,Bcf,2009,43500.0
USA,USA,Billion Cubic Feet,Bcf,2008,27800.0
USA,USA,Billion Cubic Feet,Bcf,2007,28255.0
USA,USA,Billion Cubic Feet,Bcf,2006,22834.0
USA,USA,Billion Cubic Feet,Bcf,2005,22069.0
USA,USA,Billion Cubic Feet,Bcf,2004,19068.0
USA,USA,Billion Cubic Feet,Bcf,2003,17195.0
USA,USA,Billion Cubic Feet,Bcf,2002,15468.0
USA,USA,Billion Cubic Feet,Bcf,2001,17183.0
USA,USA,Billion Cubic Feet,Bcf,2000,15550.0
USA,USA,Billion Cubic Feet,Bcf,1999,7401.0
USA,USA,Billion Cubic Feet,Bcf,1998,8630.0
USA,USA,Billion Cubic Feet,Bcf,1997,11179.0
USA,USA,Billion Cubic Feet,Bcf,1996,8189.0
USA,USA,Billion Cubic Feet,Bcf,1995,7204.0
USA,USA,Billion Cubic Feet,Bcf,1994,7299.0
USA,USA,Billion Cubic Feet,Bcf,1993,6376.0
USA,USA,Billion Cubic Feet,Bcf,1992,4895.0
USA,USA,Billion Cubic Feet,Bcf,1991,5298.0
USA,USA,Billion Cubic Feet,Bcf,1990,8287.0
USA,USA,Billion Cubic Feet,Bcf,1989,6623.0
USA,USA,Billion Cubic Feet,Bcf,1988,7132.0
USA,USA,Billion Cubic Feet,Bcf,1987,4818.0
USA,USA,Billion Cubic Feet,Bcf,1986,6359.0
USA,USA,Billion Cubic Feet,Bcf,1985,7535.0
USA,USA,Billion Cubic Feet,Bcf,1984,8688.0
USA,USA,Billion Cubic Feet,Bcf,1983,7263.0
USA,USA,Billion Cubic Feet,Bcf,1982,8754.0
USA,USA,Billion Cubic Feet,Bcf,1981,10979.0
USA,USA,Billion Cubic Feet,Bcf,1980,9757.0
USA,USA,Billion Cubic Feet,Bcf,1979,9332.0
USA,USA,Billion Cubic Feet,Bcf,2019,
USA,USA,Billion Cubic Feet,Bcf,2018,
USA,USA,Billion Cubic Feet,Bcf,2017,
USA,USA,Billion Cubic Feet,Bcf,2016,
USA,USA,Billion Cubic Feet,Bcf,2015,183.0
USA,USA,Billion Cubic Feet,Bcf,2014,215.0
USA,USA,Billion Cubic Feet,Bcf,2013,271.0
USA,USA,Billion Cubic Feet,Bcf,2012,349.0
USA,USA,Billion Cubic Feet,Bcf,2011,98.0
USA,USA,Billion Cubic Feet,Bcf,2010,333.0
USA,USA,Billion Cubic Feet,Bcf,2009,298.0
USA,USA,Billion Cubic Feet,Bcf,2008,924.0
USA,USA,Billion Cubic Feet,Bcf,2007,675.0
USA,USA,Billion Cubic Feet,Bcf,2006,751.0
USA,USA,Billion Cubic Feet,Bcf,2005,660.0
USA,USA,Billion Cubic Feet,Bcf,2004,1228.0
USA,USA,Billion Cubic Feet,Bcf,2003,921.0
USA,USA,Billion Cubic Feet,Bcf,2002,1041.0
USA,USA,Billion Cubic Feet,Bcf,2001,1421.0
USA,USA,Billion Cubic Feet,Bcf,2000,2096.0
USA,USA,Billion Cubic Feet,Bcf,1999,955.0
USA,USA,Billion Cubic Feet,Bcf,1998,1097.0
USA,USA,Billion Cubic Feet,Bcf,1997,1674.0
USA,USA,Billion Cubic Feet,Bcf,1996,1646.0
USA,USA,Billion Cubic Feet,Bcf,1995,1583.0
USA,USA,Billion Cubic Feet,Bcf,1994,1456.0
USA,USA,Billion Cubic Feet,Bcf,1993,1427.0
USA,USA,Billion Cubic Feet,Bcf,1992,663.0
USA,USA,Billion Cubic Feet,Bcf,1991,1068.0
USA,USA,Billion Cubic Feet,Bcf,1990,804.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2012,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2011,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2010,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2009,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2008,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2007,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2006,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2005,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2004,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2003,5.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2002,10.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2001,13.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2000,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1999,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1998,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1997,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1996,31.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1995,4.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1994,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1993,5.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1992,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1991,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1990,6.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1989,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1988,26.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1987,6.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1986,116.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1980,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1979,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,11.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2012,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2011,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2010,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2009,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2008,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2007,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2006,5.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2005,6.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2004,9.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2003,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2002,3.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2001,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2000,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1999,56.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1998,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1997,16.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1996,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1995,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1994,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1993,3.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1992,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1991,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1990,16.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1989,5.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1988,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1987,2.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1986,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1985,10.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1984,13.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1983,7.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1982,29.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1981,11.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1980,3.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1979,6.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,73.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,2.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2012,3.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2011,71.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2010,9.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2009,472.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2008,102.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2007,14.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2006,176.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2005,126.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2004,55.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2003,56.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2002,82.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2001,206.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2000,111.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1999,8.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1998,47.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1997,56.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1996,15.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1995,29.0
