iso3166,geography,units,unitsshort,period,value
USA,USA,Billion Cubic Feet,Bcf,2019,
USA,USA,Billion Cubic Feet,Bcf,2018,
USA,USA,Billion Cubic Feet,Bcf,2017,
USA,USA,Billion Cubic Feet,Bcf,2016,
USA,USA,Billion Cubic Feet,Bcf,2015,31.0
USA,USA,Billion Cubic Feet,Bcf,2014,671.0
USA,USA,Billion Cubic Feet,Bcf,2013,263.0
USA,USA,Billion Cubic Feet,Bcf,2012,780.0
USA,USA,Billion Cubic Feet,Bcf,2011,987.0
USA,USA,Billion Cubic Feet,Bcf,2010,895.0
USA,USA,Billion Cubic Feet,Bcf,2009,1423.0
USA,USA,Billion Cubic Feet,Bcf,2008,1229.0
USA,USA,Billion Cubic Feet,Bcf,2007,814.0
USA,USA,Billion Cubic Feet,Bcf,2006,425.0
USA,USA,Billion Cubic Feet,Bcf,2005,973.0
USA,USA,Billion Cubic Feet,Bcf,2004,790.0
USA,USA,Billion Cubic Feet,Bcf,2003,1252.0
USA,USA,Billion Cubic Feet,Bcf,2002,1374.0
USA,USA,Billion Cubic Feet,Bcf,2001,3668.0
USA,USA,Billion Cubic Feet,Bcf,2000,2055.0
USA,USA,Billion Cubic Feet,Bcf,1999,1622.0
USA,USA,Billion Cubic Feet,Bcf,1998,1116.0
USA,USA,Billion Cubic Feet,Bcf,1997,2747.0
USA,USA,Billion Cubic Feet,Bcf,1996,1491.0
USA,USA,Billion Cubic Feet,Bcf,1995,1709.0
USA,USA,Billion Cubic Feet,Bcf,1994,1941.0
USA,USA,Billion Cubic Feet,Bcf,1993,927.0
USA,USA,Billion Cubic Feet,Bcf,1992,668.0
USA,USA,Billion Cubic Feet,Bcf,1991,871.0
USA,USA,Billion Cubic Feet,Bcf,1990,2041.0
USA,USA,Billion Cubic Feet,Bcf,1989,1488.0
USA,USA,Billion Cubic Feet,Bcf,1988,1677.0
USA,USA,Billion Cubic Feet,Bcf,1987,1128.0
USA,USA,Billion Cubic Feet,Bcf,1986,1122.0
USA,USA,Billion Cubic Feet,Bcf,1985,1040.0
USA,USA,Billion Cubic Feet,Bcf,1984,2584.0
USA,USA,Billion Cubic Feet,Bcf,1983,1628.0
USA,USA,Billion Cubic Feet,Bcf,1982,2785.0
USA,USA,Billion Cubic Feet,Bcf,1981,3870.0
USA,USA,Billion Cubic Feet,Bcf,1980,2629.0
USA,USA,Billion Cubic Feet,Bcf,1979,3279.0
USA,USA,Billion Cubic Feet,Bcf,2019,
USA,USA,Billion Cubic Feet,Bcf,2018,
USA,USA,Billion Cubic Feet,Bcf,2017,
USA,USA,Billion Cubic Feet,Bcf,2016,
USA,USA,Billion Cubic Feet,Bcf,2015,31.0
USA,USA,Billion Cubic Feet,Bcf,2014,399.0
USA,USA,Billion Cubic Feet,Bcf,2013,88.0
USA,USA,Billion Cubic Feet,Bcf,2012,87.0
USA,USA,Billion Cubic Feet,Bcf,2011,590.0
USA,USA,Billion Cubic Feet,Bcf,2010,71.0
USA,USA,Billion Cubic Feet,Bcf,2009,310.0
USA,USA,Billion Cubic Feet,Bcf,2008,321.0
USA,USA,Billion Cubic Feet,Bcf,2007,618.0
USA,USA,Billion Cubic Feet,Bcf,2006,114.0
USA,USA,Billion Cubic Feet,Bcf,2005,649.0
USA,USA,Billion Cubic Feet,Bcf,2004,258.0
USA,USA,Billion Cubic Feet,Bcf,2003,931.0
USA,USA,Billion Cubic Feet,Bcf,2002,1129.0
USA,USA,Billion Cubic Feet,Bcf,2001,2708.0
USA,USA,Billion Cubic Feet,Bcf,2000,1606.0
USA,USA,Billion Cubic Feet,Bcf,1999,1212.0
USA,USA,Billion Cubic Feet,Bcf,1998,748.0
USA,USA,Billion Cubic Feet,Bcf,1997,2293.0
USA,USA,Billion Cubic Feet,Bcf,1996,736.0
USA,USA,Billion Cubic Feet,Bcf,1995,1183.0
USA,USA,Billion Cubic Feet,Bcf,1994,1598.0
USA,USA,Billion Cubic Feet,Bcf,1993,692.0
USA,USA,Billion Cubic Feet,Bcf,1992,279.0
USA,USA,Billion Cubic Feet,Bcf,1991,554.0
USA,USA,Billion Cubic Feet,Bcf,1990,1237.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2012,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2011,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2010,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2009,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2008,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2007,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2006,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2005,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2004,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2003,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2002,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2001,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2000,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1999,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1998,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1997,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1996,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1995,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1994,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1993,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1992,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1991,3.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1990,2.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1989,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1988,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1987,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1986,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1980,15.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1979,73.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2012,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2011,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2010,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2009,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2008,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2007,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2006,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2005,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2004,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2003,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2002,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2001,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2000,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1999,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1998,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1997,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1996,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1995,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1994,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1993,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1992,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1991,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1990,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1989,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1988,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1987,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1986,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1985,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1984,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1983,31.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1982,2.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1981,3.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1980,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1979,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2012,4.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2011,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2010,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2009,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2008,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2007,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2006,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2005,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2004,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2003,5.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2002,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2001,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2000,7.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1999,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1998,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1997,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1996,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1995,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1994,0.0
