iso3166,geography,units,unitsshort,period,value
USA,USA,Billion Cubic Feet,Bcf,2019,87998.0
USA,USA,Billion Cubic Feet,Bcf,2018,69153.0
USA,USA,Billion Cubic Feet,Bcf,2017,31629.0
USA,USA,Billion Cubic Feet,Bcf,2016,56706.0
USA,USA,Billion Cubic Feet,Bcf,2015,119757.0
USA,USA,Billion Cubic Feet,Bcf,2014,54344.0
USA,USA,Billion Cubic Feet,Bcf,2013,46721.0
USA,USA,Billion Cubic Feet,Bcf,2012,88119.0
USA,USA,Billion Cubic Feet,Bcf,2011,56127.0
USA,USA,Billion Cubic Feet,Bcf,2010,38339.0
USA,USA,Billion Cubic Feet,Bcf,2009,34563.0
USA,USA,Billion Cubic Feet,Bcf,2008,35195.0
USA,USA,Billion Cubic Feet,Bcf,2007,17468.0
USA,USA,Billion Cubic Feet,Bcf,2006,23739.0
USA,USA,Billion Cubic Feet,Bcf,2005,20647.0
USA,USA,Billion Cubic Feet,Bcf,2004,27291.0
USA,USA,Billion Cubic Feet,Bcf,2003,22495.0
USA,USA,Billion Cubic Feet,Bcf,2002,20202.0
USA,USA,Billion Cubic Feet,Bcf,2001,21617.0
USA,USA,Billion Cubic Feet,Bcf,2000,16938.0
USA,USA,Billion Cubic Feet,Bcf,1999,33051.0
USA,USA,Billion Cubic Feet,Bcf,1998,23419.0
USA,USA,Billion Cubic Feet,Bcf,1997,17655.0
USA,USA,Billion Cubic Feet,Bcf,1996,13757.0
USA,USA,Billion Cubic Feet,Bcf,1995,13457.0
USA,USA,Billion Cubic Feet,Bcf,1994,16509.0
USA,USA,Billion Cubic Feet,Bcf,1993,12853.0
USA,USA,Billion Cubic Feet,Bcf,1992,12532.0
USA,USA,Billion Cubic Feet,Bcf,1991,16189.0
USA,USA,Billion Cubic Feet,Bcf,1990,14024.0
USA,USA,Billion Cubic Feet,Bcf,1989,24624.0
USA,USA,Billion Cubic Feet,Bcf,1988,39569.0
USA,USA,Billion Cubic Feet,Bcf,1987,14933.0
USA,USA,Billion Cubic Feet,Bcf,1986,18557.0
USA,USA,Billion Cubic Feet,Bcf,1985,17045.0
USA,USA,Billion Cubic Feet,Bcf,1984,15418.0
USA,USA,Billion Cubic Feet,Bcf,1983,18385.0
USA,USA,Billion Cubic Feet,Bcf,1982,20141.0
USA,USA,Billion Cubic Feet,Bcf,1981,14413.0
USA,USA,Billion Cubic Feet,Bcf,1980,16531.0
USA,USA,Billion Cubic Feet,Bcf,1979,17300.0
USA,USA,Billion Cubic Feet,Bcf,2019,378.0
USA,USA,Billion Cubic Feet,Bcf,2018,463.0
USA,USA,Billion Cubic Feet,Bcf,2017,889.0
USA,USA,Billion Cubic Feet,Bcf,2016,1227.0
USA,USA,Billion Cubic Feet,Bcf,2015,1673.0
USA,USA,Billion Cubic Feet,Bcf,2014,2349.0
USA,USA,Billion Cubic Feet,Bcf,2013,1377.0
USA,USA,Billion Cubic Feet,Bcf,2012,2748.0
USA,USA,Billion Cubic Feet,Bcf,2011,3104.0
USA,USA,Billion Cubic Feet,Bcf,2010,2312.0
USA,USA,Billion Cubic Feet,Bcf,2009,1917.0
USA,USA,Billion Cubic Feet,Bcf,2008,2061.0
USA,USA,Billion Cubic Feet,Bcf,2007,1912.0
USA,USA,Billion Cubic Feet,Bcf,2006,2871.0
USA,USA,Billion Cubic Feet,Bcf,2005,2938.0
USA,USA,Billion Cubic Feet,Bcf,2004,5844.0
USA,USA,Billion Cubic Feet,Bcf,2003,4187.0
USA,USA,Billion Cubic Feet,Bcf,2002,3831.0
USA,USA,Billion Cubic Feet,Bcf,2001,3944.0
USA,USA,Billion Cubic Feet,Bcf,2000,3590.0
USA,USA,Billion Cubic Feet,Bcf,1999,6572.0
USA,USA,Billion Cubic Feet,Bcf,1998,5059.0
USA,USA,Billion Cubic Feet,Bcf,1997,3872.0
USA,USA,Billion Cubic Feet,Bcf,1996,2945.0
USA,USA,Billion Cubic Feet,Bcf,1995,3766.0
USA,USA,Billion Cubic Feet,Bcf,1994,3910.0
USA,USA,Billion Cubic Feet,Bcf,1993,3119.0
USA,USA,Billion Cubic Feet,Bcf,1992,2896.0
USA,USA,Billion Cubic Feet,Bcf,1991,4690.0
USA,USA,Billion Cubic Feet,Bcf,1990,3275.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,54.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,3.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,2.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,202.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,93.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,20.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,387.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2012,14.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2011,21.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2010,10.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2009,7.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2008,86.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2007,10.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2006,22.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2005,19.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2004,17.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2003,2.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2002,23.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2001,101.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2000,16.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1999,23.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1998,44.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1997,614.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1996,47.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1995,38.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1994,445.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1993,419.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1992,13.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1991,276.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1990,46.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1989,86.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1988,70.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1987,49.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1986,50.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1980,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1979,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,31.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,17.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,23.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,41.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,34.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,25.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,15.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2012,17.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2011,32.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2010,17.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2009,15.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2008,72.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2007,27.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2006,12.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2005,13.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2004,10.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2003,31.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2002,4.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2001,64.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2000,15.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1999,12.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1998,54.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1997,22.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1996,10.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1995,37.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1994,19.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1993,7.0
