iso3166,geography,units,unitsshort,period,value
USA,USA,Billion Cubic Feet,Bcf,2019,52719.0
USA,USA,Billion Cubic Feet,Bcf,2018,41466.0
USA,USA,Billion Cubic Feet,Bcf,2017,72947.0
USA,USA,Billion Cubic Feet,Bcf,2016,56800.0
USA,USA,Billion Cubic Feet,Bcf,2015,38995.0
USA,USA,Billion Cubic Feet,Bcf,2014,55328.0
USA,USA,Billion Cubic Feet,Bcf,2013,49515.0
USA,USA,Billion Cubic Feet,Bcf,2012,42505.0
USA,USA,Billion Cubic Feet,Bcf,2011,56015.0
USA,USA,Billion Cubic Feet,Bcf,2010,42394.0
USA,USA,Billion Cubic Feet,Bcf,2009,32664.0
USA,USA,Billion Cubic Feet,Bcf,2008,31941.0
USA,USA,Billion Cubic Feet,Bcf,2007,33404.0
USA,USA,Billion Cubic Feet,Bcf,2006,21640.0
USA,USA,Billion Cubic Feet,Bcf,2005,23362.0
USA,USA,Billion Cubic Feet,Bcf,2004,28116.0
USA,USA,Billion Cubic Feet,Bcf,2003,20780.0
USA,USA,Billion Cubic Feet,Bcf,2002,21240.0
USA,USA,Billion Cubic Feet,Bcf,2001,19179.0
USA,USA,Billion Cubic Feet,Bcf,2000,24394.0
USA,USA,Billion Cubic Feet,Bcf,1999,44233.0
USA,USA,Billion Cubic Feet,Bcf,1998,29401.0
USA,USA,Billion Cubic Feet,Bcf,1997,22712.0
USA,USA,Billion Cubic Feet,Bcf,1996,18034.0
USA,USA,Billion Cubic Feet,Bcf,1995,21548.0
USA,USA,Billion Cubic Feet,Bcf,1994,22345.0
USA,USA,Billion Cubic Feet,Bcf,1993,18394.0
USA,USA,Billion Cubic Feet,Bcf,1992,18906.0
USA,USA,Billion Cubic Feet,Bcf,1991,20758.0
USA,USA,Billion Cubic Feet,Bcf,1990,19861.0
USA,USA,Billion Cubic Feet,Bcf,1989,27844.0
USA,USA,Billion Cubic Feet,Bcf,1988,24638.0
USA,USA,Billion Cubic Feet,Bcf,1987,18455.0
USA,USA,Billion Cubic Feet,Bcf,1986,22392.0
USA,USA,Billion Cubic Feet,Bcf,1985,19732.0
USA,USA,Billion Cubic Feet,Bcf,1984,18751.0
USA,USA,Billion Cubic Feet,Bcf,1983,18442.0
USA,USA,Billion Cubic Feet,Bcf,1982,20596.0
USA,USA,Billion Cubic Feet,Bcf,1981,17156.0
USA,USA,Billion Cubic Feet,Bcf,1980,17668.0
USA,USA,Billion Cubic Feet,Bcf,1979,17077.0
USA,USA,Billion Cubic Feet,Bcf,2019,821.0
USA,USA,Billion Cubic Feet,Bcf,2018,1225.0
USA,USA,Billion Cubic Feet,Bcf,2017,1346.0
USA,USA,Billion Cubic Feet,Bcf,2016,1238.0
USA,USA,Billion Cubic Feet,Bcf,2015,1532.0
USA,USA,Billion Cubic Feet,Bcf,2014,2409.0
USA,USA,Billion Cubic Feet,Bcf,2013,1375.0
USA,USA,Billion Cubic Feet,Bcf,2012,2980.0
USA,USA,Billion Cubic Feet,Bcf,2011,2567.0
USA,USA,Billion Cubic Feet,Bcf,2010,3082.0
USA,USA,Billion Cubic Feet,Bcf,2009,2365.0
USA,USA,Billion Cubic Feet,Bcf,2008,1740.0
USA,USA,Billion Cubic Feet,Bcf,2007,1862.0
