iso3166,geography,units,unitsshort,period,value
USA,USA,Billion Cubic Feet,Bcf,2019,18692.0
USA,USA,Billion Cubic Feet,Bcf,2018,24875.0
USA,USA,Billion Cubic Feet,Bcf,2017,24916.0
USA,USA,Billion Cubic Feet,Bcf,2016,19566.0
USA,USA,Billion Cubic Feet,Bcf,2015,14682.0
USA,USA,Billion Cubic Feet,Bcf,2014,21729.0
USA,USA,Billion Cubic Feet,Bcf,2013,10186.0
USA,USA,Billion Cubic Feet,Bcf,2012,9950.0
USA,USA,Billion Cubic Feet,Bcf,2011,44575.0
USA,USA,Billion Cubic Feet,Bcf,2010,10582.0
USA,USA,Billion Cubic Feet,Bcf,2009,4377.0
USA,USA,Billion Cubic Feet,Bcf,2008,7911.0
USA,USA,Billion Cubic Feet,Bcf,2007,15518.0
USA,USA,Billion Cubic Feet,Bcf,2006,23904.0
USA,USA,Billion Cubic Feet,Bcf,2005,9632.0
USA,USA,Billion Cubic Feet,Bcf,2004,11583.0
USA,USA,Billion Cubic Feet,Bcf,2003,10593.0
USA,USA,Billion Cubic Feet,Bcf,2002,10665.0
USA,USA,Billion Cubic Feet,Bcf,2001,11885.0
USA,USA,Billion Cubic Feet,Bcf,2000,21355.0
USA,USA,Billion Cubic Feet,Bcf,2019,1379.0
USA,USA,Billion Cubic Feet,Bcf,2018,193.0
USA,USA,Billion Cubic Feet,Bcf,2017,142.0
USA,USA,Billion Cubic Feet,Bcf,2016,311.0
USA,USA,Billion Cubic Feet,Bcf,2015,255.0
USA,USA,Billion Cubic Feet,Bcf,2014,348.0
USA,USA,Billion Cubic Feet,Bcf,2013,1079.0
USA,USA,Billion Cubic Feet,Bcf,2012,618.0
USA,USA,Billion Cubic Feet,Bcf,2011,332.0
USA,USA,Billion Cubic Feet,Bcf,2010,910.0
USA,USA,Billion Cubic Feet,Bcf,2009,162.0
USA,USA,Billion Cubic Feet,Bcf,2008,720.0
USA,USA,Billion Cubic Feet,Bcf,2007,924.0
USA,USA,Billion Cubic Feet,Bcf,2006,2772.0
USA,USA,Billion Cubic Feet,Bcf,2005,885.0
USA,USA,Billion Cubic Feet,Bcf,2004,1408.0
USA,USA,Billion Cubic Feet,Bcf,2003,2077.0
USA,USA,Billion Cubic Feet,Bcf,2002,747.0
USA,USA,Billion Cubic Feet,Bcf,2001,1605.0
USA,USA,Billion Cubic Feet,Bcf,2000,2737.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,11.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2012,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2011,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2010,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2009,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2008,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2007,1.0
