iso3166,geography,units,unitsshort,period,value
USA,USA,Billion Cubic Feet,Bcf,2019,494911.0
USA,USA,Billion Cubic Feet,Bcf,2018,504501.0
USA,USA,Billion Cubic Feet,Bcf,2017,464292.0
USA,USA,Billion Cubic Feet,Bcf,2016,341133.0
USA,USA,Billion Cubic Feet,Bcf,2015,324303.0
USA,USA,Billion Cubic Feet,Bcf,2014,388841.0
USA,USA,Billion Cubic Feet,Bcf,2013,353994.0
USA,USA,Billion Cubic Feet,Bcf,2012,322670.0
USA,USA,Billion Cubic Feet,Bcf,2011,348809.0
USA,USA,Billion Cubic Feet,Bcf,2010,317647.0
USA,USA,Billion Cubic Feet,Bcf,2009,283879.0
USA,USA,Billion Cubic Feet,Bcf,2008,255035.0
USA,USA,Billion Cubic Feet,Bcf,2007,247789.0
USA,USA,Billion Cubic Feet,Bcf,2006,220416.0
USA,USA,Billion Cubic Feet,Bcf,2005,213308.0
USA,USA,Billion Cubic Feet,Bcf,2004,201200.0
USA,USA,Billion Cubic Feet,Bcf,2003,197145.0
USA,USA,Billion Cubic Feet,Bcf,2002,195561.0
USA,USA,Billion Cubic Feet,Bcf,2001,191743.0
USA,USA,Billion Cubic Feet,Bcf,2000,186510.0
USA,USA,Billion Cubic Feet,Bcf,1999,176159.0
USA,USA,Billion Cubic Feet,Bcf,1998,172443.0
USA,USA,Billion Cubic Feet,Bcf,1997,175721.0
USA,USA,Billion Cubic Feet,Bcf,1996,175147.0
USA,USA,Billion Cubic Feet,Bcf,1995,173476.0
USA,USA,Billion Cubic Feet,Bcf,1994,171939.0
USA,USA,Billion Cubic Feet,Bcf,1993,170490.0
USA,USA,Billion Cubic Feet,Bcf,1992,173309.0
USA,USA,Billion Cubic Feet,Bcf,1991,175325.0
USA,USA,Billion Cubic Feet,Bcf,1990,177576.0
USA,USA,Billion Cubic Feet,Bcf,1989,175428.0
USA,USA,Billion Cubic Feet,Bcf,1988,176999.0
USA,USA,Billion Cubic Feet,Bcf,1987,196428.0
USA,USA,Billion Cubic Feet,Bcf,1986,201109.0
USA,USA,Billion Cubic Feet,Bcf,1985,202202.0
USA,USA,Billion Cubic Feet,Bcf,1984,205984.0
USA,USA,Billion Cubic Feet,Bcf,1983,209046.0
USA,USA,Billion Cubic Feet,Bcf,1982,209254.0
USA,USA,Billion Cubic Feet,Bcf,1981,209434.0
USA,USA,Billion Cubic Feet,Bcf,1980,206259.0
USA,USA,Billion Cubic Feet,Bcf,1979,208335.0
USA,USA,Billion Cubic Feet,Bcf,2019,6056.0
USA,USA,Billion Cubic Feet,Bcf,2018,6847.0
USA,USA,Billion Cubic Feet,Bcf,2017,6472.0
USA,USA,Billion Cubic Feet,Bcf,2016,6564.0
USA,USA,Billion Cubic Feet,Bcf,2015,7633.0
USA,USA,Billion Cubic Feet,Bcf,2014,8968.0
USA,USA,Billion Cubic Feet,Bcf,2013,8567.0
USA,USA,Billion Cubic Feet,Bcf,2012,9853.0
USA,USA,Billion Cubic Feet,Bcf,2011,10820.0
USA,USA,Billion Cubic Feet,Bcf,2010,12120.0
USA,USA,Billion Cubic Feet,Bcf,2009,12856.0
USA,USA,Billion Cubic Feet,Bcf,2008,13892.0
USA,USA,Billion Cubic Feet,Bcf,2007,14813.0
USA,USA,Billion Cubic Feet,Bcf,2006,15750.0
USA,USA,Billion Cubic Feet,Bcf,2005,18252.0
USA,USA,Billion Cubic Feet,Bcf,2004,19747.0
USA,USA,Billion Cubic Feet,Bcf,2003,23033.0
USA,USA,Billion Cubic Feet,Bcf,2002,25862.0
USA,USA,Billion Cubic Feet,Bcf,2001,27640.0
USA,USA,Billion Cubic Feet,Bcf,2000,27467.0
USA,USA,Billion Cubic Feet,Bcf,1999,26598.0
USA,USA,Billion Cubic Feet,Bcf,1998,27426.0
USA,USA,Billion Cubic Feet,Bcf,1997,29011.0
USA,USA,Billion Cubic Feet,Bcf,1996,29419.0
USA,USA,Billion Cubic Feet,Bcf,1995,29518.0
USA,USA,Billion Cubic Feet,Bcf,1994,28813.0
USA,USA,Billion Cubic Feet,Bcf,1993,27586.0
USA,USA,Billion Cubic Feet,Bcf,1992,28186.0
USA,USA,Billion Cubic Feet,Bcf,1991,29914.0
USA,USA,Billion Cubic Feet,Bcf,1990,31849.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,188.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,230.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,35.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,30.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,241.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,243.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,264.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2012,652.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2011,711.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2010,725.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2009,740.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2008,705.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2007,805.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2006,811.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2005,825.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2004,459.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2003,511.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2002,515.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2001,540.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2000,576.0
