iso3166,geography,units,unitsshort,period,value
USA,USA,Billion Cubic Feet,Bcf,2019,-6320.0
USA,USA,Billion Cubic Feet,Bcf,2018,5899.0
USA,USA,Billion Cubic Feet,Bcf,2017,16233.0
USA,USA,Billion Cubic Feet,Bcf,2016,6089.0
USA,USA,Billion Cubic Feet,Bcf,2015,7436.0
USA,USA,Billion Cubic Feet,Bcf,2014,3509.0
USA,USA,Billion Cubic Feet,Bcf,2013,1342.0
USA,USA,Billion Cubic Feet,Bcf,2012,-1195.0
USA,USA,Billion Cubic Feet,Bcf,2011,2325.0
USA,USA,Billion Cubic Feet,Bcf,2010,1774.0
USA,USA,Billion Cubic Feet,Bcf,2009,5046.0
USA,USA,Billion Cubic Feet,Bcf,2008,-184.0
USA,USA,Billion Cubic Feet,Bcf,2007,714.0
USA,USA,Billion Cubic Feet,Bcf,2006,1000.0
USA,USA,Billion Cubic Feet,Bcf,2005,1567.0
USA,USA,Billion Cubic Feet,Bcf,2004,191.0
USA,USA,Billion Cubic Feet,Bcf,2003,2121.0
USA,USA,Billion Cubic Feet,Bcf,2002,3505.0
USA,USA,Billion Cubic Feet,Bcf,2001,1355.0
USA,USA,Billion Cubic Feet,Bcf,2000,-671.0
USA,USA,Billion Cubic Feet,Bcf,1999,959.0
USA,USA,Billion Cubic Feet,Bcf,1998,-918.0
USA,USA,Billion Cubic Feet,Bcf,1997,-992.0
USA,USA,Billion Cubic Feet,Bcf,1996,4124.0
USA,USA,Billion Cubic Feet,Bcf,1995,544.0
USA,USA,Billion Cubic Feet,Bcf,1994,1814.0
USA,USA,Billion Cubic Feet,Bcf,1993,1350.0
USA,USA,Billion Cubic Feet,Bcf,1992,1976.0
USA,USA,Billion Cubic Feet,Bcf,1991,3111.0
USA,USA,Billion Cubic Feet,Bcf,1990,1437.0
USA,USA,Billion Cubic Feet,Bcf,1989,2122.0
USA,USA,Billion Cubic Feet,Bcf,1988,1743.0
USA,USA,Billion Cubic Feet,Bcf,1987,1022.0
USA,USA,Billion Cubic Feet,Bcf,1986,1712.0
USA,USA,Billion Cubic Feet,Bcf,1985,-1994.0
USA,USA,Billion Cubic Feet,Bcf,1984,-1927.0
USA,USA,Billion Cubic Feet,Bcf,1983,2799.0
USA,USA,Billion Cubic Feet,Bcf,1982,1755.0
USA,USA,Billion Cubic Feet,Bcf,1981,3136.0
USA,USA,Billion Cubic Feet,Bcf,1980,200.0
USA,USA,Billion Cubic Feet,Bcf,1979,3431.0
USA,USA,Billion Cubic Feet,Bcf,2019,53.0
USA,USA,Billion Cubic Feet,Bcf,2018,-184.0
USA,USA,Billion Cubic Feet,Bcf,2017,125.0
USA,USA,Billion Cubic Feet,Bcf,2016,95.0
USA,USA,Billion Cubic Feet,Bcf,2015,-389.0
USA,USA,Billion Cubic Feet,Bcf,2014,593.0
USA,USA,Billion Cubic Feet,Bcf,2013,221.0
USA,USA,Billion Cubic Feet,Bcf,2012,-361.0
USA,USA,Billion Cubic Feet,Bcf,2011,73.0
USA,USA,Billion Cubic Feet,Bcf,2010,-41.0
USA,USA,Billion Cubic Feet,Bcf,2009,2.0
USA,USA,Billion Cubic Feet,Bcf,2008,-1.0
USA,USA,Billion Cubic Feet,Bcf,2007,-46.0
USA,USA,Billion Cubic Feet,Bcf,2006,-11.0
USA,USA,Billion Cubic Feet,Bcf,2005,4.0
USA,USA,Billion Cubic Feet,Bcf,2004,18.0
USA,USA,Billion Cubic Feet,Bcf,2003,171.0
USA,USA,Billion Cubic Feet,Bcf,2002,152.0
USA,USA,Billion Cubic Feet,Bcf,2001,-46.0
USA,USA,Billion Cubic Feet,Bcf,2000,11.0
USA,USA,Billion Cubic Feet,Bcf,1999,-164.0
USA,USA,Billion Cubic Feet,Bcf,1998,698.0
USA,USA,Billion Cubic Feet,Bcf,1997,-252.0
USA,USA,Billion Cubic Feet,Bcf,1996,206.0
USA,USA,Billion Cubic Feet,Bcf,1995,340.0
USA,USA,Billion Cubic Feet,Bcf,1994,189.0
USA,USA,Billion Cubic Feet,Bcf,1993,-94.0
USA,USA,Billion Cubic Feet,Bcf,1992,9.0
USA,USA,Billion Cubic Feet,Bcf,1991,94.0
USA,USA,Billion Cubic Feet,Bcf,1990,719.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2012,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2011,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2010,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2009,-1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2008,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2007,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2006,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2005,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2004,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2003,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2002,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2001,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2000,14.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1999,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1998,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1997,-53.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1996,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1995,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1994,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1993,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1992,-20.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1991,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1990,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1989,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1988,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1987,-1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1986,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1980,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1979,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,-1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,-1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,-8.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,9.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2012,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2011,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2010,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2009,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2008,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2007,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2006,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2005,-1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2004,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2003,-1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2002,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2001,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2000,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1999,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1998,-46.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1997,9.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1996,-4.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1995,4.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1994,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1993,39.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1992,15.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1991,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1990,-1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1989,-6.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1988,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1987,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1986,-1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1985,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1984,-29.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1983,-1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1982,-3.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1981,2.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1980,-10.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1979,10.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,-3.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,-2.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,7.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,-30.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,-34.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,19.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,-20.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2012,58.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2011,-12.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2010,-3.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2009,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2008,3.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2007,28.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2006,-11.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2005,-3.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2004,45.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2003,-21.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2002,34.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2001,9.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2000,72.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1999,28.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1998,-1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1997,-21.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1996,-107.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1995,31.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1994,50.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1993,59.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1992,-5.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1991,59.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1990,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1989,-29.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1988,45.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1987,-47.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1986,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1985,-82.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1984,62.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1983,7.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1982,128.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1981,28.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1980,18.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1979,-33.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2012,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2011,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2010,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2009,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2008,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2007,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2006,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2005,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2004,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2003,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2002,-1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2001,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2000,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1999,-1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1998,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1997,3.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1996,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1995,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1994,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1993,0.0
