iso3166,geography,units,unitsshort,period,value
USA,USA,Billion Cubic Feet,Bcf,2019,27252.0
USA,USA,Billion Cubic Feet,Bcf,2018,25443.0
USA,USA,Billion Cubic Feet,Bcf,2017,23181.0
USA,USA,Billion Cubic Feet,Bcf,2016,22726.0
USA,USA,Billion Cubic Feet,Bcf,2015,23136.0
USA,USA,Billion Cubic Feet,Bcf,2014,22817.0
USA,USA,Billion Cubic Feet,Bcf,2013,22353.0
USA,USA,Billion Cubic Feet,Bcf,2012,22704.0
USA,USA,Billion Cubic Feet,Bcf,2011,21899.0
USA,USA,Billion Cubic Feet,Bcf,2010,20779.0
USA,USA,Billion Cubic Feet,Bcf,2009,19981.0
USA,USA,Billion Cubic Feet,Bcf,2008,19066.0
USA,USA,Billion Cubic Feet,Bcf,2007,18022.0
USA,USA,Billion Cubic Feet,Bcf,2006,17092.0
USA,USA,Billion Cubic Feet,Bcf,2005,16827.0
USA,USA,Billion Cubic Feet,Bcf,2004,17275.0
USA,USA,Billion Cubic Feet,Bcf,2003,17376.0
USA,USA,Billion Cubic Feet,Bcf,2002,17260.0
USA,USA,Billion Cubic Feet,Bcf,2001,17451.0
USA,USA,Billion Cubic Feet,Bcf,2000,16863.0
USA,USA,Billion Cubic Feet,Bcf,1999,16543.0
USA,USA,Billion Cubic Feet,Bcf,1998,16486.0
USA,USA,Billion Cubic Feet,Bcf,1997,17112.0
USA,USA,Billion Cubic Feet,Bcf,1996,16845.0
USA,USA,Billion Cubic Feet,Bcf,1995,15988.0
USA,USA,Billion Cubic Feet,Bcf,1994,16303.0
USA,USA,Billion Cubic Feet,Bcf,1993,15773.0
USA,USA,Billion Cubic Feet,Bcf,1992,15238.0
USA,USA,Billion Cubic Feet,Bcf,1991,15044.0
USA,USA,Billion Cubic Feet,Bcf,1990,15067.0
USA,USA,Billion Cubic Feet,Bcf,1989,14653.0
USA,USA,Billion Cubic Feet,Bcf,1988,14274.0
USA,USA,Billion Cubic Feet,Bcf,1987,13553.0
USA,USA,Billion Cubic Feet,Bcf,1986,12958.0
USA,USA,Billion Cubic Feet,Bcf,1985,13344.0
USA,USA,Billion Cubic Feet,Bcf,1984,14514.0
USA,USA,Billion Cubic Feet,Bcf,1983,13235.0
USA,USA,Billion Cubic Feet,Bcf,1982,15044.0
USA,USA,Billion Cubic Feet,Bcf,1981,16238.0
USA,USA,Billion Cubic Feet,Bcf,1980,16095.0
USA,USA,Billion Cubic Feet,Bcf,1979,16674.0
USA,USA,Billion Cubic Feet,Bcf,2019,310.0
USA,USA,Billion Cubic Feet,Bcf,2018,257.0
USA,USA,Billion Cubic Feet,Bcf,2017,312.0
USA,USA,Billion Cubic Feet,Bcf,2016,411.0
USA,USA,Billion Cubic Feet,Bcf,2015,503.0
USA,USA,Billion Cubic Feet,Bcf,2014,592.0
USA,USA,Billion Cubic Feet,Bcf,2013,691.0
USA,USA,Billion Cubic Feet,Bcf,2012,894.0
USA,USA,Billion Cubic Feet,Bcf,2011,1210.0
USA,USA,Billion Cubic Feet,Bcf,2010,1660.0
USA,USA,Billion Cubic Feet,Bcf,2009,1779.0
USA,USA,Billion Cubic Feet,Bcf,2008,1745.0
USA,USA,Billion Cubic Feet,Bcf,2007,2178.0
USA,USA,Billion Cubic Feet,Bcf,2006,2206.0
USA,USA,Billion Cubic Feet,Bcf,2005,2348.0
USA,USA,Billion Cubic Feet,Bcf,2004,3133.0
USA,USA,Billion Cubic Feet,Bcf,2003,3502.0
USA,USA,Billion Cubic Feet,Bcf,2002,3563.0
USA,USA,Billion Cubic Feet,Bcf,2001,3913.0
USA,USA,Billion Cubic Feet,Bcf,2000,3882.0
USA,USA,Billion Cubic Feet,Bcf,1999,3887.0
USA,USA,Billion Cubic Feet,Bcf,1998,4105.0
USA,USA,Billion Cubic Feet,Bcf,1997,4393.0
USA,USA,Billion Cubic Feet,Bcf,1996,4341.0
USA,USA,Billion Cubic Feet,Bcf,1995,4017.0
USA,USA,Billion Cubic Feet,Bcf,1994,4168.0
USA,USA,Billion Cubic Feet,Bcf,1993,4064.0
USA,USA,Billion Cubic Feet,Bcf,1992,4066.0
USA,USA,Billion Cubic Feet,Bcf,1991,4165.0
USA,USA,Billion Cubic Feet,Bcf,1990,4454.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2012,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2011,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2010,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2009,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2008,2.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2007,2.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2006,2.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2005,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2004,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2003,2.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2002,3.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2001,4.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2000,5.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1999,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1998,2.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1997,2.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1996,8.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1995,7.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1994,10.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1993,11.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1992,14.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1991,17.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1990,16.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1989,12.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1988,18.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1987,25.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1986,29.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1980,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1979,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,0.0
