iso3166,geography,units,unitsshort,period,value
USA,USA,Billion Cubic Feet,Bcf,2019,
USA,USA,Billion Cubic Feet,Bcf,2018,
USA,USA,Billion Cubic Feet,Bcf,2017,
USA,USA,Billion Cubic Feet,Bcf,2016,
USA,USA,Billion Cubic Feet,Bcf,2015,1682.0
USA,USA,Billion Cubic Feet,Bcf,2014,2161.0
USA,USA,Billion Cubic Feet,Bcf,2013,1099.0
USA,USA,Billion Cubic Feet,Bcf,2012,179.0
USA,USA,Billion Cubic Feet,Bcf,2011,1100.0
USA,USA,Billion Cubic Feet,Bcf,2010,1515.0
USA,USA,Billion Cubic Feet,Bcf,2009,2487.0
USA,USA,Billion Cubic Feet,Bcf,2008,858.0
USA,USA,Billion Cubic Feet,Bcf,2007,1171.0
USA,USA,Billion Cubic Feet,Bcf,2006,1132.0
USA,USA,Billion Cubic Feet,Bcf,2005,1164.0
USA,USA,Billion Cubic Feet,Bcf,2004,1147.0
USA,USA,Billion Cubic Feet,Bcf,2003,1529.0
USA,USA,Billion Cubic Feet,Bcf,2002,1421.0
USA,USA,Billion Cubic Feet,Bcf,2001,2420.0
USA,USA,Billion Cubic Feet,Bcf,2000,2211.0
USA,USA,Billion Cubic Feet,Bcf,1999,1841.0
USA,USA,Billion Cubic Feet,Bcf,1998,2022.0
USA,USA,Billion Cubic Feet,Bcf,1997,2268.0
USA,USA,Billion Cubic Feet,Bcf,1996,2871.0
USA,USA,Billion Cubic Feet,Bcf,1995,1884.0
USA,USA,Billion Cubic Feet,Bcf,1994,3404.0
USA,USA,Billion Cubic Feet,Bcf,1993,1767.0
USA,USA,Billion Cubic Feet,Bcf,1992,1481.0
USA,USA,Billion Cubic Feet,Bcf,1991,1321.0
USA,USA,Billion Cubic Feet,Bcf,1990,2242.0
USA,USA,Billion Cubic Feet,Bcf,1989,2139.0
USA,USA,Billion Cubic Feet,Bcf,1988,1640.0
USA,USA,Billion Cubic Feet,Bcf,1987,1401.0
USA,USA,Billion Cubic Feet,Bcf,1986,1666.0
USA,USA,Billion Cubic Feet,Bcf,1985,2712.0
USA,USA,Billion Cubic Feet,Bcf,1984,2482.0
USA,USA,Billion Cubic Feet,Bcf,1983,2745.0
USA,USA,Billion Cubic Feet,Bcf,1982,3155.0
USA,USA,Billion Cubic Feet,Bcf,1981,2809.0
USA,USA,Billion Cubic Feet,Bcf,1980,2279.0
USA,USA,Billion Cubic Feet,Bcf,1979,2373.0
USA,USA,Billion Cubic Feet,Bcf,2019,
USA,USA,Billion Cubic Feet,Bcf,2018,
USA,USA,Billion Cubic Feet,Bcf,2017,
USA,USA,Billion Cubic Feet,Bcf,2016,
USA,USA,Billion Cubic Feet,Bcf,2015,36.0
USA,USA,Billion Cubic Feet,Bcf,2014,90.0
USA,USA,Billion Cubic Feet,Bcf,2013,65.0
USA,USA,Billion Cubic Feet,Bcf,2012,28.0
USA,USA,Billion Cubic Feet,Bcf,2011,38.0
USA,USA,Billion Cubic Feet,Bcf,2010,95.0
USA,USA,Billion Cubic Feet,Bcf,2009,186.0
USA,USA,Billion Cubic Feet,Bcf,2008,248.0
USA,USA,Billion Cubic Feet,Bcf,2007,325.0
USA,USA,Billion Cubic Feet,Bcf,2006,388.0
USA,USA,Billion Cubic Feet,Bcf,2005,497.0
USA,USA,Billion Cubic Feet,Bcf,2004,531.0
USA,USA,Billion Cubic Feet,Bcf,2003,812.0
USA,USA,Billion Cubic Feet,Bcf,2002,644.0
USA,USA,Billion Cubic Feet,Bcf,2001,980.0
USA,USA,Billion Cubic Feet,Bcf,2000,871.0
USA,USA,Billion Cubic Feet,Bcf,1999,931.0
USA,USA,Billion Cubic Feet,Bcf,1998,961.0
USA,USA,Billion Cubic Feet,Bcf,1997,1239.0
USA,USA,Billion Cubic Feet,Bcf,1996,1487.0
USA,USA,Billion Cubic Feet,Bcf,1995,1132.0
USA,USA,Billion Cubic Feet,Bcf,1994,1592.0
USA,USA,Billion Cubic Feet,Bcf,1993,1078.0
USA,USA,Billion Cubic Feet,Bcf,1992,782.0
USA,USA,Billion Cubic Feet,Bcf,1991,672.0
USA,USA,Billion Cubic Feet,Bcf,1990,869.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2012,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2011,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2010,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2009,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2008,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2007,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2006,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2005,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2004,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2003,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2002,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2001,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2000,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1999,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1998,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1997,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1996,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1995,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1994,4.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1993,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1992,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1991,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1990,9.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1989,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1988,65.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1987,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1986,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1980,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1979,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2012,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2011,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2010,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2009,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2008,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2007,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2006,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2005,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2004,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2003,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2002,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2001,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2000,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1999,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1998,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1997,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1996,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1995,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1994,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1993,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1992,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1991,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1990,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1989,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1988,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1987,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1986,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1985,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1984,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1983,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1982,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1981,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1980,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1979,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2012,9.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2011,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2010,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2009,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2008,7.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2007,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2006,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2005,3.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2004,5.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2003,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2002,5.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2001,2.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2000,5.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1999,3.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1998,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1997,9.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1996,17.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1995,15.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1994,8.0
