iso3166,geography,units,unitsshort,period,value
USA,USA,Billion Cubic Feet,Bcf,2019,373055.0
USA,USA,Billion Cubic Feet,Bcf,2018,384855.0
USA,USA,Billion Cubic Feet,Bcf,2017,364846.0
USA,USA,Billion Cubic Feet,Bcf,2016,268913.0
USA,USA,Billion Cubic Feet,Bcf,2015,258807.0
USA,USA,Billion Cubic Feet,Bcf,2014,319724.0
USA,USA,Billion Cubic Feet,Bcf,2013,295504.0
USA,USA,Billion Cubic Feet,Bcf,2012,269514.0
USA,USA,Billion Cubic Feet,Bcf,2011,305986.0
USA,USA,Billion Cubic Feet,Bcf,2010,281901.0
USA,USA,Billion Cubic Feet,Bcf,2009,250496.0
USA,USA,Billion Cubic Feet,Bcf,2008,226012.0
USA,USA,Billion Cubic Feet,Bcf,2007,215121.0
USA,USA,Billion Cubic Feet,Bcf,2006,190776.0
USA,USA,Billion Cubic Feet,Bcf,2005,185072.0
USA,USA,Billion Cubic Feet,Bcf,2004,173551.0
USA,USA,Billion Cubic Feet,Bcf,2003,168593.0
USA,USA,Billion Cubic Feet,Bcf,2002,166020.0
USA,USA,Billion Cubic Feet,Bcf,2001,161921.0
USA,USA,Billion Cubic Feet,Bcf,2000,156677.0
USA,USA,Billion Cubic Feet,Bcf,1999,144744.0
USA,USA,Billion Cubic Feet,Bcf,1998,141783.0
USA,USA,Billion Cubic Feet,Bcf,1997,143339.0
USA,USA,Billion Cubic Feet,Bcf,1996,144352.0
USA,USA,Billion Cubic Feet,Bcf,1995,142679.0
USA,USA,Billion Cubic Feet,Bcf,1994,141539.0
USA,USA,Billion Cubic Feet,Bcf,1993,140445.0
USA,USA,Billion Cubic Feet,Bcf,1992,141885.0
USA,USA,Billion Cubic Feet,Bcf,1991,143508.0
USA,USA,Billion Cubic Feet,Bcf,1990,144407.0
USA,USA,Billion Cubic Feet,Bcf,1989,142619.0
USA,USA,Billion Cubic Feet,Bcf,1988,144121.0
USA,USA,Billion Cubic Feet,Bcf,1987,138239.0
USA,USA,Billion Cubic Feet,Bcf,1986,141532.0
USA,USA,Billion Cubic Feet,Bcf,1985,141595.0
USA,USA,Billion Cubic Feet,Bcf,1984,145346.0
USA,USA,Billion Cubic Feet,Bcf,1983,147352.0
USA,USA,Billion Cubic Feet,Bcf,1982,147172.0
USA,USA,Billion Cubic Feet,Bcf,1981,147888.0
USA,USA,Billion Cubic Feet,Bcf,1980,144249.0
USA,USA,Billion Cubic Feet,Bcf,1979,148910.0
USA,USA,Billion Cubic Feet,Bcf,2019,1945.0
USA,USA,Billion Cubic Feet,Bcf,2018,2174.0
USA,USA,Billion Cubic Feet,Bcf,2017,2492.0
USA,USA,Billion Cubic Feet,Bcf,2016,2700.0
USA,USA,Billion Cubic Feet,Bcf,2015,3032.0
USA,USA,Billion Cubic Feet,Bcf,2014,3634.0
USA,USA,Billion Cubic Feet,Bcf,2013,3037.0
USA,USA,Billion Cubic Feet,Bcf,2012,3989.0
USA,USA,Billion Cubic Feet,Bcf,2011,5374.0
USA,USA,Billion Cubic Feet,Bcf,2010,6916.0
USA,USA,Billion Cubic Feet,Bcf,2009,7633.0
USA,USA,Billion Cubic Feet,Bcf,2008,8786.0
USA,USA,Billion Cubic Feet,Bcf,2007,10033.0
USA,USA,Billion Cubic Feet,Bcf,2006,10915.0
USA,USA,Billion Cubic Feet,Bcf,2005,12348.0
USA,USA,Billion Cubic Feet,Bcf,2004,13386.0
USA,USA,Billion Cubic Feet,Bcf,2003,15616.0
USA,USA,Billion Cubic Feet,Bcf,2002,17772.0
USA,USA,Billion Cubic Feet,Bcf,2001,18990.0
USA,USA,Billion Cubic Feet,Bcf,2000,20456.0
USA,USA,Billion Cubic Feet,Bcf,1999,19505.0
USA,USA,Billion Cubic Feet,Bcf,1998,19931.0
USA,USA,Billion Cubic Feet,Bcf,1997,21098.0
USA,USA,Billion Cubic Feet,Bcf,1996,21982.0
USA,USA,Billion Cubic Feet,Bcf,1995,22047.0
USA,USA,Billion Cubic Feet,Bcf,1994,22075.0
USA,USA,Billion Cubic Feet,Bcf,1993,21466.0
USA,USA,Billion Cubic Feet,Bcf,1992,21871.0
USA,USA,Billion Cubic Feet,Bcf,1991,23427.0
USA,USA,Billion Cubic Feet,Bcf,1990,25076.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,0.0
