iso3166,geography,units,unitsshort,period,value
USA,USA,Billion Cubic Feet,Bcf,2019,39290.0
USA,USA,Billion Cubic Feet,Bcf,2018,27968.0
USA,USA,Billion Cubic Feet,Bcf,2017,54884.0
USA,USA,Billion Cubic Feet,Bcf,2016,41737.0
USA,USA,Billion Cubic Feet,Bcf,2015,29030.0
USA,USA,Billion Cubic Feet,Bcf,2014,42064.0
USA,USA,Billion Cubic Feet,Bcf,2013,40981.0
USA,USA,Billion Cubic Feet,Bcf,2012,34343.0
USA,USA,Billion Cubic Feet,Bcf,2011,47927.0
USA,USA,Billion Cubic Feet,Bcf,2010,37411.0
USA,USA,Billion Cubic Feet,Bcf,2009,27142.0
USA,USA,Billion Cubic Feet,Bcf,2008,28998.0
USA,USA,Billion Cubic Feet,Bcf,2007,28004.0
USA,USA,Billion Cubic Feet,Bcf,2006,16268.0
USA,USA,Billion Cubic Feet,Bcf,2005,20081.0
USA,USA,Billion Cubic Feet,Bcf,2004,24107.0
USA,USA,Billion Cubic Feet,Bcf,2003,17736.0
USA,USA,Billion Cubic Feet,Bcf,2002,17653.0
USA,USA,Billion Cubic Feet,Bcf,2001,15917.0
USA,USA,Billion Cubic Feet,Bcf,2000,20505.0
USA,USA,Billion Cubic Feet,Bcf,1999,33007.0
USA,USA,Billion Cubic Feet,Bcf,1998,24396.0
USA,USA,Billion Cubic Feet,Bcf,1997,17787.0
USA,USA,Billion Cubic Feet,Bcf,1996,14800.0
USA,USA,Billion Cubic Feet,Bcf,1995,18021.0
USA,USA,Billion Cubic Feet,Bcf,1994,17826.0
USA,USA,Billion Cubic Feet,Bcf,1993,15155.0
USA,USA,Billion Cubic Feet,Bcf,1992,16056.0
USA,USA,Billion Cubic Feet,Bcf,1991,17060.0
USA,USA,Billion Cubic Feet,Bcf,1990,15057.0
USA,USA,Billion Cubic Feet,Bcf,1989,23241.0
USA,USA,Billion Cubic Feet,Bcf,1988,20486.0
USA,USA,Billion Cubic Feet,Bcf,1987,14721.0
USA,USA,Billion Cubic Feet,Bcf,1986,18536.0
USA,USA,Billion Cubic Feet,Bcf,1985,15424.0
USA,USA,Billion Cubic Feet,Bcf,1984,14438.0
USA,USA,Billion Cubic Feet,Bcf,1983,14747.0
USA,USA,Billion Cubic Feet,Bcf,1982,15016.0
USA,USA,Billion Cubic Feet,Bcf,1981,12807.0
USA,USA,Billion Cubic Feet,Bcf,1980,12385.0
USA,USA,Billion Cubic Feet,Bcf,1979,12560.0
USA,USA,Billion Cubic Feet,Bcf,2019,148.0
USA,USA,Billion Cubic Feet,Bcf,2018,330.0
USA,USA,Billion Cubic Feet,Bcf,2017,180.0
USA,USA,Billion Cubic Feet,Bcf,2016,367.0
USA,USA,Billion Cubic Feet,Bcf,2015,567.0
USA,USA,Billion Cubic Feet,Bcf,2014,708.0
USA,USA,Billion Cubic Feet,Bcf,2013,546.0
USA,USA,Billion Cubic Feet,Bcf,2012,1086.0
USA,USA,Billion Cubic Feet,Bcf,2011,984.0
USA,USA,Billion Cubic Feet,Bcf,2010,2054.0
USA,USA,Billion Cubic Feet,Bcf,2009,1511.0
USA,USA,Billion Cubic Feet,Bcf,2008,1131.0
USA,USA,Billion Cubic Feet,Bcf,2007,1240.0
USA,USA,Billion Cubic Feet,Bcf,2006,1559.0
USA,USA,Billion Cubic Feet,Bcf,2005,1855.0
USA,USA,Billion Cubic Feet,Bcf,2004,3508.0
USA,USA,Billion Cubic Feet,Bcf,2003,2272.0
USA,USA,Billion Cubic Feet,Bcf,2002,2455.0
USA,USA,Billion Cubic Feet,Bcf,2001,2150.0
USA,USA,Billion Cubic Feet,Bcf,2000,3259.0
USA,USA,Billion Cubic Feet,Bcf,1999,5227.0
USA,USA,Billion Cubic Feet,Bcf,1998,3623.0
USA,USA,Billion Cubic Feet,Bcf,1997,2738.0
USA,USA,Billion Cubic Feet,Bcf,1996,2885.0
