iso3166,geography,units,unitsshort,period,value
USA,USA,Billion Cubic Feet,Bcf,2019,23699.0
USA,USA,Billion Cubic Feet,Bcf,2018,27479.0
USA,USA,Billion Cubic Feet,Bcf,2017,28040.0
USA,USA,Billion Cubic Feet,Bcf,2016,9691.0
USA,USA,Billion Cubic Feet,Bcf,2015,6461.0
USA,USA,Billion Cubic Feet,Bcf,2014,7657.0
USA,USA,Billion Cubic Feet,Bcf,2013,1761.0
USA,USA,Billion Cubic Feet,Bcf,2012,1807.0
USA,USA,Billion Cubic Feet,Bcf,2011,27038.0
USA,USA,Billion Cubic Feet,Bcf,2010,4290.0
USA,USA,Billion Cubic Feet,Bcf,2009,665.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,7.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,14.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2012,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2011,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,0.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2019,7031.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2018,1009.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2017,2931.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2016,2105.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2015,5.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2014,1495.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2013,258.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2012,6.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2011,4291.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2010,115.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2009,0.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2019,0.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2018,0.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2017,0.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2016,0.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2015,0.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2014,0.0
