iso3166,geography,units,unitsshort,period,value
USA,USA,Billion Cubic Feet,Bcf,2019,
USA,USA,Billion Cubic Feet,Bcf,2018,
USA,USA,Billion Cubic Feet,Bcf,2017,
USA,USA,Billion Cubic Feet,Bcf,2016,
USA,USA,Billion Cubic Feet,Bcf,2015,24309.0
USA,USA,Billion Cubic Feet,Bcf,2014,35401.0
USA,USA,Billion Cubic Feet,Bcf,2013,36059.0
USA,USA,Billion Cubic Feet,Bcf,2012,32359.0
USA,USA,Billion Cubic Feet,Bcf,2011,32764.0
USA,USA,Billion Cubic Feet,Bcf,2010,29081.0
USA,USA,Billion Cubic Feet,Bcf,2009,22332.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2012,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2011,43.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,0.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2019,
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2018,
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2017,
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2016,
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2015,910.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2014,1832.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2013,656.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2012,2683.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2011,5367.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2010,9346.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2009,7183.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2019,
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2018,
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2017,
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2016,
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2015,7.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2014,86.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2013,9.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2012,0.0
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2019,
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2018,
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2017,
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2016,
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2015,520.0
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2014,297.0
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2013,67.0
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2012,38.0
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2011,5.0
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2010,29.0
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2009,0.0
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2019,
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2018,
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2017,
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2016,
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2015,62.0
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2014,0.0
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2013,0.0
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2012,0.0
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2011,63.0
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2010,71.0
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2009,28.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2019,
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2018,
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2017,
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2016,
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2015,429.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2014,1765.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2013,1046.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2012,2911.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2011,1604.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2010,971.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2009,85.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2019,
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2018,
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2017,
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2016,
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2015,795.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2014,1639.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2013,1692.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2012,2604.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2011,1157.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2010,109.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2019,
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2018,
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2017,
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2016,
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2015,18.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2014,62.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2013,25.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2012,1.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2011,0.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2010,0.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2009,0.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2019,
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2018,
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2017,
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2016,
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2015,1076.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2014,717.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2013,1655.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2012,1392.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2011,1506.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2010,459.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2009,0.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2019,
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2018,
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2017,
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2016,
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2015,2.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2014,171.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2013,182.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2012,332.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2011,2980.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2010,3045.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2009,2223.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2019,
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2018,
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2017,
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2016,
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2015,355.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2014,207.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2013,80.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2012,209.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2011,1303.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2010,1520.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2009,541.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2019,
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2018,
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2017,
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2016,
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2015,2.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2014,6.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2013,1.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2012,220.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2011,118.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2010,255.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2009,308.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2019,
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2018,
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2017,
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2016,
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2015,261.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2014,295.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2013,166.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2012,44.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2011,21.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2010,0.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2019,
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2018,
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2017,
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2016,
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2015,0.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2014,44.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2013,0.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2012,0.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2019,
