iso3166,geography,units,unitsshort,period,value
USA,USA,Billion Cubic Feet,Bcf,2019,61152.0
USA,USA,Billion Cubic Feet,Bcf,2018,49961.0
USA,USA,Billion Cubic Feet,Bcf,2017,18329.0
USA,USA,Billion Cubic Feet,Bcf,2016,29608.0
USA,USA,Billion Cubic Feet,Bcf,2015,68460.0
USA,USA,Billion Cubic Feet,Bcf,2014,26199.0
USA,USA,Billion Cubic Feet,Bcf,2013,21486.0
USA,USA,Billion Cubic Feet,Bcf,2012,42706.0
USA,USA,Billion Cubic Feet,Bcf,2011,23455.0
USA,USA,Billion Cubic Feet,Bcf,2010,9491.0
USA,USA,Billion Cubic Feet,Bcf,2009,3642.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,4.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,2.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,3.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2012,248.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2011,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,8.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,1.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2019,7562.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2018,5265.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2017,2040.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2016,4077.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2015,4865.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2014,2558.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2013,2731.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2012,10558.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2011,3882.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2010,1878.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2009,826.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2019,0.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2018,0.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2017,0.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2016,66.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2015,16.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2014,6.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2013,0.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2012,0.0
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2019,2313.0
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2018,1690.0
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2017,
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2016,731.0
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2015,478.0
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2014,57.0
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2013,6.0
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2012,3.0
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2011,146.0
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2010,2.0
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2009,2.0
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2019,0.0
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2018,0.0
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2017,
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2016,16.0
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2015,9.0
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2014,43.0
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2013,39.0
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2012,53.0
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2011,44.0
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2010,9.0
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2009,0.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2019,2279.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2018,1402.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2017,530.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2016,4465.0
