iso3166,geography,units,unitsshort,period,value
USA,USA,Billion Cubic Feet,Bcf,2019,41528.0
USA,USA,Billion Cubic Feet,Bcf,2018,25939.0
USA,USA,Billion Cubic Feet,Bcf,2017,46655.0
USA,USA,Billion Cubic Feet,Bcf,2016,36298.0
USA,USA,Billion Cubic Feet,Bcf,2015,22271.0
USA,USA,Billion Cubic Feet,Bcf,2014,27643.0
USA,USA,Billion Cubic Feet,Bcf,2013,20339.0
USA,USA,Billion Cubic Feet,Bcf,2012,17469.0
USA,USA,Billion Cubic Feet,Bcf,2011,25993.0
USA,USA,Billion Cubic Feet,Bcf,2010,10661.0
USA,USA,Billion Cubic Feet,Bcf,2009,6363.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,2.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,52.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,4.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,68.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2012,258.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2011,912.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,0.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2019,8107.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2018,3120.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2017,5634.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2016,2617.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2015,1307.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2014,1631.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2013,1606.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2012,1422.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2011,2002.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2010,1856.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2009,636.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2019,0.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2018,0.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2017,197.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2016,5.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2015,28.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2014,22.0
