iso3166,geography,units,unitsshort,period,value
USA,USA,Billion Cubic Feet,Bcf,2019,7724.0
USA,USA,Billion Cubic Feet,Bcf,2018,16289.0
USA,USA,Billion Cubic Feet,Bcf,2017,10947.0
USA,USA,Billion Cubic Feet,Bcf,2016,9620.0
USA,USA,Billion Cubic Feet,Bcf,2015,7250.0
USA,USA,Billion Cubic Feet,Bcf,2014,5029.0
USA,USA,Billion Cubic Feet,Bcf,2013,1523.0
USA,USA,Billion Cubic Feet,Bcf,2012,1785.0
USA,USA,Billion Cubic Feet,Bcf,2011,22694.0
USA,USA,Billion Cubic Feet,Bcf,2010,1685.0
USA,USA,Billion Cubic Feet,Bcf,2009,563.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,7.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,7.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,12.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2012,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2011,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,0.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2019,1312.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2018,1644.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2017,308.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2016,351.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2015,1206.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2014,150.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2013,400.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2012,17.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2011,3782.0
