iso3166,geography,units,unitsshort,period,value
USA-AK,USA-AK,Million Cubic Feet,MMcf,2015,16519.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2014,13310.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2012,9342.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2011,16398.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2010,30100.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2009,30536.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2008,39164.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2007,48396.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2006,60765.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2005,65124.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2004,62099.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2003,65698.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2002,63439.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2001,65753.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2000,65610.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1999,63607.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1998,65951.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1997,62187.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1996,67648.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1995,65283.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1994,62682.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1993,55989.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1992,52532.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1991,54005.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1990,52546.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1989,51424.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1988,51573.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1987,48599.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1986,50172.0
