iso3166,geography,units,unitsshort,period,value
CAN,CAN,Million Cubic Feet,MMcf,2020,386
CAN,CAN,Million Cubic Feet,MMcf,2019,263
CAN,CAN,Million Cubic Feet,MMcf,2018,223
CAN,CAN,Million Cubic Feet,MMcf,2017,171
CAN,CAN,Million Cubic Feet,MMcf,2016,208
CAN,CAN,Million Cubic Feet,MMcf,2015,214
CAN,CAN,Million Cubic Feet,MMcf,2014,217
CAN,CAN,Million Cubic Feet,MMcf,2013,115
CAN,CAN,Million Cubic Feet,MMcf,2012,0
CAN,CAN,Million Cubic Feet,MMcf,2011,0
USA,USA,Million Cubic Feet,MMcf,2020,386
USA,USA,Million Cubic Feet,MMcf,2019,263
USA,USA,Million Cubic Feet,MMcf,2018,223
USA,USA,Million Cubic Feet,MMcf,2017,171
USA,USA,Million Cubic Feet,MMcf,2016,208
USA,USA,Million Cubic Feet,MMcf,2015,214
USA,USA,Million Cubic Feet,MMcf,2014,217
USA,USA,Million Cubic Feet,MMcf,2013,115
USA,USA,Million Cubic Feet,MMcf,2012,0
CAN,CAN,Million Cubic Feet,MMcf,2020,386
CAN,CAN,Million Cubic Feet,MMcf,2019,258
CAN,CAN,Million Cubic Feet,MMcf,2018,223
CAN,CAN,Million Cubic Feet,MMcf,2017,171
CAN,CAN,Million Cubic Feet,MMcf,2016,208
CAN,CAN,Million Cubic Feet,MMcf,2015,212
CAN,CAN,Million Cubic Feet,MMcf,2014,217
CAN,CAN,Million Cubic Feet,MMcf,2013,115
CAN,CAN,Million Cubic Feet,MMcf,2012,0
CAN,CAN,Million Cubic Feet,MMcf,2019,0
CAN,CAN,Million Cubic Feet,MMcf,2018,0
CAN,CAN,Million Cubic Feet,MMcf,2017,0
CAN,CAN,Million Cubic Feet,MMcf,2016,0
CAN,CAN,Million Cubic Feet,MMcf,2015,2
