iso3166,geography,units,unitsshort,period,value
CAN,CAN,Million Cubic Feet,MMcf,202102,0
CAN,CAN,Million Cubic Feet,MMcf,202101,0
CAN,CAN,Million Cubic Feet,MMcf,202012,29
CAN,CAN,Million Cubic Feet,MMcf,202011,35
CAN,CAN,Million Cubic Feet,MMcf,202010,26
CAN,CAN,Million Cubic Feet,MMcf,202009,17
CAN,CAN,Million Cubic Feet,MMcf,202008,20
CAN,CAN,Million Cubic Feet,MMcf,202007,37
CAN,CAN,Million Cubic Feet,MMcf,202006,43
CAN,CAN,Million Cubic Feet,MMcf,202005,39
CAN,CAN,Million Cubic Feet,MMcf,202004,35
CAN,CAN,Million Cubic Feet,MMcf,202003,38
CAN,CAN,Million Cubic Feet,MMcf,202002,34
CAN,CAN,Million Cubic Feet,MMcf,202001,33
CAN,CAN,Million Cubic Feet,MMcf,201912,25
CAN,CAN,Million Cubic Feet,MMcf,201911,30
CAN,CAN,Million Cubic Feet,MMcf,201910,28
CAN,CAN,Million Cubic Feet,MMcf,201909,15
CAN,CAN,Million Cubic Feet,MMcf,201908,15
CAN,CAN,Million Cubic Feet,MMcf,201907,20
CAN,CAN,Million Cubic Feet,MMcf,201906,20
CAN,CAN,Million Cubic Feet,MMcf,201905,22
CAN,CAN,Million Cubic Feet,MMcf,201904,28
CAN,CAN,Million Cubic Feet,MMcf,201903,29
CAN,CAN,Million Cubic Feet,MMcf,201902,15
CAN,CAN,Million Cubic Feet,MMcf,201901,16
CAN,CAN,Million Cubic Feet,MMcf,201812,22
CAN,CAN,Million Cubic Feet,MMcf,201811,24
CAN,CAN,Million Cubic Feet,MMcf,201810,9
CAN,CAN,Million Cubic Feet,MMcf,201809,6
CAN,CAN,Million Cubic Feet,MMcf,201808,15
CAN,CAN,Million Cubic Feet,MMcf,201807,22
CAN,CAN,Million Cubic Feet,MMcf,201806,29
CAN,CAN,Million Cubic Feet,MMcf,201805,30
CAN,CAN,Million Cubic Feet,MMcf,201804,29
CAN,CAN,Million Cubic Feet,MMcf,201803,24
CAN,CAN,Million Cubic Feet,MMcf,201802,0
CAN,CAN,Million Cubic Feet,MMcf,201801,13
CAN,CAN,Million Cubic Feet,MMcf,201712,13
CAN,CAN,Million Cubic Feet,MMcf,201711,20
CAN,CAN,Million Cubic Feet,MMcf,201710,4
CAN,CAN,Million Cubic Feet,MMcf,201709,0
CAN,CAN,Million Cubic Feet,MMcf,201708,1
CAN,CAN,Million Cubic Feet,MMcf,201707,8
CAN,CAN,Million Cubic Feet,MMcf,201706,16
CAN,CAN,Million Cubic Feet,MMcf,201705,23
CAN,CAN,Million Cubic Feet,MMcf,201704,24
CAN,CAN,Million Cubic Feet,MMcf,201703,27
CAN,CAN,Million Cubic Feet,MMcf,201702,18
CAN,CAN,Million Cubic Feet,MMcf,201701,19
CAN,CAN,Million Cubic Feet,MMcf,201612,18
CAN,CAN,Million Cubic Feet,MMcf,201611,22
CAN,CAN,Million Cubic Feet,MMcf,201610,11
CAN,CAN,Million Cubic Feet,MMcf,201609,0
CAN,CAN,Million Cubic Feet,MMcf,201608,0
CAN,CAN,Million Cubic Feet,MMcf,201607,20
CAN,CAN,Million Cubic Feet,MMcf,201606,18
CAN,CAN,Million Cubic Feet,MMcf,201605,25
CAN,CAN,Million Cubic Feet,MMcf,201604,28
CAN,CAN,Million Cubic Feet,MMcf,201603,21
CAN,CAN,Million Cubic Feet,MMcf,201602,22
CAN,CAN,Million Cubic Feet,MMcf,201601,25
CAN,CAN,Million Cubic Feet,MMcf,201512,27
CAN,CAN,Million Cubic Feet,MMcf,201511,20
CAN,CAN,Million Cubic Feet,MMcf,201510,4
CAN,CAN,Million Cubic Feet,MMcf,201509,0
CAN,CAN,Million Cubic Feet,MMcf,201508,5
CAN,CAN,Million Cubic Feet,MMcf,201507,23
CAN,CAN,Million Cubic Feet,MMcf,201506,23
CAN,CAN,Million Cubic Feet,MMcf,201505,28
CAN,CAN,Million Cubic Feet,MMcf,201504,21
CAN,CAN,Million Cubic Feet,MMcf,201503,20
CAN,CAN,Million Cubic Feet,MMcf,201502,17
CAN,CAN,Million Cubic Feet,MMcf,201501,27
CAN,CAN,Million Cubic Feet,MMcf,201412,22
CAN,CAN,Million Cubic Feet,MMcf,201411,20
CAN,CAN,Million Cubic Feet,MMcf,201410,9
CAN,CAN,Million Cubic Feet,MMcf,201409,0
CAN,CAN,Million Cubic Feet,MMcf,201408,0
CAN,CAN,Million Cubic Feet,MMcf,201407,12
CAN,CAN,Million Cubic Feet,MMcf,201406,19
CAN,CAN,Million Cubic Feet,MMcf,201405,22
CAN,CAN,Million Cubic Feet,MMcf,201404,26
CAN,CAN,Million Cubic Feet,MMcf,201403,25
CAN,CAN,Million Cubic Feet,MMcf,201402,29
CAN,CAN,Million Cubic Feet,MMcf,201401,32
CAN,CAN,Million Cubic Feet,MMcf,201312,22
CAN,CAN,Million Cubic Feet,MMcf,201311,23
CAN,CAN,Million Cubic Feet,MMcf,201310,8
CAN,CAN,Million Cubic Feet,MMcf,201309,0
CAN,CAN,Million Cubic Feet,MMcf,201308,3
CAN,CAN,Million Cubic Feet,MMcf,201307,15
CAN,CAN,Million Cubic Feet,MMcf,201306,19
CAN,CAN,Million Cubic Feet,MMcf,201305,24
CAN,CAN,Million Cubic Feet,MMcf,201304,1
CAN,CAN,Million Cubic Feet,MMcf,201303,0
CAN,CAN,Million Cubic Feet,MMcf,201302,0
CAN,CAN,Million Cubic Feet,MMcf,201301,0
CAN,CAN,Million Cubic Feet,MMcf,201212,0
CAN,CAN,Million Cubic Feet,MMcf,201211,0
CAN,CAN,Million Cubic Feet,MMcf,201210,0
CAN,CAN,Million Cubic Feet,MMcf,201209,0
CAN,CAN,Million Cubic Feet,MMcf,201208,0
CAN,CAN,Million Cubic Feet,MMcf,201207,0
CAN,CAN,Million Cubic Feet,MMcf,201206,0
CAN,CAN,Million Cubic Feet,MMcf,201205,0
CAN,CAN,Million Cubic Feet,MMcf,201204,0
CAN,CAN,Million Cubic Feet,MMcf,201203,0
CAN,CAN,Million Cubic Feet,MMcf,201202,0
CAN,CAN,Million Cubic Feet,MMcf,201201,0
CAN,CAN,Million Cubic Feet,MMcf,201112,0
CAN,CAN,Million Cubic Feet,MMcf,201111,0
CAN,CAN,Million Cubic Feet,MMcf,201110,0
CAN,CAN,Million Cubic Feet,MMcf,201109,0
CAN,CAN,Million Cubic Feet,MMcf,201108,0
CAN,CAN,Million Cubic Feet,MMcf,201107,0
CAN,CAN,Million Cubic Feet,MMcf,201106,0
CAN,CAN,Million Cubic Feet,MMcf,201105,0
CAN,CAN,Million Cubic Feet,MMcf,201104,0
CAN,CAN,Million Cubic Feet,MMcf,201103,0
CAN,CAN,Million Cubic Feet,MMcf,201102,0
CAN,CAN,Million Cubic Feet,MMcf,201101,0
USA,USA,Million Cubic Feet,MMcf,202102,0
USA,USA,Million Cubic Feet,MMcf,202101,0
USA,USA,Million Cubic Feet,MMcf,202012,29
USA,USA,Million Cubic Feet,MMcf,202011,35
USA,USA,Million Cubic Feet,MMcf,202010,26
USA,USA,Million Cubic Feet,MMcf,202009,17
USA,USA,Million Cubic Feet,MMcf,202008,20
USA,USA,Million Cubic Feet,MMcf,202007,37
USA,USA,Million Cubic Feet,MMcf,202006,43
USA,USA,Million Cubic Feet,MMcf,202005,39
USA,USA,Million Cubic Feet,MMcf,202004,35
USA,USA,Million Cubic Feet,MMcf,202003,38
USA,USA,Million Cubic Feet,MMcf,202002,34
USA,USA,Million Cubic Feet,MMcf,202001,33
USA,USA,Million Cubic Feet,MMcf,201912,25
USA,USA,Million Cubic Feet,MMcf,201911,30
USA,USA,Million Cubic Feet,MMcf,201910,28
USA,USA,Million Cubic Feet,MMcf,201909,15
USA,USA,Million Cubic Feet,MMcf,201908,15
USA,USA,Million Cubic Feet,MMcf,201907,20
USA,USA,Million Cubic Feet,MMcf,201906,20
USA,USA,Million Cubic Feet,MMcf,201905,22
USA,USA,Million Cubic Feet,MMcf,201904,28
USA,USA,Million Cubic Feet,MMcf,201903,29
USA,USA,Million Cubic Feet,MMcf,201902,15
USA,USA,Million Cubic Feet,MMcf,201901,16
USA,USA,Million Cubic Feet,MMcf,201812,22
USA,USA,Million Cubic Feet,MMcf,201811,24
USA,USA,Million Cubic Feet,MMcf,201810,9
USA,USA,Million Cubic Feet,MMcf,201809,6
USA,USA,Million Cubic Feet,MMcf,201808,15
USA,USA,Million Cubic Feet,MMcf,201807,22
USA,USA,Million Cubic Feet,MMcf,201806,29
USA,USA,Million Cubic Feet,MMcf,201805,30
USA,USA,Million Cubic Feet,MMcf,201804,29
USA,USA,Million Cubic Feet,MMcf,201803,24
USA,USA,Million Cubic Feet,MMcf,201802,0
USA,USA,Million Cubic Feet,MMcf,201801,13
USA,USA,Million Cubic Feet,MMcf,201712,13
USA,USA,Million Cubic Feet,MMcf,201711,20
USA,USA,Million Cubic Feet,MMcf,201710,4
USA,USA,Million Cubic Feet,MMcf,201709,0
USA,USA,Million Cubic Feet,MMcf,201708,1
USA,USA,Million Cubic Feet,MMcf,201707,8
USA,USA,Million Cubic Feet,MMcf,201706,16
USA,USA,Million Cubic Feet,MMcf,201705,23
USA,USA,Million Cubic Feet,MMcf,201704,24
USA,USA,Million Cubic Feet,MMcf,201703,27
USA,USA,Million Cubic Feet,MMcf,201702,18
USA,USA,Million Cubic Feet,MMcf,201701,19
USA,USA,Million Cubic Feet,MMcf,201612,18
USA,USA,Million Cubic Feet,MMcf,201611,22
USA,USA,Million Cubic Feet,MMcf,201610,11
USA,USA,Million Cubic Feet,MMcf,201609,0
USA,USA,Million Cubic Feet,MMcf,201608,0
USA,USA,Million Cubic Feet,MMcf,201607,20
USA,USA,Million Cubic Feet,MMcf,201606,18
USA,USA,Million Cubic Feet,MMcf,201605,25
USA,USA,Million Cubic Feet,MMcf,201604,28
USA,USA,Million Cubic Feet,MMcf,201603,21
USA,USA,Million Cubic Feet,MMcf,201602,22
USA,USA,Million Cubic Feet,MMcf,201601,25
USA,USA,Million Cubic Feet,MMcf,201512,27
USA,USA,Million Cubic Feet,MMcf,201511,20
USA,USA,Million Cubic Feet,MMcf,201510,4
USA,USA,Million Cubic Feet,MMcf,201509,0
USA,USA,Million Cubic Feet,MMcf,201508,5
USA,USA,Million Cubic Feet,MMcf,201507,23
USA,USA,Million Cubic Feet,MMcf,201506,23
USA,USA,Million Cubic Feet,MMcf,201505,28
USA,USA,Million Cubic Feet,MMcf,201504,21
USA,USA,Million Cubic Feet,MMcf,201503,20
USA,USA,Million Cubic Feet,MMcf,201502,17
USA,USA,Million Cubic Feet,MMcf,201501,27
USA,USA,Million Cubic Feet,MMcf,201412,22
USA,USA,Million Cubic Feet,MMcf,201411,20
USA,USA,Million Cubic Feet,MMcf,201410,9
USA,USA,Million Cubic Feet,MMcf,201409,0
USA,USA,Million Cubic Feet,MMcf,201408,0
USA,USA,Million Cubic Feet,MMcf,201407,12
USA,USA,Million Cubic Feet,MMcf,201406,19
USA,USA,Million Cubic Feet,MMcf,201405,22
USA,USA,Million Cubic Feet,MMcf,201404,26
USA,USA,Million Cubic Feet,MMcf,201403,25
USA,USA,Million Cubic Feet,MMcf,201402,29
USA,USA,Million Cubic Feet,MMcf,201401,32
USA,USA,Million Cubic Feet,MMcf,201312,22
