iso3166,geography,units,unitsshort,period,value
JPN,JPN,Dollars per Thousand Cubic Feet,$/Mcf,2020,6.22
JPN,JPN,Dollars per Thousand Cubic Feet,$/Mcf,2019,6.55
JPN,JPN,Dollars per Thousand Cubic Feet,$/Mcf,2018,6.86
JPN,JPN,Dollars per Thousand Cubic Feet,$/Mcf,2017,6.13
JPN,JPN,Dollars per Thousand Cubic Feet,$/Mcf,2016,3.76
JPN,JPN,Dollars per Thousand Cubic Feet,$/Mcf,2015,7.5
JPN,JPN,Dollars per Thousand Cubic Feet,$/Mcf,2014,15.74
JPN,JPN,Dollars per Thousand Cubic Feet,$/Mcf,2013,
JPN,JPN,Dollars per Thousand Cubic Feet,$/Mcf,2012,14.44
JPN,JPN,Dollars per Thousand Cubic Feet,$/Mcf,2011,12.13
JPN,JPN,Dollars per Thousand Cubic Feet,$/Mcf,2010,11.72
JPN,JPN,Dollars per Thousand Cubic Feet,$/Mcf,2009,8.59
JPN,JPN,Dollars per Thousand Cubic Feet,$/Mcf,2008,7.69
JPN,JPN,Dollars per Thousand Cubic Feet,$/Mcf,2007,5.97
JPN,JPN,Dollars per Thousand Cubic Feet,$/Mcf,2006,6.0
JPN,JPN,Dollars per Thousand Cubic Feet,$/Mcf,2005,5.77
JPN,JPN,Dollars per Thousand Cubic Feet,$/Mcf,2004,4.94
JPN,JPN,Dollars per Thousand Cubic Feet,$/Mcf,2003,4.47
JPN,JPN,Dollars per Thousand Cubic Feet,$/Mcf,2002,4.07
JPN,JPN,Dollars per Thousand Cubic Feet,$/Mcf,2001,4.39
JPN,JPN,Dollars per Thousand Cubic Feet,$/Mcf,2000,4.31
JPN,JPN,Dollars per Thousand Cubic Feet,$/Mcf,1999,3.08
JPN,JPN,Dollars per Thousand Cubic Feet,$/Mcf,1998,2.91
JPN,JPN,Dollars per Thousand Cubic Feet,$/Mcf,1997,3.83
JPN,JPN,Dollars per Thousand Cubic Feet,$/Mcf,1996,3.65
JPN,JPN,Dollars per Thousand Cubic Feet,$/Mcf,1995,3.41
JPN,JPN,Dollars per Thousand Cubic Feet,$/Mcf,1994,3.18
JPN,JPN,Dollars per Thousand Cubic Feet,$/Mcf,1993,3.34
JPN,JPN,Dollars per Thousand Cubic Feet,$/Mcf,1992,3.43
JPN,JPN,Dollars per Thousand Cubic Feet,$/Mcf,1991,3.71
JPN,JPN,Dollars per Thousand Cubic Feet,$/Mcf,1990,3.59
JPN,JPN,Dollars per Thousand Cubic Feet,$/Mcf,1989,3.01
JPN,JPN,Dollars per Thousand Cubic Feet,$/Mcf,1988,2.98
JPN,JPN,Dollars per Thousand Cubic Feet,$/Mcf,1987,3.15
JPN,JPN,Dollars per Thousand Cubic Feet,$/Mcf,1986,2.91
JPN,JPN,Dollars per Thousand Cubic Feet,$/Mcf,1985,4.81
JPN,JPN,Dollars per Thousand Cubic Feet,$/Mcf,1984,
JPN,JPN,Dollars per Thousand Cubic Feet,$/Mcf,1983,
JPN,JPN,Dollars per Thousand Cubic Feet,$/Mcf,1982,
JPN,JPN,Dollars per Thousand Cubic Feet,$/Mcf,1981,
JPN,JPN,Dollars per Thousand Cubic Feet,$/Mcf,1980,
