iso3166,geography,units,unitsshort,period,value
JPN,JPN,Million Cubic Feet,MMcf,2020,288058.0
JPN,JPN,Million Cubic Feet,MMcf,2019,201085.0
JPN,JPN,Million Cubic Feet,MMcf,2018,125534.0
JPN,JPN,Million Cubic Feet,MMcf,2017,53218.0
JPN,JPN,Million Cubic Feet,MMcf,2016,11137.0
JPN,JPN,Million Cubic Feet,MMcf,2015,8262.0
JPN,JPN,Million Cubic Feet,MMcf,2014,13310.0
JPN,JPN,Million Cubic Feet,MMcf,2013,0.0
JPN,JPN,Million Cubic Feet,MMcf,2012,14379.0
JPN,JPN,Million Cubic Feet,MMcf,2011,18012.0
JPN,JPN,Million Cubic Feet,MMcf,2010,32922.0
JPN,JPN,Million Cubic Feet,MMcf,2009,30536.0
JPN,JPN,Million Cubic Feet,MMcf,2008,39164.0
JPN,JPN,Million Cubic Feet,MMcf,2007,46501.0
JPN,JPN,Million Cubic Feet,MMcf,2006,60765.0
JPN,JPN,Million Cubic Feet,MMcf,2005,65124.0
JPN,JPN,Million Cubic Feet,MMcf,2004,62099.0
JPN,JPN,Million Cubic Feet,MMcf,2003,65698.0
JPN,JPN,Million Cubic Feet,MMcf,2002,63439.0
JPN,JPN,Million Cubic Feet,MMcf,2001,65753.0
JPN,JPN,Million Cubic Feet,MMcf,2000,65610.0
JPN,JPN,Million Cubic Feet,MMcf,1999,63607.0
JPN,JPN,Million Cubic Feet,MMcf,1998,65951.0
JPN,JPN,Million Cubic Feet,MMcf,1997,62187.0
JPN,JPN,Million Cubic Feet,MMcf,1996,67648.0
JPN,JPN,Million Cubic Feet,MMcf,1995,65283.0
JPN,JPN,Million Cubic Feet,MMcf,1994,62682.0
JPN,JPN,Million Cubic Feet,MMcf,1993,55989.0
JPN,JPN,Million Cubic Feet,MMcf,1992,52532.0
JPN,JPN,Million Cubic Feet,MMcf,1991,54005.0
JPN,JPN,Million Cubic Feet,MMcf,1990,52546.0
JPN,JPN,Million Cubic Feet,MMcf,1989,51424.0
JPN,JPN,Million Cubic Feet,MMcf,1988,51573.0
JPN,JPN,Million Cubic Feet,MMcf,1987,48599.0
JPN,JPN,Million Cubic Feet,MMcf,1986,50172.0
JPN,JPN,Million Cubic Feet,MMcf,1985,52883.0
JPN,JPN,Million Cubic Feet,MMcf,1984,52840.0
JPN,JPN,Million Cubic Feet,MMcf,1983,52857.0
JPN,JPN,Million Cubic Feet,MMcf,1982,49861.0
JPN,JPN,Million Cubic Feet,MMcf,1981,55929.0
JPN,JPN,Million Cubic Feet,MMcf,1980,44732.0
JPN,JPN,Million Cubic Feet,MMcf,1979,51289.0
JPN,JPN,Million Cubic Feet,MMcf,1978,48434.0
JPN,JPN,Million Cubic Feet,MMcf,1977,51655.0
JPN,JPN,Million Cubic Feet,MMcf,1976,49779.0
JPN,JPN,Million Cubic Feet,MMcf,1975,53002.0
JPN,JPN,Million Cubic Feet,MMcf,1974,50258.0
JPN,JPN,Million Cubic Feet,MMcf,1973,48346.0
MEX,MEX,Million Cubic Feet,MMcf,2020,35230.0
MEX,MEX,Million Cubic Feet,MMcf,2019,144476.0
MEX,MEX,Million Cubic Feet,MMcf,2018,182834.0
MEX,MEX,Million Cubic Feet,MMcf,2017,141434.0
MEX,MEX,Million Cubic Feet,MMcf,2016,27845.0
MEX,MEX,Million Cubic Feet,MMcf,2015,195.0
MEX,MEX,Million Cubic Feet,MMcf,2014,181.0
MEX,MEX,Million Cubic Feet,MMcf,2013,2852.0
MEX,MEX,Million Cubic Feet,MMcf,2012,153.0
MEX,MEX,Million Cubic Feet,MMcf,2011,236.0
MEX,MEX,Million Cubic Feet,MMcf,2010,208.0
MEX,MEX,Million Cubic Feet,MMcf,2009,84.0
MEX,MEX,Million Cubic Feet,MMcf,2008,53.0
MEX,MEX,Million Cubic Feet,MMcf,2007,87.0
MEX,MEX,Million Cubic Feet,MMcf,2006,173.0
MEX,MEX,Million Cubic Feet,MMcf,2005,242.0
MEX,MEX,Million Cubic Feet,MMcf,2004,368.0
MEX,MEX,Million Cubic Feet,MMcf,2003,376.0
MEX,MEX,Million Cubic Feet,MMcf,2002,403.0
MEX,MEX,Million Cubic Feet,MMcf,2001,465.0
MEX,MEX,Million Cubic Feet,MMcf,2000,418.0
MEX,MEX,Million Cubic Feet,MMcf,1999,275.0
MEX,MEX,Million Cubic Feet,MMcf,1998,33.0
MEX,MEX,Million Cubic Feet,MMcf,1997,0.0
RUS,RUS,Million Cubic Feet,MMcf,2020,0.0
RUS,RUS,Million Cubic Feet,MMcf,2019,0.0
RUS,RUS,Million Cubic Feet,MMcf,2018,0.0
RUS,RUS,Million Cubic Feet,MMcf,2017,0.0
RUS,RUS,Million Cubic Feet,MMcf,2016,0.0
RUS,RUS,Million Cubic Feet,MMcf,2015,0.0
RUS,RUS,Million Cubic Feet,MMcf,2014,0.0
RUS,RUS,Million Cubic Feet,MMcf,2013,0.0
RUS,RUS,Million Cubic Feet,MMcf,2012,0.0
RUS,RUS,Million Cubic Feet,MMcf,2011,0.0
RUS,RUS,Million Cubic Feet,MMcf,2010,0.0
RUS,RUS,Million Cubic Feet,MMcf,2009,0.0
RUS,RUS,Million Cubic Feet,MMcf,2008,0.0
RUS,RUS,Million Cubic Feet,MMcf,2007,1895.0
USA,USA,Million Cubic Feet,MMcf,2020,2389838.0
USA,USA,Million Cubic Feet,MMcf,2019,1819399.0
USA,USA,Million Cubic Feet,MMcf,2018,1083118.0
USA,USA,Million Cubic Feet,MMcf,2017,707542.0
USA,USA,Million Cubic Feet,MMcf,2016,186841.0
USA,USA,Million Cubic Feet,MMcf,2015,28381.0
USA,USA,Million Cubic Feet,MMcf,2014,16255.0
USA,USA,Million Cubic Feet,MMcf,2013,2924.0
USA,USA,Million Cubic Feet,MMcf,2012,28298.0
USA,USA,Million Cubic Feet,MMcf,2011,70001.0
USA,USA,Million Cubic Feet,MMcf,2010,64793.0
USA,USA,Million Cubic Feet,MMcf,2009,33355.0
USA,USA,Million Cubic Feet,MMcf,2008,39217.0
USA,USA,Million Cubic Feet,MMcf,2007,48485.0
USA,USA,Million Cubic Feet,MMcf,2006,60938.0
USA,USA,Million Cubic Feet,MMcf,2005,65367.0
USA,USA,Million Cubic Feet,MMcf,2004,62467.0
USA,USA,Million Cubic Feet,MMcf,2003,66075.0
USA,USA,Million Cubic Feet,MMcf,2002,63842.0
USA,USA,Million Cubic Feet,MMcf,2001,66218.0
USA,USA,Million Cubic Feet,MMcf,2000,66028.0
USA,USA,Million Cubic Feet,MMcf,1999,63882.0
USA,USA,Million Cubic Feet,MMcf,1998,65984.0
USA,USA,Million Cubic Feet,MMcf,1997,62187.0
USA,USA,Million Cubic Feet,MMcf,1996,67648.0
USA,USA,Million Cubic Feet,MMcf,1995,65283.0
USA,USA,Million Cubic Feet,MMcf,1994,62682.0
USA,USA,Million Cubic Feet,MMcf,1993,55989.0
USA,USA,Million Cubic Feet,MMcf,1992,52532.0
USA,USA,Million Cubic Feet,MMcf,1991,54005.0
USA,USA,Million Cubic Feet,MMcf,1990,52546.0
USA,USA,Million Cubic Feet,MMcf,1989,51424.0
USA,USA,Million Cubic Feet,MMcf,1988,51573.0
USA,USA,Million Cubic Feet,MMcf,1987,48599.0
USA,USA,Million Cubic Feet,MMcf,1986,50172.0
USA,USA,Million Cubic Feet,MMcf,1985,52883.0
JPN,JPN,Million Cubic Feet,MMcf,2019,0.0
JPN,JPN,Million Cubic Feet,MMcf,2018,0.0
JPN,JPN,Million Cubic Feet,MMcf,2017,0.0
JPN,JPN,Million Cubic Feet,MMcf,2016,0.0
JPN,JPN,Million Cubic Feet,MMcf,2015,8262.0
JPN,JPN,Million Cubic Feet,MMcf,2014,13310.0
JPN,JPN,Million Cubic Feet,MMcf,2013,0.0
JPN,JPN,Million Cubic Feet,MMcf,2012,9342.0
JPN,JPN,Million Cubic Feet,MMcf,2011,15271.0
