iso3166,geography,units,unitsshort,period,value
JPN,JPN,Million Cubic Feet,MMcf,202102,18271
JPN,JPN,Million Cubic Feet,MMcf,202101,64331
JPN,JPN,Million Cubic Feet,MMcf,202012,54004
JPN,JPN,Million Cubic Feet,MMcf,202011,32967
JPN,JPN,Million Cubic Feet,MMcf,202010,31636
JPN,JPN,Million Cubic Feet,MMcf,202009,6855
JPN,JPN,Million Cubic Feet,MMcf,202008,22541
JPN,JPN,Million Cubic Feet,MMcf,202007,10618
JPN,JPN,Million Cubic Feet,MMcf,202006,21836
JPN,JPN,Million Cubic Feet,MMcf,202005,13729
JPN,JPN,Million Cubic Feet,MMcf,202004,18387
JPN,JPN,Million Cubic Feet,MMcf,202003,21845
JPN,JPN,Million Cubic Feet,MMcf,202002,21360
JPN,JPN,Million Cubic Feet,MMcf,202001,32280
JPN,JPN,Million Cubic Feet,MMcf,201912,21226
JPN,JPN,Million Cubic Feet,MMcf,201911,17603
JPN,JPN,Million Cubic Feet,MMcf,201910,24504
JPN,JPN,Million Cubic Feet,MMcf,201909,28084
JPN,JPN,Million Cubic Feet,MMcf,201908,17506
JPN,JPN,Million Cubic Feet,MMcf,201907,21242
JPN,JPN,Million Cubic Feet,MMcf,201906,14582
JPN,JPN,Million Cubic Feet,MMcf,201905,7149
JPN,JPN,Million Cubic Feet,MMcf,201904,14231
JPN,JPN,Million Cubic Feet,MMcf,201903,7143
JPN,JPN,Million Cubic Feet,MMcf,201902,10320
JPN,JPN,Million Cubic Feet,MMcf,201901,17495
JPN,JPN,Million Cubic Feet,MMcf,201812,13977
JPN,JPN,Million Cubic Feet,MMcf,201811,23835
JPN,JPN,Million Cubic Feet,MMcf,201810,3017
JPN,JPN,Million Cubic Feet,MMcf,201809,16698
JPN,JPN,Million Cubic Feet,MMcf,201808,10286
JPN,JPN,Million Cubic Feet,MMcf,201807,13438
JPN,JPN,Million Cubic Feet,MMcf,201806,9820
JPN,JPN,Million Cubic Feet,MMcf,201805,12782
JPN,JPN,Million Cubic Feet,MMcf,201804,10967
JPN,JPN,Million Cubic Feet,MMcf,201803,0
JPN,JPN,Million Cubic Feet,MMcf,201802,7099
JPN,JPN,Million Cubic Feet,MMcf,201801,3615
JPN,JPN,Million Cubic Feet,MMcf,201712,13893
JPN,JPN,Million Cubic Feet,MMcf,201711,0
JPN,JPN,Million Cubic Feet,MMcf,201710,6725
JPN,JPN,Million Cubic Feet,MMcf,201709,0
JPN,JPN,Million Cubic Feet,MMcf,201708,3614
JPN,JPN,Million Cubic Feet,MMcf,201707,0
JPN,JPN,Million Cubic Feet,MMcf,201706,3683
JPN,JPN,Million Cubic Feet,MMcf,201705,3667
JPN,JPN,Million Cubic Feet,MMcf,201704,7398
JPN,JPN,Million Cubic Feet,MMcf,201703,0
JPN,JPN,Million Cubic Feet,MMcf,201702,3705
JPN,JPN,Million Cubic Feet,MMcf,201701,10533
JPN,JPN,Million Cubic Feet,MMcf,201612,11137
JPN,JPN,Million Cubic Feet,MMcf,201611,0
JPN,JPN,Million Cubic Feet,MMcf,201610,0
JPN,JPN,Million Cubic Feet,MMcf,201609,0
JPN,JPN,Million Cubic Feet,MMcf,201608,0
JPN,JPN,Million Cubic Feet,MMcf,201607,0
JPN,JPN,Million Cubic Feet,MMcf,201606,0
JPN,JPN,Million Cubic Feet,MMcf,201605,0
JPN,JPN,Million Cubic Feet,MMcf,201604,0
JPN,JPN,Million Cubic Feet,MMcf,201603,0
JPN,JPN,Million Cubic Feet,MMcf,201602,0
JPN,JPN,Million Cubic Feet,MMcf,201601,0
JPN,JPN,Million Cubic Feet,MMcf,201512,0
JPN,JPN,Million Cubic Feet,MMcf,201511,0
JPN,JPN,Million Cubic Feet,MMcf,201510,2755
JPN,JPN,Million Cubic Feet,MMcf,201509,0
JPN,JPN,Million Cubic Feet,MMcf,201508,2753
JPN,JPN,Million Cubic Feet,MMcf,201507,2753
JPN,JPN,Million Cubic Feet,MMcf,201506,0
JPN,JPN,Million Cubic Feet,MMcf,201505,0
JPN,JPN,Million Cubic Feet,MMcf,201504,0
JPN,JPN,Million Cubic Feet,MMcf,201503,0
JPN,JPN,Million Cubic Feet,MMcf,201502,0
JPN,JPN,Million Cubic Feet,MMcf,201501,0
JPN,JPN,Million Cubic Feet,MMcf,201410,2884
JPN,JPN,Million Cubic Feet,MMcf,201409,2886
JPN,JPN,Million Cubic Feet,MMcf,201408,2846
JPN,JPN,Million Cubic Feet,MMcf,201407,2809
JPN,JPN,Million Cubic Feet,MMcf,201405,1886
JPN,JPN,Million Cubic Feet,MMcf,201312,0
JPN,JPN,Million Cubic Feet,MMcf,201311,0
JPN,JPN,Million Cubic Feet,MMcf,201310,0
JPN,JPN,Million Cubic Feet,MMcf,201309,0
JPN,JPN,Million Cubic Feet,MMcf,201308,0
JPN,JPN,Million Cubic Feet,MMcf,201307,0
JPN,JPN,Million Cubic Feet,MMcf,201306,0
JPN,JPN,Million Cubic Feet,MMcf,201305,0
JPN,JPN,Million Cubic Feet,MMcf,201304,0
JPN,JPN,Million Cubic Feet,MMcf,201303,0
JPN,JPN,Million Cubic Feet,MMcf,201302,0
JPN,JPN,Million Cubic Feet,MMcf,201301,0
JPN,JPN,Million Cubic Feet,MMcf,201210,1719
JPN,JPN,Million Cubic Feet,MMcf,201208,2443
JPN,JPN,Million Cubic Feet,MMcf,201206,2386
JPN,JPN,Million Cubic Feet,MMcf,201205,2794
JPN,JPN,Million Cubic Feet,MMcf,201202,1863
JPN,JPN,Million Cubic Feet,MMcf,201201,3174
JPN,JPN,Million Cubic Feet,MMcf,201112,0
JPN,JPN,Million Cubic Feet,MMcf,201111,1936
JPN,JPN,Million Cubic Feet,MMcf,201110,0
JPN,JPN,Million Cubic Feet,MMcf,201109,1916
JPN,JPN,Million Cubic Feet,MMcf,201108,1911
JPN,JPN,Million Cubic Feet,MMcf,201107,0
JPN,JPN,Million Cubic Feet,MMcf,201106,1915
JPN,JPN,Million Cubic Feet,MMcf,201105,2741
JPN,JPN,Million Cubic Feet,MMcf,201104,1913
JPN,JPN,Million Cubic Feet,MMcf,201103,1915
JPN,JPN,Million Cubic Feet,MMcf,201102,1908
JPN,JPN,Million Cubic Feet,MMcf,201101,1856
JPN,JPN,Million Cubic Feet,MMcf,201012,3271
JPN,JPN,Million Cubic Feet,MMcf,201011,1918
JPN,JPN,Million Cubic Feet,MMcf,201010,1915
JPN,JPN,Million Cubic Feet,MMcf,201009,6651
JPN,JPN,Million Cubic Feet,MMcf,201008,1916
JPN,JPN,Million Cubic Feet,MMcf,201007,3829
JPN,JPN,Million Cubic Feet,MMcf,201006,1915
JPN,JPN,Million Cubic Feet,MMcf,201005,1915
JPN,JPN,Million Cubic Feet,MMcf,201004,3836
JPN,JPN,Million Cubic Feet,MMcf,201003,1914
JPN,JPN,Million Cubic Feet,MMcf,201002,1922
JPN,JPN,Million Cubic Feet,MMcf,201001,1920
JPN,JPN,Million Cubic Feet,MMcf,200912,3836
JPN,JPN,Million Cubic Feet,MMcf,200911,1917
JPN,JPN,Million Cubic Feet,MMcf,200910,1914
JPN,JPN,Million Cubic Feet,MMcf,200909,3835
JPN,JPN,Million Cubic Feet,MMcf,200908,1918
JPN,JPN,Million Cubic Feet,MMcf,200907,3832
JPN,JPN,Million Cubic Feet,MMcf,200906,1913
JPN,JPN,Million Cubic Feet,MMcf,200905,1912
JPN,JPN,Million Cubic Feet,MMcf,200904,1915
JPN,JPN,Million Cubic Feet,MMcf,200903,2938
JPN,JPN,Million Cubic Feet,MMcf,200902,2759
JPN,JPN,Million Cubic Feet,MMcf,200901,1847
JPN,JPN,Million Cubic Feet,MMcf,200812,2660
JPN,JPN,Million Cubic Feet,MMcf,200811,3139
JPN,JPN,Million Cubic Feet,MMcf,200810,2939
JPN,JPN,Million Cubic Feet,MMcf,200809,3129
JPN,JPN,Million Cubic Feet,MMcf,200808,4994
JPN,JPN,Million Cubic Feet,MMcf,200807,3613
JPN,JPN,Million Cubic Feet,MMcf,200806,3849
JPN,JPN,Million Cubic Feet,MMcf,200805,3485
JPN,JPN,Million Cubic Feet,MMcf,200804,2860
JPN,JPN,Million Cubic Feet,MMcf,200803,2926
JPN,JPN,Million Cubic Feet,MMcf,200802,2733
JPN,JPN,Million Cubic Feet,MMcf,200801,2835
JPN,JPN,Million Cubic Feet,MMcf,200712,4436
JPN,JPN,Million Cubic Feet,MMcf,200711,3204
JPN,JPN,Million Cubic Feet,MMcf,200710,1680
JPN,JPN,Million Cubic Feet,MMcf,200709,3604
JPN,JPN,Million Cubic Feet,MMcf,200708,4310
JPN,JPN,Million Cubic Feet,MMcf,200707,4239
JPN,JPN,Million Cubic Feet,MMcf,200706,3342
JPN,JPN,Million Cubic Feet,MMcf,200705,3568
JPN,JPN,Million Cubic Feet,MMcf,200704,3502
JPN,JPN,Million Cubic Feet,MMcf,200703,4745
JPN,JPN,Million Cubic Feet,MMcf,200702,5001
JPN,JPN,Million Cubic Feet,MMcf,200701,4870
JPN,JPN,Million Cubic Feet,MMcf,200612,4417
JPN,JPN,Million Cubic Feet,MMcf,200611,4806
JPN,JPN,Million Cubic Feet,MMcf,200610,3171
JPN,JPN,Million Cubic Feet,MMcf,200609,3726
JPN,JPN,Million Cubic Feet,MMcf,200608,5628
JPN,JPN,Million Cubic Feet,MMcf,200607,5595
JPN,JPN,Million Cubic Feet,MMcf,200606,5586
JPN,JPN,Million Cubic Feet,MMcf,200605,5575
JPN,JPN,Million Cubic Feet,MMcf,200604,5570
JPN,JPN,Million Cubic Feet,MMcf,200603,5556
JPN,JPN,Million Cubic Feet,MMcf,200602,5563
JPN,JPN,Million Cubic Feet,MMcf,200601,5572
JPN,JPN,Million Cubic Feet,MMcf,200512,5568
JPN,JPN,Million Cubic Feet,MMcf,200511,5574
JPN,JPN,Million Cubic Feet,MMcf,200510,5574
JPN,JPN,Million Cubic Feet,MMcf,200509,5577
JPN,JPN,Million Cubic Feet,MMcf,200508,5587
JPN,JPN,Million Cubic Feet,MMcf,200507,7454
JPN,JPN,Million Cubic Feet,MMcf,200506,3744
JPN,JPN,Million Cubic Feet,MMcf,200505,3734
JPN,JPN,Million Cubic Feet,MMcf,200504,5630
JPN,JPN,Million Cubic Feet,MMcf,200503,5559
JPN,JPN,Million Cubic Feet,MMcf,200502,5560
JPN,JPN,Million Cubic Feet,MMcf,200501,5565
JPN,JPN,Million Cubic Feet,MMcf,200412,5563
JPN,JPN,Million Cubic Feet,MMcf,200411,5573
JPN,JPN,Million Cubic Feet,MMcf,200410,5296
JPN,JPN,Million Cubic Feet,MMcf,200409,7445
JPN,JPN,Million Cubic Feet,MMcf,200408,5588
JPN,JPN,Million Cubic Feet,MMcf,200407,5611
JPN,JPN,Million Cubic Feet,MMcf,200406,3767
JPN,JPN,Million Cubic Feet,MMcf,200405,1883
JPN,JPN,Million Cubic Feet,MMcf,200404,5607
JPN,JPN,Million Cubic Feet,MMcf,200403,5564
JPN,JPN,Million Cubic Feet,MMcf,200402,5130
JPN,JPN,Million Cubic Feet,MMcf,200401,5071
JPN,JPN,Million Cubic Feet,MMcf,200312,5663
JPN,JPN,Million Cubic Feet,MMcf,200311,5659
JPN,JPN,Million Cubic Feet,MMcf,200310,7566
JPN,JPN,Million Cubic Feet,MMcf,200309,5475
JPN,JPN,Million Cubic Feet,MMcf,200308,5145
JPN,JPN,Million Cubic Feet,MMcf,200307,6546
JPN,JPN,Million Cubic Feet,MMcf,200306,3498
JPN,JPN,Million Cubic Feet,MMcf,200305,3798
JPN,JPN,Million Cubic Feet,MMcf,200304,5605
JPN,JPN,Million Cubic Feet,MMcf,200303,5565
JPN,JPN,Million Cubic Feet,MMcf,200302,5569
JPN,JPN,Million Cubic Feet,MMcf,200301,5610
JPN,JPN,Million Cubic Feet,MMcf,200212,5660
JPN,JPN,Million Cubic Feet,MMcf,200211,5609
JPN,JPN,Million Cubic Feet,MMcf,200210,5571
JPN,JPN,Million Cubic Feet,MMcf,200209,5583
JPN,JPN,Million Cubic Feet,MMcf,200208,5583
JPN,JPN,Million Cubic Feet,MMcf,200207,5588
JPN,JPN,Million Cubic Feet,MMcf,200206,5586
JPN,JPN,Million Cubic Feet,MMcf,200205,1853
JPN,JPN,Million Cubic Feet,MMcf,200204,7427
JPN,JPN,Million Cubic Feet,MMcf,200203,5619
JPN,JPN,Million Cubic Feet,MMcf,200202,3755
JPN,JPN,Million Cubic Feet,MMcf,200201,5605
JPN,JPN,Million Cubic Feet,MMcf,200112,5602
JPN,JPN,Million Cubic Feet,MMcf,200111,5644
JPN,JPN,Million Cubic Feet,MMcf,200110,7576
JPN,JPN,Million Cubic Feet,MMcf,200109,5676
JPN,JPN,Million Cubic Feet,MMcf,200108,5684
JPN,JPN,Million Cubic Feet,MMcf,200107,5665
