iso3166,geography,units,unitsshort,period,value
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2020,2.06
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2019,2.77
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2018,3.41
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2017,3.12
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2016,2.6
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2015,3.15
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2014,6.1
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2013,4.17
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2012,3.17
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2011,4.45
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2010,4.84
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2009,4.59
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2008,8.86
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2007,7.17
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2006,7.32
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2005,7.8
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2004,6.47
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2003,6.03
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2002,3.35
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2001,3.97
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2000,3.66
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,1999,2.35
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,1998,2.25
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,1997,2.52
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,1996,2.67
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,1995,1.96
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,1994,2.42
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,1993,2.14
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,1992,1.83
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,1991,1.91
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,1990,2.7
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,1989,2.0
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,1988,2.02
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,1987,1.81
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,1986,2.12
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,1985,3.06
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2020,2.12
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2019,2.57
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2018,3.3
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2017,3.26
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2016,2.64
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2015,2.81
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2014,4.66
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2013,3.91
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2012,2.94
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2011,4.18
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2010,4.54
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2009,3.83
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2008,8.25
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2007,6.6
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2006,6.46
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2005,7.74
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2004,5.89
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2003,5.36
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2002,3.3
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2001,4.34
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2000,4.26
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,1999,2.27
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,1998,2.04
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,1997,2.46
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,1996,2.11
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,1995,1.5
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,1994,1.68
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,1993,2.02
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,1992,1.9
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,1991,1.76
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,1990,1.88
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,1989,2.14
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,1988,3.21
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,1987,3.18
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,1986,3.49
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,1985,3.99
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2020,2.1
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2019,2.64
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2018,3.34
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2017,3.2
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2016,2.63
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2015,2.95
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2014,5.4
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2013,4.06
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2012,3.08
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2011,4.35
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2010,4.75
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2009,4.34
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2008,8.62
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2007,6.96
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2006,6.9
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2005,7.77
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2004,6.18
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2003,5.66
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2002,3.32
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2001,4.14
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2000,4.02
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1999,2.3
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1998,2.13
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1997,2.49
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1996,2.45
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1995,1.64
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1994,2.08
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1993,2.08
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1992,1.88
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1991,1.79
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1990,2.31
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1989,2.05
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1988,2.14
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1987,2.35
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1986,2.35
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1985,3.92
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2020,2.21
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2019,2.66
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2018,3.37
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2017,3.1
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2016,2.53
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2015,2.71
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2014,4.47
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2013,3.88
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2012,2.94
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2011,4.14
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2010,4.42
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2009,3.91
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2008,9.11
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2007,6.8
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2006,6.51
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2005,8.02
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2004,6.13
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2003,4.99
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2002,
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2001,
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2000,
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,1999,
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2020,2.27
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2019,2.83
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2018,3.35
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2017,3.1
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2016,2.53
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2015,2.79
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2014,4.62
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2013,3.8
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2012,2.86
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2011,4.14
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2010,4.55
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2009,3.91
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2008,8.58
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2007,6.93
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2006,6.75
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2005,7.29
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2004,5.84
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2003,5.18
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2002,
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2001,
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2000,
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,1999,
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2020,2.39
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2019,2.96
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2018,3.52
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2017,3.21
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2016,2.43
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2015,2.72
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2014,4.63
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2013,3.81
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2012,2.86
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2011,4.1
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2010,4.5
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2009,3.95
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2008,8.4
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2007,7.11
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2006,6.62
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2005,7.17
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2004,5.97
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2003,5.36
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2002,3.35
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2001,4.12
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2000,4.49
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,1999,
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,1998,0.0
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2018,
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2017,
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2016,0.0
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2015,
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2014,4.9
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2013,
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2012,
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2011,3.39
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2010,
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2009,
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2008,
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2007,
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2006,
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2005,
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2004,4.98
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2003,6.48
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2002,2.28
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2001,3.55
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2000,
