iso3166,geography,units,unitsshort,period,value
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,202102,4.03
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,202101,2.99
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,202012,2.8
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,202011,2.53
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,202010,2.05
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,202009,2.0
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,202008,1.92
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,202007,1.75
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,202006,1.77
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,202005,1.83
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,202004,1.77
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,202003,1.81
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,202002,1.99
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,202001,2.25
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201912,2.61
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201911,2.84
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201910,2.2
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201909,2.22
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201908,2.15
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201907,2.31
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201906,2.39
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201905,2.55
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201904,2.72
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201903,3.49
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201902,3.38
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201901,3.89
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201812,4.6
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201811,4.36
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201810,3.24
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201809,2.92
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201808,2.95
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201807,2.83
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201806,2.75
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201805,2.63
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201804,2.9
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201803,2.63
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201802,3.16
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201801,4.17
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201712,3.19
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201711,2.99
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201710,2.78
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201709,2.88
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201708,2.84
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201707,2.9
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201706,3.02
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201705,3.16
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201704,3.19
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201703,3.01
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201702,3.22
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201701,3.85
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201612,3.82
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201611,2.71
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201610,2.72
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201609,2.83
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201608,2.65
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201607,2.73
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201606,2.23
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201605,1.98
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201604,2.07
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201603,1.99
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201602,2.34
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201601,2.66
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201512,2.3
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201511,2.5
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201510,2.76
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201509,2.97
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201508,2.97
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201507,2.84
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201506,2.85
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201505,2.85
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201504,2.91
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201503,3.71
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201502,4.39
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201501,3.63
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201412,4.28
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201411,4.64
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201410,3.96
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201409,3.98
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201408,3.94
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201407,4.37
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201406,4.81
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201405,4.78
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201404,5.04
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201403,10.13
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201402,11.42
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201401,6.49
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201312,4.65
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201311,3.98
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201310,3.94
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201309,3.94
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201308,3.83
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201307,4.04
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201306,4.29
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201305,4.46
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201304,4.53
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201303,4.15
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201302,4.04
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201301,4.1
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201212,3.99
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201211,4.14
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201210,3.55
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201209,3.08
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201208,3.18
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201207,3.11
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201206,2.67
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201205,2.53
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201204,2.32
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201203,2.66
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201202,3.02
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201201,3.34
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201112,3.72
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201111,3.94
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201110,4.02
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201109,4.26
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201108,4.59
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201107,4.72
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201106,4.82
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201105,4.74
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201104,4.67
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201103,4.45
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201102,4.67
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201101,4.84
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201012,4.68
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201011,4.21
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201010,4.09
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201009,4.23
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201008,4.85
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201007,5.02
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201006,4.83
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201005,4.64
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201004,4.41
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201003,5.0
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201002,5.79
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201001,6.26
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,200912,5.46
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,200911,4.52
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,200910,4.21
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,200909,3.11
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,200908,3.57
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,200907,3.87
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,200906,4.01
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,200905,3.88
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,200904,3.97
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,200903,4.48
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,200902,5.24
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,200901,6.31
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,200812,6.91
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,200811,6.68
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,200810,7.46
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,200809,8.31
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,200808,9.69
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,200807,12.87
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,200806,12.09
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,200805,11.51
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,200804,10.24
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,200803,9.56
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,200802,8.54
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,200801,7.7
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,200712,7.64
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,200711,7.45
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,200710,6.66
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,200709,5.78
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,200708,6.06
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,200707,6.81
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,200706,7.68
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,200705,7.74
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,200704,7.73
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,200703,7.61
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,200702,7.56
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,200701,6.43
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,200612,7.91
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,200611,7.48
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,200610,4.72
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,200609,6.19
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,200608,6.83
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,200607,6.03
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,200606,6.03
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,200605,7.16
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,200604,7.05
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,200603,7.18
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,200602,8.36
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,200601,10.74
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,200512,11.13
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,200511,12.23
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,200510,12.21
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,200509,10.25
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,200508,7.85
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,200507,7.18
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,200506,6.48
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,200505,7.2
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,200504,7.46
