iso3166,geography,units,unitsshort,period,value
CAN,CAN,Million Cubic Feet,MMcf,2020,899984.0
CAN,CAN,Million Cubic Feet,MMcf,2019,971334.0
CAN,CAN,Million Cubic Feet,MMcf,2018,835982.0
CAN,CAN,Million Cubic Feet,MMcf,2017,916380.0
CAN,CAN,Million Cubic Feet,MMcf,2016,771094.0
CAN,CAN,Million Cubic Feet,MMcf,2015,700647.0
CAN,CAN,Million Cubic Feet,MMcf,2014,769258.0
CAN,CAN,Million Cubic Feet,MMcf,2013,911007.0
CAN,CAN,Million Cubic Feet,MMcf,2012,970729.0
CAN,CAN,Million Cubic Feet,MMcf,2011,936993.0
CAN,CAN,Million Cubic Feet,MMcf,2010,738745.0
CAN,CAN,Million Cubic Feet,MMcf,2009,700596.0
CAN,CAN,Million Cubic Feet,MMcf,2008,558650.0
CAN,CAN,Million Cubic Feet,MMcf,2007,482196.0
CAN,CAN,Million Cubic Feet,MMcf,2006,341065.0
CAN,CAN,Million Cubic Feet,MMcf,2005,358280.0
CAN,CAN,Million Cubic Feet,MMcf,2004,394585.0
CAN,CAN,Million Cubic Feet,MMcf,2003,270988.0
CAN,CAN,Million Cubic Feet,MMcf,2002,189313.0
CAN,CAN,Million Cubic Feet,MMcf,2001,166690.0
CAN,CAN,Million Cubic Feet,MMcf,2000,72586.0
CAN,CAN,Million Cubic Feet,MMcf,1999,38508.0
CAN,CAN,Million Cubic Feet,MMcf,1998,39891.0
CAN,CAN,Million Cubic Feet,MMcf,1997,56447.0
CAN,CAN,Million Cubic Feet,MMcf,1996,51905.0
CAN,CAN,Million Cubic Feet,MMcf,1995,27554.0
CAN,CAN,Million Cubic Feet,MMcf,1994,52556.0
CAN,CAN,Million Cubic Feet,MMcf,1993,44518.0
CAN,CAN,Million Cubic Feet,MMcf,1992,67777.0
CAN,CAN,Million Cubic Feet,MMcf,1991,14791.0
CAN,CAN,Million Cubic Feet,MMcf,1990,17359.0
CAN,CAN,Million Cubic Feet,MMcf,1989,38443.0
CAN,CAN,Million Cubic Feet,MMcf,1988,19738.0
CAN,CAN,Million Cubic Feet,MMcf,1987,3297.0
CAN,CAN,Million Cubic Feet,MMcf,1986,9203.0
CAN,CAN,Million Cubic Feet,MMcf,1985,178.0
CAN,CAN,Million Cubic Feet,MMcf,1984,127.0
CAN,CAN,Million Cubic Feet,MMcf,1983,136.0
CAN,CAN,Million Cubic Feet,MMcf,1982,162.0
CAN,CAN,Million Cubic Feet,MMcf,1981,106.0
CAN,CAN,Million Cubic Feet,MMcf,1980,113.0
CAN,CAN,Million Cubic Feet,MMcf,1979,76.0
CAN,CAN,Million Cubic Feet,MMcf,1978,66.0
CAN,CAN,Million Cubic Feet,MMcf,1977,31.0
CAN,CAN,Million Cubic Feet,MMcf,1976,7506.0
CAN,CAN,Million Cubic Feet,MMcf,1975,10219.0
CAN,CAN,Million Cubic Feet,MMcf,1974,13263.0
CAN,CAN,Million Cubic Feet,MMcf,1973,14823.0
MEX,MEX,Million Cubic Feet,MMcf,2020,1990809.0
MEX,MEX,Million Cubic Feet,MMcf,2019,1865329.0
MEX,MEX,Million Cubic Feet,MMcf,2018,1688519.0
MEX,MEX,Million Cubic Feet,MMcf,2017,1529711.0
MEX,MEX,Million Cubic Feet,MMcf,2016,1377305.0
MEX,MEX,Million Cubic Feet,MMcf,2015,1054271.0
MEX,MEX,Million Cubic Feet,MMcf,2014,728513.0
MEX,MEX,Million Cubic Feet,MMcf,2013,658368.0
MEX,MEX,Million Cubic Feet,MMcf,2012,619802.0
MEX,MEX,Million Cubic Feet,MMcf,2011,498657.0
MEX,MEX,Million Cubic Feet,MMcf,2010,333251.0
MEX,MEX,Million Cubic Feet,MMcf,2009,338406.0
MEX,MEX,Million Cubic Feet,MMcf,2008,365396.0
MEX,MEX,Million Cubic Feet,MMcf,2007,291773.0
MEX,MEX,Million Cubic Feet,MMcf,2006,321955.0
MEX,MEX,Million Cubic Feet,MMcf,2005,304954.0
MEX,MEX,Million Cubic Feet,MMcf,2004,397086.0
MEX,MEX,Million Cubic Feet,MMcf,2003,342859.0
MEX,MEX,Million Cubic Feet,MMcf,2002,263078.0
MEX,MEX,Million Cubic Feet,MMcf,2001,140370.0
MEX,MEX,Million Cubic Feet,MMcf,2000,105102.0
MEX,MEX,Million Cubic Feet,MMcf,1999,61025.0
MEX,MEX,Million Cubic Feet,MMcf,1998,53133.0
MEX,MEX,Million Cubic Feet,MMcf,1997,38372.0
MEX,MEX,Million Cubic Feet,MMcf,1996,33840.0
MEX,MEX,Million Cubic Feet,MMcf,1995,61283.0
MEX,MEX,Million Cubic Feet,MMcf,1994,46500.0
MEX,MEX,Million Cubic Feet,MMcf,1993,39676.0
MEX,MEX,Million Cubic Feet,MMcf,1992,95973.0
MEX,MEX,Million Cubic Feet,MMcf,1991,60448.0
MEX,MEX,Million Cubic Feet,MMcf,1990,15659.0
MEX,MEX,Million Cubic Feet,MMcf,1989,17004.0
MEX,MEX,Million Cubic Feet,MMcf,1988,2327.0
MEX,MEX,Million Cubic Feet,MMcf,1987,2125.0
MEX,MEX,Million Cubic Feet,MMcf,1986,1896.0
MEX,MEX,Million Cubic Feet,MMcf,1985,2207.0
MEX,MEX,Million Cubic Feet,MMcf,1984,1786.0
MEX,MEX,Million Cubic Feet,MMcf,1983,1646.0
MEX,MEX,Million Cubic Feet,MMcf,1982,1705.0
MEX,MEX,Million Cubic Feet,MMcf,1981,3337.0
MEX,MEX,Million Cubic Feet,MMcf,1980,3886.0
MEX,MEX,Million Cubic Feet,MMcf,1979,4308.0
MEX,MEX,Million Cubic Feet,MMcf,1978,4033.0
MEX,MEX,Million Cubic Feet,MMcf,1977,3940.0
MEX,MEX,Million Cubic Feet,MMcf,1976,7425.0
MEX,MEX,Million Cubic Feet,MMcf,1975,9453.0
MEX,MEX,Million Cubic Feet,MMcf,1974,13268.0
MEX,MEX,Million Cubic Feet,MMcf,1973,13999.0
