iso3166,geography,units,unitsshort,period,value
CAN,CAN,Million Cubic Feet,MMcf,202102,77977
CAN,CAN,Million Cubic Feet,MMcf,202101,84352
CAN,CAN,Million Cubic Feet,MMcf,202012,82958
CAN,CAN,Million Cubic Feet,MMcf,202011,80233
CAN,CAN,Million Cubic Feet,MMcf,202010,72833
CAN,CAN,Million Cubic Feet,MMcf,202009,62211
CAN,CAN,Million Cubic Feet,MMcf,202008,60810
CAN,CAN,Million Cubic Feet,MMcf,202007,71778
CAN,CAN,Million Cubic Feet,MMcf,202006,66516
CAN,CAN,Million Cubic Feet,MMcf,202005,67752
CAN,CAN,Million Cubic Feet,MMcf,202004,71722
CAN,CAN,Million Cubic Feet,MMcf,202003,86579
CAN,CAN,Million Cubic Feet,MMcf,202002,77361
CAN,CAN,Million Cubic Feet,MMcf,202001,99233
CAN,CAN,Million Cubic Feet,MMcf,201912,109175
CAN,CAN,Million Cubic Feet,MMcf,201911,92089
CAN,CAN,Million Cubic Feet,MMcf,201910,76246
CAN,CAN,Million Cubic Feet,MMcf,201909,71573
CAN,CAN,Million Cubic Feet,MMcf,201908,78302
CAN,CAN,Million Cubic Feet,MMcf,201907,68613
CAN,CAN,Million Cubic Feet,MMcf,201906,61809
CAN,CAN,Million Cubic Feet,MMcf,201905,70182
CAN,CAN,Million Cubic Feet,MMcf,201904,71333
CAN,CAN,Million Cubic Feet,MMcf,201903,93182
CAN,CAN,Million Cubic Feet,MMcf,201902,91561
CAN,CAN,Million Cubic Feet,MMcf,201901,87269
CAN,CAN,Million Cubic Feet,MMcf,201812,100101
CAN,CAN,Million Cubic Feet,MMcf,201811,89784
CAN,CAN,Million Cubic Feet,MMcf,201810,64726
CAN,CAN,Million Cubic Feet,MMcf,201809,70393
CAN,CAN,Million Cubic Feet,MMcf,201808,65677
CAN,CAN,Million Cubic Feet,MMcf,201807,56880
CAN,CAN,Million Cubic Feet,MMcf,201806,50976
CAN,CAN,Million Cubic Feet,MMcf,201805,39689
CAN,CAN,Million Cubic Feet,MMcf,201804,62641
CAN,CAN,Million Cubic Feet,MMcf,201803,67652
CAN,CAN,Million Cubic Feet,MMcf,201802,76340
CAN,CAN,Million Cubic Feet,MMcf,201801,91120
CAN,CAN,Million Cubic Feet,MMcf,201712,80924
CAN,CAN,Million Cubic Feet,MMcf,201711,73857
CAN,CAN,Million Cubic Feet,MMcf,201710,68143
CAN,CAN,Million Cubic Feet,MMcf,201709,69631
CAN,CAN,Million Cubic Feet,MMcf,201708,66336
CAN,CAN,Million Cubic Feet,MMcf,201707,59760
CAN,CAN,Million Cubic Feet,MMcf,201706,66725
CAN,CAN,Million Cubic Feet,MMcf,201705,63949
CAN,CAN,Million Cubic Feet,MMcf,201704,80532
CAN,CAN,Million Cubic Feet,MMcf,201703,99914
CAN,CAN,Million Cubic Feet,MMcf,201702,87798
CAN,CAN,Million Cubic Feet,MMcf,201701,98811
CAN,CAN,Million Cubic Feet,MMcf,201612,97178
CAN,CAN,Million Cubic Feet,MMcf,201611,74544
CAN,CAN,Million Cubic Feet,MMcf,201610,43471
CAN,CAN,Million Cubic Feet,MMcf,201609,61499
CAN,CAN,Million Cubic Feet,MMcf,201608,55012
CAN,CAN,Million Cubic Feet,MMcf,201607,49750
CAN,CAN,Million Cubic Feet,MMcf,201606,50715
CAN,CAN,Million Cubic Feet,MMcf,201605,62768
CAN,CAN,Million Cubic Feet,MMcf,201604,62931
CAN,CAN,Million Cubic Feet,MMcf,201603,81403
CAN,CAN,Million Cubic Feet,MMcf,201602,62192
CAN,CAN,Million Cubic Feet,MMcf,201601,69629
CAN,CAN,Million Cubic Feet,MMcf,201512,58603
CAN,CAN,Million Cubic Feet,MMcf,201511,61260
CAN,CAN,Million Cubic Feet,MMcf,201510,57430
CAN,CAN,Million Cubic Feet,MMcf,201509,59695
CAN,CAN,Million Cubic Feet,MMcf,201508,40986
CAN,CAN,Million Cubic Feet,MMcf,201507,39995
CAN,CAN,Million Cubic Feet,MMcf,201506,44658
CAN,CAN,Million Cubic Feet,MMcf,201505,44672
CAN,CAN,Million Cubic Feet,MMcf,201504,53086
CAN,CAN,Million Cubic Feet,MMcf,201503,89639
CAN,CAN,Million Cubic Feet,MMcf,201502,77594
CAN,CAN,Million Cubic Feet,MMcf,201501,73028
CAN,CAN,Million Cubic Feet,MMcf,201412,73331
CAN,CAN,Million Cubic Feet,MMcf,201411,62327
CAN,CAN,Million Cubic Feet,MMcf,201410,51838
CAN,CAN,Million Cubic Feet,MMcf,201409,52153
CAN,CAN,Million Cubic Feet,MMcf,201408,46888
CAN,CAN,Million Cubic Feet,MMcf,201407,55096
CAN,CAN,Million Cubic Feet,MMcf,201406,54581
CAN,CAN,Million Cubic Feet,MMcf,201405,49976
CAN,CAN,Million Cubic Feet,MMcf,201404,65157
CAN,CAN,Million Cubic Feet,MMcf,201403,91436
CAN,CAN,Million Cubic Feet,MMcf,201402,84535
CAN,CAN,Million Cubic Feet,MMcf,201401,81939
CAN,CAN,Million Cubic Feet,MMcf,201312,72988
CAN,CAN,Million Cubic Feet,MMcf,201311,59903
CAN,CAN,Million Cubic Feet,MMcf,201310,69644
CAN,CAN,Million Cubic Feet,MMcf,201309,69733
CAN,CAN,Million Cubic Feet,MMcf,201308,68329
CAN,CAN,Million Cubic Feet,MMcf,201307,66473
CAN,CAN,Million Cubic Feet,MMcf,201306,75874
CAN,CAN,Million Cubic Feet,MMcf,201305,81695
CAN,CAN,Million Cubic Feet,MMcf,201304,70909
CAN,CAN,Million Cubic Feet,MMcf,201303,92414
CAN,CAN,Million Cubic Feet,MMcf,201302,84221
CAN,CAN,Million Cubic Feet,MMcf,201301,98824
CAN,CAN,Million Cubic Feet,MMcf,201212,100693
CAN,CAN,Million Cubic Feet,MMcf,201211,92926
CAN,CAN,Million Cubic Feet,MMcf,201210,75043
