iso3166,geography,units,unitsshort,period,value
USA,USA,Million Cubic Feet,MMcf,2020,5281017
USA,USA,Million Cubic Feet,MMcf,2019,4656324
USA,USA,Million Cubic Feet,MMcf,2018,3607841
USA,USA,Million Cubic Feet,MMcf,2017,3153804
USA,USA,Million Cubic Feet,MMcf,2016,2335448
USA,USA,Million Cubic Feet,MMcf,2015,1783512
USA,USA,Million Cubic Feet,MMcf,2014,1514242
USA,USA,Million Cubic Feet,MMcf,2013,1572413
USA,USA,Million Cubic Feet,MMcf,2012,1618828
USA,USA,Million Cubic Feet,MMcf,2011,1505650
USA,USA,Million Cubic Feet,MMcf,2010,1136789
USA,USA,Million Cubic Feet,MMcf,2009,1072357
USA,USA,Million Cubic Feet,MMcf,2008,963263
USA,USA,Million Cubic Feet,MMcf,2007,822454
USA,USA,Million Cubic Feet,MMcf,2006,723958
USA,USA,Million Cubic Feet,MMcf,2005,728601
USA,USA,Million Cubic Feet,MMcf,2004,854138
USA,USA,Million Cubic Feet,MMcf,2003,679922
USA,USA,Million Cubic Feet,MMcf,2002,516233
USA,USA,Million Cubic Feet,MMcf,2001,373278
USA,USA,Million Cubic Feet,MMcf,2000,243716
USA,USA,Million Cubic Feet,MMcf,1999,163415
USA,USA,Million Cubic Feet,MMcf,1998,159007
USA,USA,Million Cubic Feet,MMcf,1997,157006
USA,USA,Million Cubic Feet,MMcf,1996,153393
USA,USA,Million Cubic Feet,MMcf,1995,154119
USA,USA,Million Cubic Feet,MMcf,1994,161738
USA,USA,Million Cubic Feet,MMcf,1993,140183
USA,USA,Million Cubic Feet,MMcf,1992,216282
USA,USA,Million Cubic Feet,MMcf,1991,129244
USA,USA,Million Cubic Feet,MMcf,1990,85565
USA,USA,Million Cubic Feet,MMcf,1989,106871
USA,USA,Million Cubic Feet,MMcf,1988,73638
USA,USA,Million Cubic Feet,MMcf,1987,54020
USA,USA,Million Cubic Feet,MMcf,1986,61271
USA,USA,Million Cubic Feet,MMcf,1985,55268
USA,USA,Million Cubic Feet,MMcf,1984,54753
USA,USA,Million Cubic Feet,MMcf,1983,54639
USA,USA,Million Cubic Feet,MMcf,1982,51728
USA,USA,Million Cubic Feet,MMcf,1981,59372
USA,USA,Million Cubic Feet,MMcf,1980,48731
USA,USA,Million Cubic Feet,MMcf,1979,55673
USA,USA,Million Cubic Feet,MMcf,1978,52532
USA,USA,Million Cubic Feet,MMcf,1977,55625
USA,USA,Million Cubic Feet,MMcf,1976,64710
USA,USA,Million Cubic Feet,MMcf,1975,72675
USA,USA,Million Cubic Feet,MMcf,1974,76789
USA,USA,Million Cubic Feet,MMcf,1973,77169
USA-AK,USA-AK,Million Cubic Feet,MMcf,2019,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2018,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2017,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2016,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2015,16519
USA-AK,USA-AK,Million Cubic Feet,MMcf,2014,13310
USA-AK,USA-AK,Million Cubic Feet,MMcf,2013,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2012,9342
USA-AK,USA-AK,Million Cubic Feet,MMcf,2011,16398
USA-AK,USA-AK,Million Cubic Feet,MMcf,2010,30100
USA-AK,USA-AK,Million Cubic Feet,MMcf,2009,30536
USA-AK,USA-AK,Million Cubic Feet,MMcf,2008,39164
USA-AK,USA-AK,Million Cubic Feet,MMcf,2007,48396
USA-AK,USA-AK,Million Cubic Feet,MMcf,2006,60765
USA-AK,USA-AK,Million Cubic Feet,MMcf,2005,65124
USA-AK,USA-AK,Million Cubic Feet,MMcf,2004,62099
USA-AK,USA-AK,Million Cubic Feet,MMcf,2003,65698
USA-AK,USA-AK,Million Cubic Feet,MMcf,2002,63439
USA-AK,USA-AK,Million Cubic Feet,MMcf,2001,65753
USA-AK,USA-AK,Million Cubic Feet,MMcf,2000,65610
USA-AK,USA-AK,Million Cubic Feet,MMcf,1999,63607
USA-AK,USA-AK,Million Cubic Feet,MMcf,1998,65951
