iso3166,geography,units,unitsshort,period,value
USA,USA,Million Cubic Feet,MMcf,2020,2551727.0
USA,USA,Million Cubic Feet,MMcf,2019,2741717.0
USA,USA,Million Cubic Feet,MMcf,2018,2888847.0
USA,USA,Million Cubic Feet,MMcf,2017,3033226.0
USA,USA,Million Cubic Feet,MMcf,2016,3006497.0
USA,USA,Million Cubic Feet,MMcf,2015,2718094.0
USA,USA,Million Cubic Feet,MMcf,2014,2695378.0
USA,USA,Million Cubic Feet,MMcf,2013,2883355.0
USA,USA,Million Cubic Feet,MMcf,2012,3137789.0
USA,USA,Million Cubic Feet,MMcf,2011,3468693.0
USA,USA,Million Cubic Feet,MMcf,2010,3740757.0
USA,USA,Million Cubic Feet,MMcf,2009,3751360.0
USA,USA,Million Cubic Feet,MMcf,2008,3984101.0
USA,USA,Million Cubic Feet,MMcf,2007,4607582.0
USA,USA,Million Cubic Feet,MMcf,2006,4186281.0
USA,USA,Million Cubic Feet,MMcf,2005,4341034.0
USA,USA,Million Cubic Feet,MMcf,2004,4258558.0
USA,USA,Million Cubic Feet,MMcf,2003,3943749.0
USA,USA,Million Cubic Feet,MMcf,2002,4015463.0
USA,USA,Million Cubic Feet,MMcf,2001,3976939.0
USA,USA,Million Cubic Feet,MMcf,2000,3781603.0
USA,USA,Million Cubic Feet,MMcf,1999,3585505.0
USA,USA,Million Cubic Feet,MMcf,1998,3152058.0
USA,USA,Million Cubic Feet,MMcf,1997,2994173.0
USA,USA,Million Cubic Feet,MMcf,1996,2937413.0
USA,USA,Million Cubic Feet,MMcf,1995,2841048.0
USA,USA,Million Cubic Feet,MMcf,1994,2623839.0
USA,USA,Million Cubic Feet,MMcf,1993,2350115.0
USA,USA,Million Cubic Feet,MMcf,1992,2137504.0
USA,USA,Million Cubic Feet,MMcf,1991,1773313.0
USA,USA,Million Cubic Feet,MMcf,1990,1532259.0
USA,USA,Million Cubic Feet,MMcf,1989,1381520.0
USA,USA,Million Cubic Feet,MMcf,1988,1293812.0
USA,USA,Million Cubic Feet,MMcf,1987,992532.0
USA,USA,Million Cubic Feet,MMcf,1986,750449.0
USA,USA,Million Cubic Feet,MMcf,1985,949715.0
USA,USA,Million Cubic Feet,MMcf,1984,843060.0
USA,USA,Million Cubic Feet,MMcf,1983,918407.0
USA,USA,Million Cubic Feet,MMcf,1982,933336.0
USA,USA,Million Cubic Feet,MMcf,1981,903949.0
USA,USA,Million Cubic Feet,MMcf,1980,984767.0
USA,USA,Million Cubic Feet,MMcf,1979,1253383.0
USA,USA,Million Cubic Feet,MMcf,1978,965545.0
USA,USA,Million Cubic Feet,MMcf,1977,1011002.0
USA,USA,Million Cubic Feet,MMcf,1976,963768.0
USA,USA,Million Cubic Feet,MMcf,1975,953008.0
USA,USA,Million Cubic Feet,MMcf,1974,959285.0
USA,USA,Million Cubic Feet,MMcf,1973,1032903.0
USA-GA,USA-GA,Million Cubic Feet,MMcf,2019,5648.0
USA-GA,USA-GA,Million Cubic Feet,MMcf,2018,14500.0
USA-GA,USA-GA,Million Cubic Feet,MMcf,2017,6514.0
