iso3166,geography,units,unitsshort,period,value
USA,USA,Million Cubic Feet,MMcf,202102,271940
USA,USA,Million Cubic Feet,MMcf,202101,284087
USA,USA,Million Cubic Feet,MMcf,202012,266615
USA,USA,Million Cubic Feet,MMcf,202011,211811
USA,USA,Million Cubic Feet,MMcf,202010,199208
USA,USA,Million Cubic Feet,MMcf,202009,174339
USA,USA,Million Cubic Feet,MMcf,202008,211392
USA,USA,Million Cubic Feet,MMcf,202007,210453
USA,USA,Million Cubic Feet,MMcf,202006,187513
USA,USA,Million Cubic Feet,MMcf,202005,186555
USA,USA,Million Cubic Feet,MMcf,202004,190076
USA,USA,Million Cubic Feet,MMcf,202003,213182
USA,USA,Million Cubic Feet,MMcf,202002,238461
USA,USA,Million Cubic Feet,MMcf,202001,262121
USA,USA,Million Cubic Feet,MMcf,201912,256053
USA,USA,Million Cubic Feet,MMcf,201911,223765
USA,USA,Million Cubic Feet,MMcf,201910,210537
USA,USA,Million Cubic Feet,MMcf,201909,208286
USA,USA,Million Cubic Feet,MMcf,201908,220076
USA,USA,Million Cubic Feet,MMcf,201907,230407
USA,USA,Million Cubic Feet,MMcf,201906,201163
USA,USA,Million Cubic Feet,MMcf,201905,207651
USA,USA,Million Cubic Feet,MMcf,201904,206559
USA,USA,Million Cubic Feet,MMcf,201903,252989
USA,USA,Million Cubic Feet,MMcf,201902,233344
USA,USA,Million Cubic Feet,MMcf,201901,290886
USA,USA,Million Cubic Feet,MMcf,201812,257148
USA,USA,Million Cubic Feet,MMcf,201811,212486
USA,USA,Million Cubic Feet,MMcf,201810,215128
USA,USA,Million Cubic Feet,MMcf,201809,214074
USA,USA,Million Cubic Feet,MMcf,201808,237025
USA,USA,Million Cubic Feet,MMcf,201807,247012
USA,USA,Million Cubic Feet,MMcf,201806,228469
USA,USA,Million Cubic Feet,MMcf,201805,227168
USA,USA,Million Cubic Feet,MMcf,201804,242264
USA,USA,Million Cubic Feet,MMcf,201803,270762
USA,USA,Million Cubic Feet,MMcf,201802,237417
USA,USA,Million Cubic Feet,MMcf,201801,299891
USA,USA,Million Cubic Feet,MMcf,201712,274478
USA,USA,Million Cubic Feet,MMcf,201711,240314
USA,USA,Million Cubic Feet,MMcf,201710,241338
USA,USA,Million Cubic Feet,MMcf,201709,229444
USA,USA,Million Cubic Feet,MMcf,201708,247888
USA,USA,Million Cubic Feet,MMcf,201707,250508
USA,USA,Million Cubic Feet,MMcf,201706,239805
USA,USA,Million Cubic Feet,MMcf,201705,244353
USA,USA,Million Cubic Feet,MMcf,201704,238279
USA,USA,Million Cubic Feet,MMcf,201703,280567
