iso3166,geography,units,unitsshort,period,value
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2020,3.26
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2019,3.43
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2018,3.89
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2017,2.95
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2016,1.97
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2015,4.18
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2014,12.37
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2020,3.26
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2019,3.43
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2018,3.89
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2017,2.95
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2016,1.97
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2015,4.18
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2014,12.37
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2020,3.26
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2019,3.43
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2018,3.88
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2017,2.95
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2016,1.97
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2015,4.18
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2014,12.37
