iso3166,geography,units,unitsshort,period,value
CAN,CAN,Million Cubic Feet,MMcf,2020,300
CAN,CAN,Million Cubic Feet,MMcf,2019,377
CAN,CAN,Million Cubic Feet,MMcf,2018,359
CAN,CAN,Million Cubic Feet,MMcf,2017,345
CAN,CAN,Million Cubic Feet,MMcf,2016,299
CAN,CAN,Million Cubic Feet,MMcf,2015,291
CAN,CAN,Million Cubic Feet,MMcf,2014,303
USA,USA,Million Cubic Feet,MMcf,2020,300
USA,USA,Million Cubic Feet,MMcf,2019,377
USA,USA,Million Cubic Feet,MMcf,2018,359
USA,USA,Million Cubic Feet,MMcf,2017,345
USA,USA,Million Cubic Feet,MMcf,2016,299
USA,USA,Million Cubic Feet,MMcf,2015,291
USA,USA,Million Cubic Feet,MMcf,2014,303
CAN,CAN,Million Cubic Feet,MMcf,2020,300
CAN,CAN,Million Cubic Feet,MMcf,2019,377
CAN,CAN,Million Cubic Feet,MMcf,2018,358
CAN,CAN,Million Cubic Feet,MMcf,2017,345
CAN,CAN,Million Cubic Feet,MMcf,2016,299
CAN,CAN,Million Cubic Feet,MMcf,2015,291
CAN,CAN,Million Cubic Feet,MMcf,2014,303
