iso3166,geography,units,unitsshort,period,value
CAN,CAN,Million Cubic Feet,MMcf,202102,23
CAN,CAN,Million Cubic Feet,MMcf,202101,21
CAN,CAN,Million Cubic Feet,MMcf,202012,20
CAN,CAN,Million Cubic Feet,MMcf,202011,20
CAN,CAN,Million Cubic Feet,MMcf,202010,25
CAN,CAN,Million Cubic Feet,MMcf,202009,17
CAN,CAN,Million Cubic Feet,MMcf,202008,24
CAN,CAN,Million Cubic Feet,MMcf,202007,22
CAN,CAN,Million Cubic Feet,MMcf,202006,36
CAN,CAN,Million Cubic Feet,MMcf,202005,26
CAN,CAN,Million Cubic Feet,MMcf,202004,23
CAN,CAN,Million Cubic Feet,MMcf,202003,34
CAN,CAN,Million Cubic Feet,MMcf,202002,15
CAN,CAN,Million Cubic Feet,MMcf,202001,38
CAN,CAN,Million Cubic Feet,MMcf,201912,33
CAN,CAN,Million Cubic Feet,MMcf,201911,31
CAN,CAN,Million Cubic Feet,MMcf,201910,28
CAN,CAN,Million Cubic Feet,MMcf,201909,22
CAN,CAN,Million Cubic Feet,MMcf,201908,23
CAN,CAN,Million Cubic Feet,MMcf,201907,26
CAN,CAN,Million Cubic Feet,MMcf,201906,26
CAN,CAN,Million Cubic Feet,MMcf,201905,29
CAN,CAN,Million Cubic Feet,MMcf,201904,32
CAN,CAN,Million Cubic Feet,MMcf,201903,47
CAN,CAN,Million Cubic Feet,MMcf,201902,39
CAN,CAN,Million Cubic Feet,MMcf,201901,42
CAN,CAN,Million Cubic Feet,MMcf,201812,30
CAN,CAN,Million Cubic Feet,MMcf,201811,30
CAN,CAN,Million Cubic Feet,MMcf,201810,30
CAN,CAN,Million Cubic Feet,MMcf,201809,24
CAN,CAN,Million Cubic Feet,MMcf,201808,23
CAN,CAN,Million Cubic Feet,MMcf,201807,28
CAN,CAN,Million Cubic Feet,MMcf,201806,28
CAN,CAN,Million Cubic Feet,MMcf,201805,27
CAN,CAN,Million Cubic Feet,MMcf,201804,39
