iso3166,geography,units,unitsshort,period,value
DZA,DZA,Dollars per Thousand Cubic Feet,$/Mcf,2020,
DZA,DZA,Dollars per Thousand Cubic Feet,$/Mcf,2019,
DZA,DZA,Dollars per Thousand Cubic Feet,$/Mcf,2018,
DZA,DZA,Dollars per Thousand Cubic Feet,$/Mcf,2017,
DZA,DZA,Dollars per Thousand Cubic Feet,$/Mcf,2016,
DZA,DZA,Dollars per Thousand Cubic Feet,$/Mcf,2015,
DZA,DZA,Dollars per Thousand Cubic Feet,$/Mcf,2014,
DZA,DZA,Dollars per Thousand Cubic Feet,$/Mcf,2013,
DZA,DZA,Dollars per Thousand Cubic Feet,$/Mcf,2012,
DZA,DZA,Dollars per Thousand Cubic Feet,$/Mcf,2011,
DZA,DZA,Dollars per Thousand Cubic Feet,$/Mcf,2010,
DZA,DZA,Dollars per Thousand Cubic Feet,$/Mcf,2009,
DZA,DZA,Dollars per Thousand Cubic Feet,$/Mcf,2008,
DZA,DZA,Dollars per Thousand Cubic Feet,$/Mcf,2007,7.17
DZA,DZA,Dollars per Thousand Cubic Feet,$/Mcf,2006,8.48
DZA,DZA,Dollars per Thousand Cubic Feet,$/Mcf,2005,8.86
DZA,DZA,Dollars per Thousand Cubic Feet,$/Mcf,2004,5.82
DZA,DZA,Dollars per Thousand Cubic Feet,$/Mcf,2003,5.32
DZA,DZA,Dollars per Thousand Cubic Feet,$/Mcf,2002,3.61
DZA,DZA,Dollars per Thousand Cubic Feet,$/Mcf,2001,3.73
DZA,DZA,Dollars per Thousand Cubic Feet,$/Mcf,2000,3.48
DZA,DZA,Dollars per Thousand Cubic Feet,$/Mcf,1999,2.41
DZA,DZA,Dollars per Thousand Cubic Feet,$/Mcf,1998,2.51
DZA,DZA,Dollars per Thousand Cubic Feet,$/Mcf,1997,2.67
DZA,DZA,Dollars per Thousand Cubic Feet,$/Mcf,1996,2.7
DZA,DZA,Dollars per Thousand Cubic Feet,$/Mcf,1995,2.3
DZA,DZA,Dollars per Thousand Cubic Feet,$/Mcf,1994,2.28
DZA,DZA,Dollars per Thousand Cubic Feet,$/Mcf,1993,2.2
DZA,DZA,Dollars per Thousand Cubic Feet,$/Mcf,1992,2.54
DZA,DZA,Dollars per Thousand Cubic Feet,$/Mcf,1991,2.36
DZA,DZA,Dollars per Thousand Cubic Feet,$/Mcf,1990,2.47
DZA,DZA,Dollars per Thousand Cubic Feet,$/Mcf,1989,2.22
DZA,DZA,Dollars per Thousand Cubic Feet,$/Mcf,1988,2.71
DZA,DZA,Dollars per Thousand Cubic Feet,$/Mcf,1985,4.6
AUS,AUS,Dollars per Thousand Cubic Feet,$/Mcf,2020,
AUS,AUS,Dollars per Thousand Cubic Feet,$/Mcf,2019,
AUS,AUS,Dollars per Thousand Cubic Feet,$/Mcf,2018,
AUS,AUS,Dollars per Thousand Cubic Feet,$/Mcf,2017,
AUS,AUS,Dollars per Thousand Cubic Feet,$/Mcf,2016,
AUS,AUS,Dollars per Thousand Cubic Feet,$/Mcf,2015,
AUS,AUS,Dollars per Thousand Cubic Feet,$/Mcf,2014,
AUS,AUS,Dollars per Thousand Cubic Feet,$/Mcf,2013,
AUS,AUS,Dollars per Thousand Cubic Feet,$/Mcf,2012,
AUS,AUS,Dollars per Thousand Cubic Feet,$/Mcf,2011,
AUS,AUS,Dollars per Thousand Cubic Feet,$/Mcf,2010,
AUS,AUS,Dollars per Thousand Cubic Feet,$/Mcf,2009,
AUS,AUS,Dollars per Thousand Cubic Feet,$/Mcf,2008,
AUS,AUS,Dollars per Thousand Cubic Feet,$/Mcf,2007,
AUS,AUS,Dollars per Thousand Cubic Feet,$/Mcf,2006,
AUS,AUS,Dollars per Thousand Cubic Feet,$/Mcf,2005,
AUS,AUS,Dollars per Thousand Cubic Feet,$/Mcf,2004,6.47
AUS,AUS,Dollars per Thousand Cubic Feet,$/Mcf,2003,
