iso3166,geography,units,unitsshort,period,value
DZA,DZA,Dollars per Thousand Cubic Feet,$/Mcf,202102,
DZA,DZA,Dollars per Thousand Cubic Feet,$/Mcf,202101,
DZA,DZA,Dollars per Thousand Cubic Feet,$/Mcf,202012,
DZA,DZA,Dollars per Thousand Cubic Feet,$/Mcf,202011,
DZA,DZA,Dollars per Thousand Cubic Feet,$/Mcf,202010,
DZA,DZA,Dollars per Thousand Cubic Feet,$/Mcf,202009,
DZA,DZA,Dollars per Thousand Cubic Feet,$/Mcf,202008,
DZA,DZA,Dollars per Thousand Cubic Feet,$/Mcf,202007,
DZA,DZA,Dollars per Thousand Cubic Feet,$/Mcf,202006,
DZA,DZA,Dollars per Thousand Cubic Feet,$/Mcf,202005,
DZA,DZA,Dollars per Thousand Cubic Feet,$/Mcf,202004,
DZA,DZA,Dollars per Thousand Cubic Feet,$/Mcf,202003,
DZA,DZA,Dollars per Thousand Cubic Feet,$/Mcf,202002,
DZA,DZA,Dollars per Thousand Cubic Feet,$/Mcf,202001,
DZA,DZA,Dollars per Thousand Cubic Feet,$/Mcf,201912,
DZA,DZA,Dollars per Thousand Cubic Feet,$/Mcf,201911,
DZA,DZA,Dollars per Thousand Cubic Feet,$/Mcf,201910,
DZA,DZA,Dollars per Thousand Cubic Feet,$/Mcf,201909,
DZA,DZA,Dollars per Thousand Cubic Feet,$/Mcf,201908,
DZA,DZA,Dollars per Thousand Cubic Feet,$/Mcf,201907,
DZA,DZA,Dollars per Thousand Cubic Feet,$/Mcf,201906,
DZA,DZA,Dollars per Thousand Cubic Feet,$/Mcf,201905,
DZA,DZA,Dollars per Thousand Cubic Feet,$/Mcf,201904,
DZA,DZA,Dollars per Thousand Cubic Feet,$/Mcf,201903,
DZA,DZA,Dollars per Thousand Cubic Feet,$/Mcf,201902,
DZA,DZA,Dollars per Thousand Cubic Feet,$/Mcf,201901,
DZA,DZA,Dollars per Thousand Cubic Feet,$/Mcf,201812,
DZA,DZA,Dollars per Thousand Cubic Feet,$/Mcf,201811,
DZA,DZA,Dollars per Thousand Cubic Feet,$/Mcf,201810,
DZA,DZA,Dollars per Thousand Cubic Feet,$/Mcf,201809,
DZA,DZA,Dollars per Thousand Cubic Feet,$/Mcf,201808,
DZA,DZA,Dollars per Thousand Cubic Feet,$/Mcf,201807,
DZA,DZA,Dollars per Thousand Cubic Feet,$/Mcf,201806,
DZA,DZA,Dollars per Thousand Cubic Feet,$/Mcf,201805,
DZA,DZA,Dollars per Thousand Cubic Feet,$/Mcf,201804,
