iso3166,geography,units,unitsshort,period,value
DZA,DZA,Million Cubic Feet,MMcf,2020,0.0
DZA,DZA,Million Cubic Feet,MMcf,2019,0.0
DZA,DZA,Million Cubic Feet,MMcf,2018,0.0
DZA,DZA,Million Cubic Feet,MMcf,2017,0.0
DZA,DZA,Million Cubic Feet,MMcf,2016,0.0
DZA,DZA,Million Cubic Feet,MMcf,2015,0.0
DZA,DZA,Million Cubic Feet,MMcf,2014,0.0
DZA,DZA,Million Cubic Feet,MMcf,2013,0.0
DZA,DZA,Million Cubic Feet,MMcf,2012,0.0
DZA,DZA,Million Cubic Feet,MMcf,2011,0.0
DZA,DZA,Million Cubic Feet,MMcf,2010,0.0
DZA,DZA,Million Cubic Feet,MMcf,2009,0.0
DZA,DZA,Million Cubic Feet,MMcf,2008,0.0
DZA,DZA,Million Cubic Feet,MMcf,2007,77299.0
DZA,DZA,Million Cubic Feet,MMcf,2006,17449.0
DZA,DZA,Million Cubic Feet,MMcf,2005,97157.0
DZA,DZA,Million Cubic Feet,MMcf,2004,120343.0
DZA,DZA,Million Cubic Feet,MMcf,2003,53423.0
DZA,DZA,Million Cubic Feet,MMcf,2002,26584.0
DZA,DZA,Million Cubic Feet,MMcf,2001,64945.0
DZA,DZA,Million Cubic Feet,MMcf,2000,46947.0
DZA,DZA,Million Cubic Feet,MMcf,1999,75763.0
DZA,DZA,Million Cubic Feet,MMcf,1998,68567.0
DZA,DZA,Million Cubic Feet,MMcf,1997,65675.0
DZA,DZA,Million Cubic Feet,MMcf,1996,35325.0
DZA,DZA,Million Cubic Feet,MMcf,1995,17918.0
DZA,DZA,Million Cubic Feet,MMcf,1994,50778.0
DZA,DZA,Million Cubic Feet,MMcf,1993,81685.0
DZA,DZA,Million Cubic Feet,MMcf,1992,43116.0
DZA,DZA,Million Cubic Feet,MMcf,1991,63596.0
DZA,DZA,Million Cubic Feet,MMcf,1990,84193.0
DZA,DZA,Million Cubic Feet,MMcf,1989,42163.0
DZA,DZA,Million Cubic Feet,MMcf,1988,17490.0
DZA,DZA,Million Cubic Feet,MMcf,1987,0.0
DZA,DZA,Million Cubic Feet,MMcf,1986,0.0
DZA,DZA,Million Cubic Feet,MMcf,1985,23659.0
DZA,DZA,Million Cubic Feet,MMcf,1984,36191.0
DZA,DZA,Million Cubic Feet,MMcf,1983,131124.0
DZA,DZA,Million Cubic Feet,MMcf,1982,55136.0
DZA,DZA,Million Cubic Feet,MMcf,1981,36824.0
DZA,DZA,Million Cubic Feet,MMcf,1980,85850.0
DZA,DZA,Million Cubic Feet,MMcf,1979,252608.0
DZA,DZA,Million Cubic Feet,MMcf,1978,84422.0
DZA,DZA,Million Cubic Feet,MMcf,1977,11324.0
DZA,DZA,Million Cubic Feet,MMcf,1976,10155.0
DZA,DZA,Million Cubic Feet,MMcf,1975,4893.0
DZA,DZA,Million Cubic Feet,MMcf,1974,0.0
DZA,DZA,Million Cubic Feet,MMcf,1973,3388.0
AUS,AUS,Million Cubic Feet,MMcf,2020,0.0
AUS,AUS,Million Cubic Feet,MMcf,2019,0.0
AUS,AUS,Million Cubic Feet,MMcf,2018,0.0
AUS,AUS,Million Cubic Feet,MMcf,2017,0.0
AUS,AUS,Million Cubic Feet,MMcf,2016,0.0
AUS,AUS,Million Cubic Feet,MMcf,2015,0.0
AUS,AUS,Million Cubic Feet,MMcf,2014,0.0
AUS,AUS,Million Cubic Feet,MMcf,2013,0.0
AUS,AUS,Million Cubic Feet,MMcf,2012,0.0
AUS,AUS,Million Cubic Feet,MMcf,2011,0.0
AUS,AUS,Million Cubic Feet,MMcf,2010,0.0
AUS,AUS,Million Cubic Feet,MMcf,2009,0.0
AUS,AUS,Million Cubic Feet,MMcf,2008,0.0
AUS,AUS,Million Cubic Feet,MMcf,2007,0.0
AUS,AUS,Million Cubic Feet,MMcf,2006,0.0
AUS,AUS,Million Cubic Feet,MMcf,2005,0.0
AUS,AUS,Million Cubic Feet,MMcf,2004,14990.0
AUS,AUS,Million Cubic Feet,MMcf,2003,0.0
AUS,AUS,Million Cubic Feet,MMcf,2002,0.0
AUS,AUS,Million Cubic Feet,MMcf,2001,2394.0
AUS,AUS,Million Cubic Feet,MMcf,2000,5945.0
AUS,AUS,Million Cubic Feet,MMcf,1999,11904.0
AUS,AUS,Million Cubic Feet,MMcf,1998,11634.0
AUS,AUS,Million Cubic Feet,MMcf,1997,9686.0
AUS,AUS,Million Cubic Feet,MMcf,1996,0.0
AUS,AUS,Million Cubic Feet,MMcf,1995,0.0
AUS,AUS,Million Cubic Feet,MMcf,1994,0.0
AUS,AUS,Million Cubic Feet,MMcf,1993,0.0
AUS,AUS,Million Cubic Feet,MMcf,1992,0.0
AUS,AUS,Million Cubic Feet,MMcf,1991,0.0
AUS,AUS,Million Cubic Feet,MMcf,1990,0.0
AUS,AUS,Million Cubic Feet,MMcf,1989,0.0
AUS,AUS,Million Cubic Feet,MMcf,1988,0.0
AUS,AUS,Million Cubic Feet,MMcf,1987,0.0
AUS,AUS,Million Cubic Feet,MMcf,1986,0.0
AUS,AUS,Million Cubic Feet,MMcf,1985,0.0
AUS,AUS,Million Cubic Feet,MMcf,1984,0.0
AUS,AUS,Million Cubic Feet,MMcf,1983,0.0
AUS,AUS,Million Cubic Feet,MMcf,1982,0.0
AUS,AUS,Million Cubic Feet,MMcf,1981,0.0
AUS,AUS,Million Cubic Feet,MMcf,1980,0.0
AUS,AUS,Million Cubic Feet,MMcf,1979,0.0
AUS,AUS,Million Cubic Feet,MMcf,1978,0.0
AUS,AUS,Million Cubic Feet,MMcf,1977,0.0
AUS,AUS,Million Cubic Feet,MMcf,1976,0.0
AUS,AUS,Million Cubic Feet,MMcf,1975,0.0
