iso3166,geography,units,unitsshort,period,value
DZA,DZA,Million Cubic Feet,MMcf,202102,0
DZA,DZA,Million Cubic Feet,MMcf,202101,0
DZA,DZA,Million Cubic Feet,MMcf,202012,0
DZA,DZA,Million Cubic Feet,MMcf,202011,0
DZA,DZA,Million Cubic Feet,MMcf,202010,0
DZA,DZA,Million Cubic Feet,MMcf,202009,0
DZA,DZA,Million Cubic Feet,MMcf,202008,0
DZA,DZA,Million Cubic Feet,MMcf,202007,0
DZA,DZA,Million Cubic Feet,MMcf,202006,0
DZA,DZA,Million Cubic Feet,MMcf,202005,0
DZA,DZA,Million Cubic Feet,MMcf,202004,0
DZA,DZA,Million Cubic Feet,MMcf,202003,0
DZA,DZA,Million Cubic Feet,MMcf,202002,0
DZA,DZA,Million Cubic Feet,MMcf,202001,0
DZA,DZA,Million Cubic Feet,MMcf,201912,0
DZA,DZA,Million Cubic Feet,MMcf,201911,0
DZA,DZA,Million Cubic Feet,MMcf,201910,0
DZA,DZA,Million Cubic Feet,MMcf,201909,0
DZA,DZA,Million Cubic Feet,MMcf,201908,0
DZA,DZA,Million Cubic Feet,MMcf,201907,0
DZA,DZA,Million Cubic Feet,MMcf,201906,0
DZA,DZA,Million Cubic Feet,MMcf,201905,0
DZA,DZA,Million Cubic Feet,MMcf,201904,0
DZA,DZA,Million Cubic Feet,MMcf,201903,0
DZA,DZA,Million Cubic Feet,MMcf,201902,0
DZA,DZA,Million Cubic Feet,MMcf,201901,0
DZA,DZA,Million Cubic Feet,MMcf,201812,0
DZA,DZA,Million Cubic Feet,MMcf,201811,0
DZA,DZA,Million Cubic Feet,MMcf,201810,0
DZA,DZA,Million Cubic Feet,MMcf,201809,0
DZA,DZA,Million Cubic Feet,MMcf,201808,0
DZA,DZA,Million Cubic Feet,MMcf,201807,0
DZA,DZA,Million Cubic Feet,MMcf,201806,0
DZA,DZA,Million Cubic Feet,MMcf,201805,0
DZA,DZA,Million Cubic Feet,MMcf,201804,0
DZA,DZA,Million Cubic Feet,MMcf,201803,0
DZA,DZA,Million Cubic Feet,MMcf,201802,0
DZA,DZA,Million Cubic Feet,MMcf,201801,0
DZA,DZA,Million Cubic Feet,MMcf,201712,0
DZA,DZA,Million Cubic Feet,MMcf,201711,0
DZA,DZA,Million Cubic Feet,MMcf,201710,0
DZA,DZA,Million Cubic Feet,MMcf,201709,0
DZA,DZA,Million Cubic Feet,MMcf,201708,0
DZA,DZA,Million Cubic Feet,MMcf,201707,0
DZA,DZA,Million Cubic Feet,MMcf,201706,0
DZA,DZA,Million Cubic Feet,MMcf,201705,0
DZA,DZA,Million Cubic Feet,MMcf,201704,0
DZA,DZA,Million Cubic Feet,MMcf,201703,0
DZA,DZA,Million Cubic Feet,MMcf,201702,0
DZA,DZA,Million Cubic Feet,MMcf,201701,0
DZA,DZA,Million Cubic Feet,MMcf,201612,0
DZA,DZA,Million Cubic Feet,MMcf,201611,0
DZA,DZA,Million Cubic Feet,MMcf,201610,0
DZA,DZA,Million Cubic Feet,MMcf,201609,0
DZA,DZA,Million Cubic Feet,MMcf,201608,0
DZA,DZA,Million Cubic Feet,MMcf,201607,0
DZA,DZA,Million Cubic Feet,MMcf,201606,0
DZA,DZA,Million Cubic Feet,MMcf,201605,0
DZA,DZA,Million Cubic Feet,MMcf,201604,0
DZA,DZA,Million Cubic Feet,MMcf,201603,0
DZA,DZA,Million Cubic Feet,MMcf,201602,0
DZA,DZA,Million Cubic Feet,MMcf,201601,0
DZA,DZA,Million Cubic Feet,MMcf,201512,0
DZA,DZA,Million Cubic Feet,MMcf,201511,0
DZA,DZA,Million Cubic Feet,MMcf,201510,0
DZA,DZA,Million Cubic Feet,MMcf,201509,0
DZA,DZA,Million Cubic Feet,MMcf,201508,0
DZA,DZA,Million Cubic Feet,MMcf,201507,0
DZA,DZA,Million Cubic Feet,MMcf,201506,0
DZA,DZA,Million Cubic Feet,MMcf,201505,0
DZA,DZA,Million Cubic Feet,MMcf,201504,0
DZA,DZA,Million Cubic Feet,MMcf,201503,0
DZA,DZA,Million Cubic Feet,MMcf,201502,0
DZA,DZA,Million Cubic Feet,MMcf,201501,0
DZA,DZA,Million Cubic Feet,MMcf,201412,0
DZA,DZA,Million Cubic Feet,MMcf,201411,0
DZA,DZA,Million Cubic Feet,MMcf,201410,0
DZA,DZA,Million Cubic Feet,MMcf,201409,0
DZA,DZA,Million Cubic Feet,MMcf,201408,0
DZA,DZA,Million Cubic Feet,MMcf,201407,0
DZA,DZA,Million Cubic Feet,MMcf,201406,0
DZA,DZA,Million Cubic Feet,MMcf,201405,0
DZA,DZA,Million Cubic Feet,MMcf,201404,0
DZA,DZA,Million Cubic Feet,MMcf,201403,0
DZA,DZA,Million Cubic Feet,MMcf,201402,0
DZA,DZA,Million Cubic Feet,MMcf,201401,0
DZA,DZA,Million Cubic Feet,MMcf,201312,0
DZA,DZA,Million Cubic Feet,MMcf,201311,0
DZA,DZA,Million Cubic Feet,MMcf,201310,0
DZA,DZA,Million Cubic Feet,MMcf,201309,0
DZA,DZA,Million Cubic Feet,MMcf,201308,0
DZA,DZA,Million Cubic Feet,MMcf,201307,0
DZA,DZA,Million Cubic Feet,MMcf,201306,0
DZA,DZA,Million Cubic Feet,MMcf,201305,0
DZA,DZA,Million Cubic Feet,MMcf,201304,0
DZA,DZA,Million Cubic Feet,MMcf,201303,0
DZA,DZA,Million Cubic Feet,MMcf,201302,0
DZA,DZA,Million Cubic Feet,MMcf,201301,0
DZA,DZA,Million Cubic Feet,MMcf,201212,0
DZA,DZA,Million Cubic Feet,MMcf,201211,0
DZA,DZA,Million Cubic Feet,MMcf,201210,0
DZA,DZA,Million Cubic Feet,MMcf,201209,0
DZA,DZA,Million Cubic Feet,MMcf,201208,0
DZA,DZA,Million Cubic Feet,MMcf,201207,0
DZA,DZA,Million Cubic Feet,MMcf,201206,0
DZA,DZA,Million Cubic Feet,MMcf,201205,0
DZA,DZA,Million Cubic Feet,MMcf,201204,0
DZA,DZA,Million Cubic Feet,MMcf,201203,0
DZA,DZA,Million Cubic Feet,MMcf,201202,0
DZA,DZA,Million Cubic Feet,MMcf,201201,0
DZA,DZA,Million Cubic Feet,MMcf,201112,0
DZA,DZA,Million Cubic Feet,MMcf,201111,0
DZA,DZA,Million Cubic Feet,MMcf,201110,0
DZA,DZA,Million Cubic Feet,MMcf,201109,0
DZA,DZA,Million Cubic Feet,MMcf,201108,0
DZA,DZA,Million Cubic Feet,MMcf,201107,0
DZA,DZA,Million Cubic Feet,MMcf,201106,0
DZA,DZA,Million Cubic Feet,MMcf,201105,0
DZA,DZA,Million Cubic Feet,MMcf,201104,0
DZA,DZA,Million Cubic Feet,MMcf,201103,0
DZA,DZA,Million Cubic Feet,MMcf,201102,0
DZA,DZA,Million Cubic Feet,MMcf,201101,0
DZA,DZA,Million Cubic Feet,MMcf,201012,0
