iso3166,geography,units,unitsshort,period,value
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2020,2.0
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2019,2.44
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2018,2.58
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2017,2.55
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2016,2.18
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2015,2.84
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2014,5.22
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2013,3.73
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2012,2.79
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2011,4.09
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2010,4.46
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2009,4.14
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2008,8.58
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2007,6.83
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2006,6.83
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2005,8.09
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2004,5.8
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2003,5.23
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2002,3.13
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2001,4.43
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2000,3.97
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,1999,2.23
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,1998,1.95
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,1997,2.15
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,1996,1.96
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,1995,1.48
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,1994,1.86
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,1993,2.02
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,1992,1.84
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,1991,1.81
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,1990,1.91
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,1989,1.81
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,1988,1.83
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,1987,1.95
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,1986,2.42
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,1985,3.17
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2020,3.48
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2019,2.83
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2018,4.34
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2017,2.93
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2016,1.85
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2015,1.71
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2014,3.45
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2013,2.68
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2012,1.87
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2011,3.49
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2010,4.63
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2009,3.91
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2008,7.62
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2007,6.55
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2006,5.65
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2005,8.46
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2004,
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2003,
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2002,2.36
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2001,5.0
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2000,5.43
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,1999,2.14
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,1998,2.03
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,1997,2.31
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,1996,2.25
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,1995,1.53
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,1994,1.99
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,1993,1.94
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2020,2.0
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2019,2.44
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2018,2.58
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2017,2.55
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2016,2.18
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2015,2.84
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2014,5.21
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2013,3.73
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2012,2.79
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2011,4.09
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2010,4.46
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2009,4.13
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2008,8.57
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2007,6.83
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2006,6.83
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2005,8.09
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2004,5.8
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2003,5.23
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2002,3.13
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2001,4.44
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2000,3.98
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1999,2.23
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1998,1.95
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1997,2.15
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1996,1.96
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1995,1.48
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1994,1.86
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1993,2.02
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1992,1.84
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1991,1.81
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1990,1.91
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1989,1.81
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1988,1.83
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1987,1.95
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1986,2.42
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1985,3.17
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2014,
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2013,
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2012,
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2011,
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2010,4.3
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2009,4.1
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2008,7.84
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2007,6.71
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2006,5.49
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2005,8.25
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2004,
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2003,
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2002,2.3
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2001,5.94
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,2000,4.82
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,1999,2.33
MEX,MEX,Dollars per Thousand Cubic Feet,$/Mcf,1998,0.0
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2020,1.81
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2019,1.35
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2018,1.24
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,2017,1.77
