iso3166,geography,units,unitsshort,period,value
CAN,CAN,Million Cubic Feet,MMcf,2020,2500507.0
CAN,CAN,Million Cubic Feet,MMcf,2019,2686564.0
CAN,CAN,Million Cubic Feet,MMcf,2018,2808720.0
CAN,CAN,Million Cubic Feet,MMcf,2017,2953524.0
CAN,CAN,Million Cubic Feet,MMcf,2016,2916913.0
CAN,CAN,Million Cubic Feet,MMcf,2015,2625359.0
CAN,CAN,Million Cubic Feet,MMcf,2014,2634375.0
CAN,CAN,Million Cubic Feet,MMcf,2013,2785427.0
CAN,CAN,Million Cubic Feet,MMcf,2012,2962827.0
CAN,CAN,Million Cubic Feet,MMcf,2011,3117081.0
CAN,CAN,Million Cubic Feet,MMcf,2010,3279752.0
CAN,CAN,Million Cubic Feet,MMcf,2009,3271107.0
CAN,CAN,Million Cubic Feet,MMcf,2008,3589089.0
CAN,CAN,Million Cubic Feet,MMcf,2007,3782708.0
CAN,CAN,Million Cubic Feet,MMcf,2006,3589995.0
CAN,CAN,Million Cubic Feet,MMcf,2005,3700454.0
CAN,CAN,Million Cubic Feet,MMcf,2004,3606543.0
CAN,CAN,Million Cubic Feet,MMcf,2003,3437230.0
CAN,CAN,Million Cubic Feet,MMcf,2002,3784978.0
CAN,CAN,Million Cubic Feet,MMcf,2001,3728537.0
CAN,CAN,Million Cubic Feet,MMcf,2000,3543966.0
CAN,CAN,Million Cubic Feet,MMcf,1999,3367545.0
CAN,CAN,Million Cubic Feet,MMcf,1998,3052073.0
CAN,CAN,Million Cubic Feet,MMcf,1997,2899152.0
CAN,CAN,Million Cubic Feet,MMcf,1996,2883277.0
CAN,CAN,Million Cubic Feet,MMcf,1995,2816408.0
CAN,CAN,Million Cubic Feet,MMcf,1994,2566049.0
CAN,CAN,Million Cubic Feet,MMcf,1993,2266751.0
CAN,CAN,Million Cubic Feet,MMcf,1992,2094387.0
CAN,CAN,Million Cubic Feet,MMcf,1991,1709716.0
CAN,CAN,Million Cubic Feet,MMcf,1990,1448065.0
CAN,CAN,Million Cubic Feet,MMcf,1989,1339357.0
CAN,CAN,Million Cubic Feet,MMcf,1988,1276322.0
CAN,CAN,Million Cubic Feet,MMcf,1987,992532.0
CAN,CAN,Million Cubic Feet,MMcf,1986,748780.0
CAN,CAN,Million Cubic Feet,MMcf,1985,926056.0
CAN,CAN,Million Cubic Feet,MMcf,1984,755368.0
CAN,CAN,Million Cubic Feet,MMcf,1983,711923.0
CAN,CAN,Million Cubic Feet,MMcf,1982,783407.0
CAN,CAN,Million Cubic Feet,MMcf,1981,762113.0
CAN,CAN,Million Cubic Feet,MMcf,1980,796507.0
CAN,CAN,Million Cubic Feet,MMcf,1979,1000775.0
CAN,CAN,Million Cubic Feet,MMcf,1978,881123.0
CAN,CAN,Million Cubic Feet,MMcf,1977,997295.0
CAN,CAN,Million Cubic Feet,MMcf,1976,953613.0
CAN,CAN,Million Cubic Feet,MMcf,1975,948115.0
CAN,CAN,Million Cubic Feet,MMcf,1974,959063.0
CAN,CAN,Million Cubic Feet,MMcf,1973,1027883.0
MEX,MEX,Million Cubic Feet,MMcf,2020,1706.0
MEX,MEX,Million Cubic Feet,MMcf,2019,1873.0
MEX,MEX,Million Cubic Feet,MMcf,2018,3316.0
MEX,MEX,Million Cubic Feet,MMcf,2017,1346.0
MEX,MEX,Million Cubic Feet,MMcf,2016,917.0
MEX,MEX,Million Cubic Feet,MMcf,2015,933.0
MEX,MEX,Million Cubic Feet,MMcf,2014,1426.0
MEX,MEX,Million Cubic Feet,MMcf,2013,1069.0
MEX,MEX,Million Cubic Feet,MMcf,2012,314.0
MEX,MEX,Million Cubic Feet,MMcf,2011,2672.0
MEX,MEX,Million Cubic Feet,MMcf,2010,29995.0
MEX,MEX,Million Cubic Feet,MMcf,2009,28296.0
MEX,MEX,Million Cubic Feet,MMcf,2008,43314.0
MEX,MEX,Million Cubic Feet,MMcf,2007,54062.0
MEX,MEX,Million Cubic Feet,MMcf,2006,12749.0
MEX,MEX,Million Cubic Feet,MMcf,2005,9320.0
MEX,MEX,Million Cubic Feet,MMcf,2004,0.0
MEX,MEX,Million Cubic Feet,MMcf,2003,0.0
MEX,MEX,Million Cubic Feet,MMcf,2002,1755.0
MEX,MEX,Million Cubic Feet,MMcf,2001,10276.0
MEX,MEX,Million Cubic Feet,MMcf,2000,11601.0
MEX,MEX,Million Cubic Feet,MMcf,1999,54530.0
MEX,MEX,Million Cubic Feet,MMcf,1998,14532.0
MEX,MEX,Million Cubic Feet,MMcf,1997,17243.0
MEX,MEX,Million Cubic Feet,MMcf,1996,13862.0
MEX,MEX,Million Cubic Feet,MMcf,1995,6722.0
MEX,MEX,Million Cubic Feet,MMcf,1994,7013.0
MEX,MEX,Million Cubic Feet,MMcf,1993,1678.0
MEX,MEX,Million Cubic Feet,MMcf,1992,0.0
MEX,MEX,Million Cubic Feet,MMcf,1991,0.0
MEX,MEX,Million Cubic Feet,MMcf,1990,0.0
MEX,MEX,Million Cubic Feet,MMcf,1989,0.0
MEX,MEX,Million Cubic Feet,MMcf,1988,0.0
MEX,MEX,Million Cubic Feet,MMcf,1987,0.0
MEX,MEX,Million Cubic Feet,MMcf,1986,0.0
MEX,MEX,Million Cubic Feet,MMcf,1985,0.0
MEX,MEX,Million Cubic Feet,MMcf,1984,51502.0
MEX,MEX,Million Cubic Feet,MMcf,1983,75361.0
MEX,MEX,Million Cubic Feet,MMcf,1982,94794.0
MEX,MEX,Million Cubic Feet,MMcf,1981,105013.0
MEX,MEX,Million Cubic Feet,MMcf,1980,102410.0
MEX,MEX,Million Cubic Feet,MMcf,1979,0.0
MEX,MEX,Million Cubic Feet,MMcf,1978,0.0
MEX,MEX,Million Cubic Feet,MMcf,1977,2384.0
MEX,MEX,Million Cubic Feet,MMcf,1976,0.0
MEX,MEX,Million Cubic Feet,MMcf,1975,0.0
MEX,MEX,Million Cubic Feet,MMcf,1974,222.0
MEX,MEX,Million Cubic Feet,MMcf,1973,1632.0
USA,USA,Million Cubic Feet,MMcf,2020,2502213.0
USA,USA,Million Cubic Feet,MMcf,2019,2688436.0
USA,USA,Million Cubic Feet,MMcf,2018,2812036.0
USA,USA,Million Cubic Feet,MMcf,2017,2954870.0
USA,USA,Million Cubic Feet,MMcf,2016,2917831.0
USA,USA,Million Cubic Feet,MMcf,2015,2626291.0
USA,USA,Million Cubic Feet,MMcf,2014,2635801.0
