iso3166,geography,units,unitsshort,period,value
CAN,CAN,Million Cubic Feet,MMcf,202102,265290
CAN,CAN,Million Cubic Feet,MMcf,202101,277630
CAN,CAN,Million Cubic Feet,MMcf,202012,261049
CAN,CAN,Million Cubic Feet,MMcf,202011,208889
CAN,CAN,Million Cubic Feet,MMcf,202010,199086
CAN,CAN,Million Cubic Feet,MMcf,202009,172982
CAN,CAN,Million Cubic Feet,MMcf,202008,208109
CAN,CAN,Million Cubic Feet,MMcf,202007,206230
CAN,CAN,Million Cubic Feet,MMcf,202006,182574
CAN,CAN,Million Cubic Feet,MMcf,202005,183655
CAN,CAN,Million Cubic Feet,MMcf,202004,186779
CAN,CAN,Million Cubic Feet,MMcf,202003,210188
CAN,CAN,Million Cubic Feet,MMcf,202002,232402
CAN,CAN,Million Cubic Feet,MMcf,202001,248565
CAN,CAN,Million Cubic Feet,MMcf,201912,244590
CAN,CAN,Million Cubic Feet,MMcf,201911,220843
CAN,CAN,Million Cubic Feet,MMcf,201910,204908
CAN,CAN,Million Cubic Feet,MMcf,201909,208201
CAN,CAN,Million Cubic Feet,MMcf,201908,217054
CAN,CAN,Million Cubic Feet,MMcf,201907,227488
CAN,CAN,Million Cubic Feet,MMcf,201906,201069
CAN,CAN,Million Cubic Feet,MMcf,201905,207535
CAN,CAN,Million Cubic Feet,MMcf,201904,203620
CAN,CAN,Million Cubic Feet,MMcf,201903,249309
CAN,CAN,Million Cubic Feet,MMcf,201902,225650
CAN,CAN,Million Cubic Feet,MMcf,201901,276296
CAN,CAN,Million Cubic Feet,MMcf,201812,242282
CAN,CAN,Million Cubic Feet,MMcf,201811,209573
CAN,CAN,Million Cubic Feet,MMcf,201810,208954
CAN,CAN,Million Cubic Feet,MMcf,201809,210828
CAN,CAN,Million Cubic Feet,MMcf,201808,231007
CAN,CAN,Million Cubic Feet,MMcf,201807,240422
CAN,CAN,Million Cubic Feet,MMcf,201806,225297
CAN,CAN,Million Cubic Feet,MMcf,201805,224298
CAN,CAN,Million Cubic Feet,MMcf,201804,239027
CAN,CAN,Million Cubic Feet,MMcf,201803,264129
CAN,CAN,Million Cubic Feet,MMcf,201802,229812
CAN,CAN,Million Cubic Feet,MMcf,201801,283093
CAN,CAN,Million Cubic Feet,MMcf,201712,263079
CAN,CAN,Million Cubic Feet,MMcf,201711,233830
CAN,CAN,Million Cubic Feet,MMcf,201710,238779
CAN,CAN,Million Cubic Feet,MMcf,201709,226700
CAN,CAN,Million Cubic Feet,MMcf,201708,239935
CAN,CAN,Million Cubic Feet,MMcf,201707,245212
CAN,CAN,Million Cubic Feet,MMcf,201706,234061
CAN,CAN,Million Cubic Feet,MMcf,201705,238753
CAN,CAN,Million Cubic Feet,MMcf,201704,232998
CAN,CAN,Million Cubic Feet,MMcf,201703,275573
CAN,CAN,Million Cubic Feet,MMcf,201702,246020
CAN,CAN,Million Cubic Feet,MMcf,201701,278584
CAN,CAN,Million Cubic Feet,MMcf,201612,271845
CAN,CAN,Million Cubic Feet,MMcf,201611,221866
CAN,CAN,Million Cubic Feet,MMcf,201610,225588
CAN,CAN,Million Cubic Feet,MMcf,201609,235512
CAN,CAN,Million Cubic Feet,MMcf,201608,253793
CAN,CAN,Million Cubic Feet,MMcf,201607,259132
CAN,CAN,Million Cubic Feet,MMcf,201606,234145
CAN,CAN,Million Cubic Feet,MMcf,201605,243017
CAN,CAN,Million Cubic Feet,MMcf,201604,236451
