iso3166,geography,units,unitsshort,period,value
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,2020,10.97
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,2019,11.23
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,2018,10.42
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,2017,10.87
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,2016,9.88
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,2015,11.07
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,2014,12.18
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,2013,11.64
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,2012,11.19
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,2011,12.24
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,2010,12.26
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,2009,12.99
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,2008,13.9
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,2007,13.69
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,2006,14.67
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,2005,13.17
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,2004,13.6
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,2003,12.73
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,2002,10.3
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,2001,12.02
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,2000,9.63
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,1999,7.38
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,1998,7.36
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,1997,7.37
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,1996,7.37
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,1995,6.04
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,1994,6.16
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,1993,5.75
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,1992,5.36
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,1991,5.17
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,1990,5.63
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,1989,5.3
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,1988,5.03
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,1987,5.01
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,1986,5.91
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,1985,6.72
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,1984,7.04
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,1983,7.44
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,1982,6.28
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,1981,5.12
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,1980,4.22
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,2020,
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,2019,11.46
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,2018,11.2
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,2017,10.97
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,2016,10.42
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,2015,10.88
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,2014,11.42
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,2013,10.87
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,2012,10.41
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,2011,11.14
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,2010,10.6
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,2009,11.09
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,2008,14.45
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,2007,13.07
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,2006,13.91
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,2005,13.28
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,2004,11.43
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,2003,10.39
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,2002,8.21
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,2001,10.5
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,2000,7.71
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,1999,6.5
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,1998,6.4
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,1997,6.85
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,1996,6.45
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,1995,5.33
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,1994,5.54
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,1993,5.84
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,1992,4.98
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,1991,4.92
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,1990,5.04
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,1989,4.85
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,1988,4.54
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,1987,4.69
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,1986,4.43
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,1985,5.33
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,1984,5.2
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,1983,5.04
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,1982,4.67
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,1981,3.75
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,1980,3.43
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,1979,2.74
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,1978,2.03
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,1977,2.01
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,1976,1.72
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,1975,1.7
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,1974,1.64
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,1973,1.29
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,1972,1.2
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,1971,1.06
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,1970,0.93
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,1969,0.93
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,1968,0.98
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,1967,0.94
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2020,7.58
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2019,8.21
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2018,8.17
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2017,8.78
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2016,7.92
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2015,8.58
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2014,9.86
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2013,9.38
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2012,9.75
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2011,10.51
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2010,10.95
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2009,11.7
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2008,14.3
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2007,13.21
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2006,14.2
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2005,14.76
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2004,11.43
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2003,9.93
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2002,8.14
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2001,9.19
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2000,7.03
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,1999,3.87
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,1998,6.0
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,1997,6.43
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,1996,5.89
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,1995,5.2
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,1994,6.18
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,1993,5.83
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,1992,5.55
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,1991,5.67
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,1990,5.76
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,1989,5.47
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,1988,5.45
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,1987,5.4
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,1986,5.61
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,1985,5.73
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,1984,5.66
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,1983,5.42
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,1982,4.74
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,1981,3.98
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,1980,3.22
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,1979,2.52
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,1978,2.08
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,1977,1.75
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,1976,1.38
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,1975,1.1
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,1974,1.02
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,1973,0.94
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,1972,0.89
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,1971,0.85
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,1970,0.74
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,1969,0.7
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,1968,0.7
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,1967,0.69
USA-MD,USA-MD,Dollars per Thousand Cubic Feet,$/Mcf,2020,10.81
USA-MD,USA-MD,Dollars per Thousand Cubic Feet,$/Mcf,2019,10.14
USA-MD,USA-MD,Dollars per Thousand Cubic Feet,$/Mcf,2018,9.57
USA-MD,USA-MD,Dollars per Thousand Cubic Feet,$/Mcf,2017,10.27
USA-MD,USA-MD,Dollars per Thousand Cubic Feet,$/Mcf,2016,8.94
USA-MD,USA-MD,Dollars per Thousand Cubic Feet,$/Mcf,2015,9.8
USA-MD,USA-MD,Dollars per Thousand Cubic Feet,$/Mcf,2014,10.52
USA-MD,USA-MD,Dollars per Thousand Cubic Feet,$/Mcf,2013,10.06
USA-MD,USA-MD,Dollars per Thousand Cubic Feet,$/Mcf,2012,10.0
USA-MD,USA-MD,Dollars per Thousand Cubic Feet,$/Mcf,2011,10.29
USA-MD,USA-MD,Dollars per Thousand Cubic Feet,$/Mcf,2010,9.87
USA-MD,USA-MD,Dollars per Thousand Cubic Feet,$/Mcf,2009,10.87
USA-MD,USA-MD,Dollars per Thousand Cubic Feet,$/Mcf,2008,13.12
USA-MD,USA-MD,Dollars per Thousand Cubic Feet,$/Mcf,2007,12.3
USA-MD,USA-MD,Dollars per Thousand Cubic Feet,$/Mcf,2006,13.28
USA-MD,USA-MD,Dollars per Thousand Cubic Feet,$/Mcf,2005,11.97
USA-MD,USA-MD,Dollars per Thousand Cubic Feet,$/Mcf,2004,9.33
USA-MD,USA-MD,Dollars per Thousand Cubic Feet,$/Mcf,2003,8.12
USA-MD,USA-MD,Dollars per Thousand Cubic Feet,$/Mcf,2002,6.9
USA-MD,USA-MD,Dollars per Thousand Cubic Feet,$/Mcf,2001,10.15
USA-MD,USA-MD,Dollars per Thousand Cubic Feet,$/Mcf,2000,8.08
USA-MD,USA-MD,Dollars per Thousand Cubic Feet,$/Mcf,1999,6.94
USA-MD,USA-MD,Dollars per Thousand Cubic Feet,$/Mcf,1998,6.64
USA-MD,USA-MD,Dollars per Thousand Cubic Feet,$/Mcf,1997,6.52
USA-MD,USA-MD,Dollars per Thousand Cubic Feet,$/Mcf,1996,6.08
USA-MD,USA-MD,Dollars per Thousand Cubic Feet,$/Mcf,1995,5.06
USA-MD,USA-MD,Dollars per Thousand Cubic Feet,$/Mcf,1994,5.46
USA-MD,USA-MD,Dollars per Thousand Cubic Feet,$/Mcf,1993,5.72
USA-MD,USA-MD,Dollars per Thousand Cubic Feet,$/Mcf,1992,5.24
USA-MD,USA-MD,Dollars per Thousand Cubic Feet,$/Mcf,1991,5.04
USA-MD,USA-MD,Dollars per Thousand Cubic Feet,$/Mcf,1990,5.35
USA-MD,USA-MD,Dollars per Thousand Cubic Feet,$/Mcf,1989,5.43
USA-MD,USA-MD,Dollars per Thousand Cubic Feet,$/Mcf,1988,5.09
USA-MD,USA-MD,Dollars per Thousand Cubic Feet,$/Mcf,1987,5.1
USA-MD,USA-MD,Dollars per Thousand Cubic Feet,$/Mcf,1986,5.74
