iso3166,geography,units,unitsshort,period,value
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,202102,10.61
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,202101,10.35
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,202012,10.53
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,202011,11.95
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,202010,11.56
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,202009,12.26
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,202008,11.91
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,202007,13.4
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,202006,12.22
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,202005,10.99
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,202004,11.69
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,202003,9.84
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,202002,10.24
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,202001,10.85
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,201912,9.88
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,201911,11.19
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,201910,11.1
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,201909,10.56
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,201908,12.22
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,201907,12.43
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,201906,12.12
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,201905,11.79
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,201904,11.83
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,201903,11.02
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,201902,11.14
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,201901,11.52
