iso3166,geography,units,unitsshort,period,value
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,2020,12.36
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,2019,12.81
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,2018,11.78
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,2017,12.53
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,2016,10.9
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,2015,11.98
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,2014,13.05
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,2013,12.45
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,2012,12.1
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,2011,13.06
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,2010,13.53
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,2009,13.92
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,2008,16.49
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,2007,15.67
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,2006,16.96
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,2005,16.87
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,2004,14.31
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,2003,13.29
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,2002,11.01
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,2001,12.65
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,2000,10.81
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,1999,8.7
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,1998,8.91
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,1997,9.39
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,1996,9.19
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,1995,8.03
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,1994,8.29
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,1993,8.34
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,1992,7.61
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,1991,7.07
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,1990,7.18
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,1989,7.44
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,1988,6.96
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,1987,7.09
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,1986,7.52
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,1985,7.91
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,1984,8.05
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,1983,8.1
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,1982,6.64
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,1981,5.5
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,1980,4.57
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,2020,
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,2019,21.73
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,2018,21.34
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,2017,21.15
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,2016,20.27
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,2015,19.34
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,2014,19.02
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,2013,18.46
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,2012,18.34
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,2011,18.16
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,2010,17.89
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,2009,20.18
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,2008,21.07
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,2007,20.61
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,2006,21.54
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,2005,20.15
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,2004,17.75
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,2003,16.17
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,2002,13.66
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,2001,15.73
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,2000,12.93
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,1999,11.59
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,1998,11.29
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,1997,11.9
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,1996,10.74
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,1995,9.85
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,1994,9.98
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,1993,10.02
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,1992,9.08
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,1991,8.98
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,1990,8.47
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,1989,8.06
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,1988,7.49
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,1987,7.48
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,1986,7.2
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,1985,7.46
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,1984,7.18
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,1983,6.85
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,1982,6.59
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,1981,5.31
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,1980,4.8
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,1979,3.7
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,1978,3.54
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,1977,3.53
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,1976,2.81
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,1975,2.74
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,1974,2.85
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,1973,2.7
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,1972,2.66
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,1971,2.54
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,1970,2.51
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,1969,2.48
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,1968,2.59
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,1967,2.26
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2020,
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2019,14.87
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2018,13.98
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2017,16.93
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2016,14.56
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2015,14.62
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2014,14.45
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2013,14.6
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2012,16.23
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2011,15.72
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2010,15.17
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2009,16.3
