iso3166,geography,units,unitsshort,period,value
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,202102,11.33
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,202101,10.77
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,202012,11.17
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,202011,13.48
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,202010,16.93
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,202009,20.78
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,202008,20.63
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,202007,19.77
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,202006,16.09
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,202005,12.64
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,202004,12.26
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,202003,10.5
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,202002,10.63
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,202001,11.38
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,201912,11.25
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,201911,12.34
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,201910,18.92
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,201909,17.32
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,201908,20.66
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,201907,21.0
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,201906,17.79
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,201905,15.72
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,201904,12.87
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,201903,11.42
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,201902,11.7
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,201901,12.23
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,201812,11.25
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,201811,12.09
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,201810,16.83
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,201809,18.47
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,201808,19.11
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,201807,18.51
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,201806,14.51
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,201805,12.42
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,201804,10.79
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,201803,11.32
