iso3166,geography,units,unitsshort,period,value
USA-DC,USA-DC,Percent,%,2010,16.39
USA-DC,USA-DC,Percent,%,2006,19.95
USA-FL,USA-FL,Percent,%,2010,40.23
USA-FL,USA-FL,Percent,%,2006,43.91
USA-GA,USA-GA,Percent,%,2019,22.15
USA-GA,USA-GA,Percent,%,2018,21.65
USA-GA,USA-GA,Percent,%,2017,21.66
USA-GA,USA-GA,Percent,%,2016,21.39
USA-GA,USA-GA,Percent,%,2015,21.52
USA-GA,USA-GA,Percent,%,2014,21.21
USA-GA,USA-GA,Percent,%,2013,18.71
USA-GA,USA-GA,Percent,%,2012,17.23
USA-GA,USA-GA,Percent,%,2011,17.83
USA-GA,USA-GA,Percent,%,2010,18.28
USA-GA,USA-GA,Percent,%,2006,20.63
USA-MD,USA-MD,Percent,%,2010,28.95
USA-MD,USA-MD,Percent,%,2006,30.42
USA-MI,USA-MI,Percent,%,2010,55.76
USA-MI,USA-MI,Percent,%,2006,63.99
USA-NY,USA-NY,Percent,%,2019,38.31
USA-NY,USA-NY,Percent,%,2018,37.55
USA-NY,USA-NY,Percent,%,2017,35.8
USA-NY,USA-NY,Percent,%,2016,34.43
USA-NY,USA-NY,Percent,%,2015,35.79
USA-NY,USA-NY,Percent,%,2014,37.29
USA-NY,USA-NY,Percent,%,2013,36.1
USA-NY,USA-NY,Percent,%,2012,33.6
USA-NY,USA-NY,Percent,%,2011,36.71
USA-NY,USA-NY,Percent,%,2010,37.17
USA-NY,USA-NY,Percent,%,2006,49.39
USA-OH,USA-OH,Percent,%,2019,7.92
USA-OH,USA-OH,Percent,%,2018,8.1
USA-OH,USA-OH,Percent,%,2017,7.67
USA-OH,USA-OH,Percent,%,2016,7.96
USA-OH,USA-OH,Percent,%,2015,8.65
USA-OH,USA-OH,Percent,%,2014,8.96
USA-OH,USA-OH,Percent,%,2013,8.27
USA-OH,USA-OH,Percent,%,2012,13.21
USA-OH,USA-OH,Percent,%,2011,17.87
USA-OH,USA-OH,Percent,%,2010,20.57
USA-OH,USA-OH,Percent,%,2006,35.13
USA-PA,USA-PA,Percent,%,2010,50.24
USA-PA,USA-PA,Percent,%,2006,59.84
USA-VA,USA-VA,Percent,%,2010,56.21
USA-VA,USA-VA,Percent,%,2006,59.88
