iso3166,geography,units,unitsshort,period,value
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,2010,12.99
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,2006,16.33
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,2010,11.59
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,2006,14.71
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2019,10.0
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2018,9.93
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2017,9.96
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2016,9.09
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2015,9.65
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2014,10.41
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2013,10.19
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2012,10.01
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2011,10.42
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2010,10.72
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2006,13.55
USA-MD,USA-MD,Dollars per Thousand Cubic Feet,$/Mcf,2010,10.43
USA-MD,USA-MD,Dollars per Thousand Cubic Feet,$/Mcf,2006,14.22
USA-MI,USA-MI,Dollars per Thousand Cubic Feet,$/Mcf,2010,10.0
USA-MI,USA-MI,Dollars per Thousand Cubic Feet,$/Mcf,2006,11.34
USA-NY,USA-NY,Dollars per Thousand Cubic Feet,$/Mcf,2019,8.63
USA-NY,USA-NY,Dollars per Thousand Cubic Feet,$/Mcf,2018,8.9
USA-NY,USA-NY,Dollars per Thousand Cubic Feet,$/Mcf,2017,8.31
USA-NY,USA-NY,Dollars per Thousand Cubic Feet,$/Mcf,2016,7.13
USA-NY,USA-NY,Dollars per Thousand Cubic Feet,$/Mcf,2015,7.65
USA-NY,USA-NY,Dollars per Thousand Cubic Feet,$/Mcf,2014,9.02
USA-NY,USA-NY,Dollars per Thousand Cubic Feet,$/Mcf,2013,8.57
USA-NY,USA-NY,Dollars per Thousand Cubic Feet,$/Mcf,2012,8.35
USA-NY,USA-NY,Dollars per Thousand Cubic Feet,$/Mcf,2011,9.48
USA-NY,USA-NY,Dollars per Thousand Cubic Feet,$/Mcf,2010,10.06
USA-NY,USA-NY,Dollars per Thousand Cubic Feet,$/Mcf,2006,12.28
USA-OH,USA-OH,Dollars per Thousand Cubic Feet,$/Mcf,2019,7.9
USA-OH,USA-OH,Dollars per Thousand Cubic Feet,$/Mcf,2018,8.16
USA-OH,USA-OH,Dollars per Thousand Cubic Feet,$/Mcf,2017,8.8
USA-OH,USA-OH,Dollars per Thousand Cubic Feet,$/Mcf,2016,8.24
USA-OH,USA-OH,Dollars per Thousand Cubic Feet,$/Mcf,2015,8.49
USA-OH,USA-OH,Dollars per Thousand Cubic Feet,$/Mcf,2014,9.2
USA-OH,USA-OH,Dollars per Thousand Cubic Feet,$/Mcf,2013,8.55
USA-OH,USA-OH,Dollars per Thousand Cubic Feet,$/Mcf,2012,8.03
USA-OH,USA-OH,Dollars per Thousand Cubic Feet,$/Mcf,2011,9.24
USA-OH,USA-OH,Dollars per Thousand Cubic Feet,$/Mcf,2010,9.32
USA-OH,USA-OH,Dollars per Thousand Cubic Feet,$/Mcf,2006,13.51
USA-PA,USA-PA,Dollars per Thousand Cubic Feet,$/Mcf,2010,11.29
USA-PA,USA-PA,Dollars per Thousand Cubic Feet,$/Mcf,2006,15.48
USA-VA,USA-VA,Dollars per Thousand Cubic Feet,$/Mcf,2010,9.88
USA-VA,USA-VA,Dollars per Thousand Cubic Feet,$/Mcf,2006,12.8
