iso3166,geography,units,unitsshort,period,value
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,2010,12.12
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,2006,14.26
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,2010,9.94
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,2006,13.28
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2019,7.7
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2018,7.68
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2017,8.46
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2016,7.61
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2015,8.28
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2014,9.71
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2013,9.19
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2012,9.69
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2011,10.53
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2010,11.0
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2006,14.37
USA-MD,USA-MD,Dollars per Thousand Cubic Feet,$/Mcf,2010,9.64
USA-MD,USA-MD,Dollars per Thousand Cubic Feet,$/Mcf,2006,12.87
USA-MI,USA-MI,Dollars per Thousand Cubic Feet,$/Mcf,2010,7.61
USA-MI,USA-MI,Dollars per Thousand Cubic Feet,$/Mcf,2006,9.71
USA-NY,USA-NY,Dollars per Thousand Cubic Feet,$/Mcf,2019,6.32
USA-NY,USA-NY,Dollars per Thousand Cubic Feet,$/Mcf,2018,6.43
USA-NY,USA-NY,Dollars per Thousand Cubic Feet,$/Mcf,2017,6.07
USA-NY,USA-NY,Dollars per Thousand Cubic Feet,$/Mcf,2016,5.69
USA-NY,USA-NY,Dollars per Thousand Cubic Feet,$/Mcf,2015,6.41
USA-NY,USA-NY,Dollars per Thousand Cubic Feet,$/Mcf,2014,7.89
USA-NY,USA-NY,Dollars per Thousand Cubic Feet,$/Mcf,2013,7.68
USA-NY,USA-NY,Dollars per Thousand Cubic Feet,$/Mcf,2012,7.58
USA-NY,USA-NY,Dollars per Thousand Cubic Feet,$/Mcf,2011,9.23
USA-NY,USA-NY,Dollars per Thousand Cubic Feet,$/Mcf,2010,11.36
USA-NY,USA-NY,Dollars per Thousand Cubic Feet,$/Mcf,2006,11.56
USA-OH,USA-OH,Dollars per Thousand Cubic Feet,$/Mcf,2019,5.81
USA-OH,USA-OH,Dollars per Thousand Cubic Feet,$/Mcf,2018,5.72
USA-OH,USA-OH,Dollars per Thousand Cubic Feet,$/Mcf,2017,5.89
USA-OH,USA-OH,Dollars per Thousand Cubic Feet,$/Mcf,2016,5.52
USA-OH,USA-OH,Dollars per Thousand Cubic Feet,$/Mcf,2015,6.29
USA-OH,USA-OH,Dollars per Thousand Cubic Feet,$/Mcf,2014,7.68
USA-OH,USA-OH,Dollars per Thousand Cubic Feet,$/Mcf,2013,6.0
USA-OH,USA-OH,Dollars per Thousand Cubic Feet,$/Mcf,2012,6.97
USA-OH,USA-OH,Dollars per Thousand Cubic Feet,$/Mcf,2011,8.39
USA-OH,USA-OH,Dollars per Thousand Cubic Feet,$/Mcf,2010,9.23
USA-OH,USA-OH,Dollars per Thousand Cubic Feet,$/Mcf,2006,12.46
USA-PA,USA-PA,Dollars per Thousand Cubic Feet,$/Mcf,2010,9.64
USA-PA,USA-PA,Dollars per Thousand Cubic Feet,$/Mcf,2006,12.55
USA-VA,USA-VA,Dollars per Thousand Cubic Feet,$/Mcf,2010,9.13
USA-VA,USA-VA,Dollars per Thousand Cubic Feet,$/Mcf,2006,11.95
