iso3166,geography,units,unitsshort,period,value
USA-FL,USA-FL,Percent,%,2010,97.88
USA-FL,USA-FL,Percent,%,2006,97.95
USA-GA,USA-GA,Percent,%,2019,12.98
USA-GA,USA-GA,Percent,%,2018,13.01
USA-GA,USA-GA,Percent,%,2017,12.18
USA-GA,USA-GA,Percent,%,2016,12.19
USA-GA,USA-GA,Percent,%,2015,13.55
USA-GA,USA-GA,Percent,%,2014,14.04
USA-GA,USA-GA,Percent,%,2013,13.94
USA-GA,USA-GA,Percent,%,2012,13.5
USA-GA,USA-GA,Percent,%,2011,15.06
USA-GA,USA-GA,Percent,%,2010,14.3
USA-GA,USA-GA,Percent,%,2006,14.7
USA-MD,USA-MD,Percent,%,2010,81.74
USA-MD,USA-MD,Percent,%,2006,82.27
USA-NJ,USA-NJ,Percent,%,2010,96.57
USA-NJ,USA-NJ,Percent,%,2006,98.66
USA-NY,USA-NY,Percent,%,2019,75.6
USA-NY,USA-NY,Percent,%,2018,74.1
USA-NY,USA-NY,Percent,%,2017,73.24
USA-NY,USA-NY,Percent,%,2016,72.26
USA-NY,USA-NY,Percent,%,2015,71.09
USA-NY,USA-NY,Percent,%,2014,70.5
USA-NY,USA-NY,Percent,%,2013,70.27
USA-NY,USA-NY,Percent,%,2012,71.2
USA-NY,USA-NY,Percent,%,2011,72.41
USA-NY,USA-NY,Percent,%,2010,74.61
USA-NY,USA-NY,Percent,%,2006,86.06
USA-OH,USA-OH,Percent,%,2019,16.46
USA-OH,USA-OH,Percent,%,2018,16.81
USA-OH,USA-OH,Percent,%,2017,17.74
USA-OH,USA-OH,Percent,%,2016,19.12
USA-OH,USA-OH,Percent,%,2015,20.07
USA-OH,USA-OH,Percent,%,2014,20.02
USA-OH,USA-OH,Percent,%,2013,19.79
USA-OH,USA-OH,Percent,%,2012,30.88
USA-OH,USA-OH,Percent,%,2011,40.82
USA-OH,USA-OH,Percent,%,2010,43.7
USA-OH,USA-OH,Percent,%,2006,58.77
USA-PA,USA-PA,Percent,%,2010,91.24
USA-PA,USA-PA,Percent,%,2006,91.81
USA-VA,USA-VA,Percent,%,2010,90.87
USA-VA,USA-VA,Percent,%,2006,90.36
