iso3166,geography,units,unitsshort,period,value
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,2010,17.85
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,2006,21.48
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2019,13.3
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2018,12.85
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2017,13.78
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2016,12.54
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2015,12.14
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2014,12.38
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2013,11.86
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2012,12.47
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2011,11.98
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2010,12.18
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2006,15.84
USA-MD,USA-MD,Dollars per Thousand Cubic Feet,$/Mcf,2010,12.2
USA-MD,USA-MD,Dollars per Thousand Cubic Feet,$/Mcf,2006,16.14
USA-NJ,USA-NJ,Dollars per Thousand Cubic Feet,$/Mcf,2010,12.77
USA-NJ,USA-NJ,Dollars per Thousand Cubic Feet,$/Mcf,2006,14.87
USA-NY,USA-NY,Dollars per Thousand Cubic Feet,$/Mcf,2019,12.51
USA-NY,USA-NY,Dollars per Thousand Cubic Feet,$/Mcf,2018,12.42
USA-NY,USA-NY,Dollars per Thousand Cubic Feet,$/Mcf,2017,12.02
USA-NY,USA-NY,Dollars per Thousand Cubic Feet,$/Mcf,2016,10.57
USA-NY,USA-NY,Dollars per Thousand Cubic Feet,$/Mcf,2015,10.76
USA-NY,USA-NY,Dollars per Thousand Cubic Feet,$/Mcf,2014,12.15
USA-NY,USA-NY,Dollars per Thousand Cubic Feet,$/Mcf,2013,12.24
USA-NY,USA-NY,Dollars per Thousand Cubic Feet,$/Mcf,2012,12.72
USA-NY,USA-NY,Dollars per Thousand Cubic Feet,$/Mcf,2011,13.52
USA-NY,USA-NY,Dollars per Thousand Cubic Feet,$/Mcf,2010,13.87
USA-NY,USA-NY,Dollars per Thousand Cubic Feet,$/Mcf,2006,15.09
USA-OH,USA-OH,Dollars per Thousand Cubic Feet,$/Mcf,2019,9.25
USA-OH,USA-OH,Dollars per Thousand Cubic Feet,$/Mcf,2018,9.21
USA-OH,USA-OH,Dollars per Thousand Cubic Feet,$/Mcf,2017,9.79
USA-OH,USA-OH,Dollars per Thousand Cubic Feet,$/Mcf,2016,9.0
USA-OH,USA-OH,Dollars per Thousand Cubic Feet,$/Mcf,2015,9.24
USA-OH,USA-OH,Dollars per Thousand Cubic Feet,$/Mcf,2014,10.15
USA-OH,USA-OH,Dollars per Thousand Cubic Feet,$/Mcf,2013,9.2
USA-OH,USA-OH,Dollars per Thousand Cubic Feet,$/Mcf,2012,8.75
USA-OH,USA-OH,Dollars per Thousand Cubic Feet,$/Mcf,2011,10.32
USA-OH,USA-OH,Dollars per Thousand Cubic Feet,$/Mcf,2010,10.28
USA-OH,USA-OH,Dollars per Thousand Cubic Feet,$/Mcf,2006,14.41
USA-PA,USA-PA,Dollars per Thousand Cubic Feet,$/Mcf,2010,12.82
USA-PA,USA-PA,Dollars per Thousand Cubic Feet,$/Mcf,2006,16.48
USA-VA,USA-VA,Dollars per Thousand Cubic Feet,$/Mcf,2010,12.64
USA-VA,USA-VA,Dollars per Thousand Cubic Feet,$/Mcf,2006,16.13
