iso3166,geography,units,unitsshort,period,value
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,2010,19.44
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,2006,24.62
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2019,15.1
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2018,14.15
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2017,17.36
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2016,14.84
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2015,15.0
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2014,14.79
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2013,15.04
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2012,16.82
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2011,16.38
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2010,15.67
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2006,18.81
USA-MD,USA-MD,Dollars per Thousand Cubic Feet,$/Mcf,2010,13.51
USA-MD,USA-MD,Dollars per Thousand Cubic Feet,$/Mcf,2006,17.41
USA-NJ,USA-NJ,Dollars per Thousand Cubic Feet,$/Mcf,2010,14.87
USA-NJ,USA-NJ,Dollars per Thousand Cubic Feet,$/Mcf,2006,17.69
USA-NY,USA-NY,Dollars per Thousand Cubic Feet,$/Mcf,2019,12.93
USA-NY,USA-NY,Dollars per Thousand Cubic Feet,$/Mcf,2018,12.22
USA-NY,USA-NY,Dollars per Thousand Cubic Feet,$/Mcf,2017,12.09
USA-NY,USA-NY,Dollars per Thousand Cubic Feet,$/Mcf,2016,11.56
USA-NY,USA-NY,Dollars per Thousand Cubic Feet,$/Mcf,2015,12.28
USA-NY,USA-NY,Dollars per Thousand Cubic Feet,$/Mcf,2014,13.46
USA-NY,USA-NY,Dollars per Thousand Cubic Feet,$/Mcf,2013,13.07
USA-NY,USA-NY,Dollars per Thousand Cubic Feet,$/Mcf,2012,13.59
USA-NY,USA-NY,Dollars per Thousand Cubic Feet,$/Mcf,2011,14.22
USA-NY,USA-NY,Dollars per Thousand Cubic Feet,$/Mcf,2010,14.55
USA-NY,USA-NY,Dollars per Thousand Cubic Feet,$/Mcf,2006,16.99
USA-OH,USA-OH,Dollars per Thousand Cubic Feet,$/Mcf,2019,9.64
USA-OH,USA-OH,Dollars per Thousand Cubic Feet,$/Mcf,2018,9.08
USA-OH,USA-OH,Dollars per Thousand Cubic Feet,$/Mcf,2017,9.7
USA-OH,USA-OH,Dollars per Thousand Cubic Feet,$/Mcf,2016,9.04
USA-OH,USA-OH,Dollars per Thousand Cubic Feet,$/Mcf,2015,9.58
USA-OH,USA-OH,Dollars per Thousand Cubic Feet,$/Mcf,2014,10.16
USA-OH,USA-OH,Dollars per Thousand Cubic Feet,$/Mcf,2013,9.52
USA-OH,USA-OH,Dollars per Thousand Cubic Feet,$/Mcf,2012,10.42
USA-OH,USA-OH,Dollars per Thousand Cubic Feet,$/Mcf,2011,11.09
USA-OH,USA-OH,Dollars per Thousand Cubic Feet,$/Mcf,2010,11.8
USA-OH,USA-OH,Dollars per Thousand Cubic Feet,$/Mcf,2006,14.36
USA-PA,USA-PA,Dollars per Thousand Cubic Feet,$/Mcf,2010,13.78
USA-PA,USA-PA,Dollars per Thousand Cubic Feet,$/Mcf,2006,16.06
USA-VA,USA-VA,Dollars per Thousand Cubic Feet,$/Mcf,2010,13.64
USA-VA,USA-VA,Dollars per Thousand Cubic Feet,$/Mcf,2006,16.86
