iso3166,geography,units,unitsshort,period,value
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2020,7.85
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2019,7.84
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2018,6.72
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2017,7.08
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2016,6.65
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2015,5.4
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2014,5.06
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2013,4.73
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2012,4.32
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2011,5.04
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2010,
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2009,
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2008,
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2007,3.58
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2006,3.65
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2005,3.42
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2004,2.79
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2003,2.29
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2002,2.27
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2001,2.36
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2000,1.77
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,1999,1.59
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,1998,1.8
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,1997,1.74
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,2020,
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,2019,
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,2018,
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,2017,
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,2016,
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,2015,
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,2014,
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,2013,
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,2012,3.09
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,2011,
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,2010,4.85
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,2009,4.3
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,2008,10.03
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,2007,7.19
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,2006,7.32
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,2005,9.67
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,2004,6.24
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,2003,5.81
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,2002,3.57
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,2001,5.2
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,2000,4.52
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,1999,2.98
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,1998,2.58
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,1997,2.86
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2020,
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2019,
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2018,
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2017,
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2016,
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2015,
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2014,
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2013,
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2012,3.19
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2011,
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2010,5.11
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2009,4.14
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2008,9.23
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2007,7.04
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2006,6.38
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2005,8.59
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2004,6.19
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2003,4.37
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2002,3.59
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2001,4.44
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2000,4.46
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,1999,2.59
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,1998,2.29
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,1997,2.69
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2020,
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2019,
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2018,3.08
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2017,
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2016,
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2015,3.43
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2014,5.3
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2013,4.6
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2012,3.51
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2011,
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2010,4.84
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2009,4.16
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2008,8.6
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2007,6.84
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2006,6.48
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2005,8.24
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2004,5.84
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2003,5.16
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2002,3.26
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2001,4.7
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2000,4.86
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,1999,2.67
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,1998,2.42
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,1997,2.99
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,2020,3.38
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,2019,3.87
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,2018,4.63
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,2017,3.76
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,2016,3.16
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,2015,3.4
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,2014,5.22
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,2013,4.53
