iso3166,geography,units,unitsshort,period,value
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2020,3.67
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2019,3.64
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2018,3.89
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2017,3.54
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2016,2.79
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2015,3.07
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2014,5.51
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2013,4.08
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2012,3.25
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2011,4.64
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2010,5.02
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2009,4.47
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2008,8.58
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2007,6.92
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2006,6.83
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2005,7.59
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2004,6.09
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2003,5.54
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2002,3.41
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2001,4.19
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2000,4.1
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1999,2.61
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1998,2.45
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1997,3.02
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1996,2.97
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1995,2.39
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1994,2.5
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1993,2.59
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1992,2.25
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1991,2.59
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1990,3.1
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1989,2.51
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1988,2.74
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1987,3.07
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1986,2.81
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1985,4.77
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2019,
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2018,
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2017,
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2016,0.0
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2015,7.49
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2014,15.74
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2013,
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2012,15.71
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2011,12.88
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2010,12.19
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2009,8.59
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2008,7.69
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2007,6.21
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2006,6.0
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2005,5.77
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2004,4.94
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2003,4.47
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2002,4.07
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2001,4.39
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2000,4.31
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,1999,3.08
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,1998,2.91
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,1997,3.85
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,1996,3.65
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,1995,3.41
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,1994,3.18
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,1993,3.34
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,1992,3.43
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,1991,3.71
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,1990,3.59
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,1989,3.01
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2019,2.59
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2018,2.38
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2017,3.08
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2016,2.76
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2015,3.08
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2014,5.15
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2013,4.17
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2012,3.07
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2011,4.28
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2010,4.57
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2009,3.79
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2008,8.09
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2007,6.94
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2006,6.3
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2005,7.24
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2004,5.49
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2003,5.53
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2002,3.19
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2001,3.61
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2000,4.28
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,1999,2.63
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,1998,1.92
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,1997,2.38
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,1996,1.92
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,1995,1.53
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,1994,1.73
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,1993,1.08
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,1992,1.42
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,1991,2.22
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,1990,2.42
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,1989,3.21
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,2019,2.77
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,2018,3.19
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,2017,3.06
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,2016,2.57
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,2015,2.76
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,2014,4.56
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,2013,3.89
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,2012,2.9
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,2011,4.18
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,2010,4.51
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,2009,3.76
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,2008,8.06
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,2007,6.53
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,2006,6.33
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,2005,7.91
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,2004,5.78
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,2003,5.25
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,2002,3.21
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,2001,6.85
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,2000,5.97
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,1999,2.73
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,1998,2.58
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,1997,3.15
USA-ID,USA-ID,Dollars per Thousand Cubic Feet,$/Mcf,2019,
USA-ID,USA-ID,Dollars per Thousand Cubic Feet,$/Mcf,2018,1.6
