iso3166,geography,units,unitsshort,period,value
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202102,12.65
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202101,4.62
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202012,4.8
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202011,4.72
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202010,3.84
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202009,3.49
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202008,3.24
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202007,2.87
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202006,2.98
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202005,3.57
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202004,3.17
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202003,3.27
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202002,3.48
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202001,3.73
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201912,3.89
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201911,4.03
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201910,3.55
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201909,3.56
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201908,3.23
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201907,3.47
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201906,3.18
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201905,3.51
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201904,3.32
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201903,3.68
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201902,3.76
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201901,4.39
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201812,5.22
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201811,4.46
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201810,3.76
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201809,3.47
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201808,3.78
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201807,3.72
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201806,3.43
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201805,3.7
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201804,3.46
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201803,3.37
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201802,3.93
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201801,3.97
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201712,3.68
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201711,3.54
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201710,3.37
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201709,3.3
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201708,3.27
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201707,3.37
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201706,3.41
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201705,3.57
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201704,3.65
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201703,3.21
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201702,3.8
