iso3166,geography,units,unitsshort,period,value
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2020,2.05
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2019,2.55
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2018,2.69
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2017,2.6
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2016,2.24
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2015,2.99
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2014,5.3
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2013,3.83
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2012,2.88
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2011,4.24
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2010,4.52
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2009,4.19
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2008,8.7
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2007,6.87
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2006,6.88
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2005,8.12
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2004,5.81
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2003,5.17
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2002,3.15
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2001,4.43
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2000,3.95
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1999,2.24
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1998,1.97
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1997,2.17
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1996,1.97
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1995,1.49
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1994,1.87
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1993,2.03
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1992,1.85
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1991,1.83
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1990,1.94
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1989,1.82
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1988,1.84
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1987,1.95
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1986,2.43
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1985,3.21
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2019,4.78
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2018,4.41
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2017,3.28
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2016,2.49
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2015,2.83
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2014,4.33
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2013,3.36
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2012,2.78
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2011,4.2
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2010,4.39
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2009,3.73
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2008,9.71
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2007,6.79
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2006,7.03
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2005,9.18
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2004,6.47
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2003,5.12
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2002,3.51
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2001,1.92
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,2000,
USA-GA,USA-GA,Dollars per Thousand Cubic Feet,$/Mcf,1999,
USA-ID,USA-ID,Dollars per Thousand Cubic Feet,$/Mcf,2019,1.93
USA-ID,USA-ID,Dollars per Thousand Cubic Feet,$/Mcf,2018,1.75
USA-ID,USA-ID,Dollars per Thousand Cubic Feet,$/Mcf,2017,2.1
USA-ID,USA-ID,Dollars per Thousand Cubic Feet,$/Mcf,2016,1.87
USA-ID,USA-ID,Dollars per Thousand Cubic Feet,$/Mcf,2015,2.34
USA-ID,USA-ID,Dollars per Thousand Cubic Feet,$/Mcf,2014,4.14
USA-ID,USA-ID,Dollars per Thousand Cubic Feet,$/Mcf,2013,3.34
USA-ID,USA-ID,Dollars per Thousand Cubic Feet,$/Mcf,2012,2.59
USA-ID,USA-ID,Dollars per Thousand Cubic Feet,$/Mcf,2011,3.9
USA-ID,USA-ID,Dollars per Thousand Cubic Feet,$/Mcf,2010,4.19
USA-ID,USA-ID,Dollars per Thousand Cubic Feet,$/Mcf,2009,3.86
USA-ID,USA-ID,Dollars per Thousand Cubic Feet,$/Mcf,2008,7.88
USA-ID,USA-ID,Dollars per Thousand Cubic Feet,$/Mcf,2007,6.31
USA-ID,USA-ID,Dollars per Thousand Cubic Feet,$/Mcf,2006,6.22
USA-ID,USA-ID,Dollars per Thousand Cubic Feet,$/Mcf,2005,7.13
USA-ID,USA-ID,Dollars per Thousand Cubic Feet,$/Mcf,2004,5.3
USA-ID,USA-ID,Dollars per Thousand Cubic Feet,$/Mcf,2003,4.72
USA-ID,USA-ID,Dollars per Thousand Cubic Feet,$/Mcf,2002,2.83
USA-ID,USA-ID,Dollars per Thousand Cubic Feet,$/Mcf,2001,4.71
USA-ID,USA-ID,Dollars per Thousand Cubic Feet,$/Mcf,2000,3.79
USA-ID,USA-ID,Dollars per Thousand Cubic Feet,$/Mcf,1999,2.04
USA-ID,USA-ID,Dollars per Thousand Cubic Feet,$/Mcf,1998,1.6
USA-ID,USA-ID,Dollars per Thousand Cubic Feet,$/Mcf,1997,1.6
USA-ID,USA-ID,Dollars per Thousand Cubic Feet,$/Mcf,1996,1.22
USA-ID,USA-ID,Dollars per Thousand Cubic Feet,$/Mcf,1995,0.94
