iso3166,geography,units,unitsshort,period,value
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2020,
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2019,5.85
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2018,5.81
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2017,4.63
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2016,5.06
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2015,6.86
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2014,7.97
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2013,8.16
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2012,5.11
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2011,3.84
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2010,4.23
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2009,4.02
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2008,5.49
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2007,4.67
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2006,3.84
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2005,2.59
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2004,1.94
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2003,1.52
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2002,1.63
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2001,1.66
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2000,1.51
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,1999,1.25
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,1998,1.34
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,1997,1.54
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,2020,3.48
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,2019,3.95
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,2018,4.22
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,2017,4.23
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,2016,3.79
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,2015,4.09
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,2014,5.49
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,2013,4.98
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,2012,4.35
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,2011,5.57
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,2010,6.64
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,2009,6.48
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,2008,10.57
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,2007,8.7
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,2006,9.46
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,2005,9.51
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,2004,7.35
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,2003,6.65
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,2002,5.24
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,2001,6.33
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,2000,4.47
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,1999,3.42
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,1998,3.3
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,1997,3.65
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2020,
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2019,6.25
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2018,6.78
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2017,6.65
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2016,5.78
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2015,6.91
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2014,6.99
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2013,6.74
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2012,6.38
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2011,7.44
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2010,7.28
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2009,8.44
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2008,10.56
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2007,9.51
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2006,9.51
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2005,9.44
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2004,8.03
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2003,6.94
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2002,5.64
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2001,6.38
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2000,5.23
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,1999,3.45
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,1998,3.48
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,1997,3.71
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2020,3.98
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2019,4.12
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2018,5.98
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2017,6.47
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2016,5.79
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2015,6.78
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2014,7.52
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2013,6.29
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2012,5.78
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2011,6.86
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2010,7.54
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2009,8.19
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2008,10.47
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2007,10.49
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2006,9.9
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2005,8.53
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2004,6.91
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2003,6.54
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2002,6.49
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2001,6.23
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2000,4.79
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,1999,3.42
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,1998,3.26
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,1997,3.6
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,2020,7.64
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,2019,7.69
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,2018,7.12
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,2017,7.05
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,2016,6.79
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,2015,6.41
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,2014,7.65
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,2013,6.57
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,2012,5.77
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,2011,7.04
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,2010,7.02
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,2009,6.56
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,2008,10.8
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,2007,9.07
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,2006,9.3
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,2005,9.84
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,2004,7.89
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,2003,7.19
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,2002,4.93
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,2001,6.6
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,2000,5.29
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,1999,3.33
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,1998,3.75
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,1997,4.18
USA-CO,USA-CO,Dollars per Thousand Cubic Feet,$/Mcf,2020,4.94
USA-CO,USA-CO,Dollars per Thousand Cubic Feet,$/Mcf,2019,5.36
USA-CO,USA-CO,Dollars per Thousand Cubic Feet,$/Mcf,2018,5.28
USA-CO,USA-CO,Dollars per Thousand Cubic Feet,$/Mcf,2017,5.58
USA-CO,USA-CO,Dollars per Thousand Cubic Feet,$/Mcf,2016,4.89
USA-CO,USA-CO,Dollars per Thousand Cubic Feet,$/Mcf,2015,5.74
USA-CO,USA-CO,Dollars per Thousand Cubic Feet,$/Mcf,2014,6.84
USA-CO,USA-CO,Dollars per Thousand Cubic Feet,$/Mcf,2013,5.9
USA-CO,USA-CO,Dollars per Thousand Cubic Feet,$/Mcf,2012,5.79
USA-CO,USA-CO,Dollars per Thousand Cubic Feet,$/Mcf,2011,6.42
USA-CO,USA-CO,Dollars per Thousand Cubic Feet,$/Mcf,2010,5.84
USA-CO,USA-CO,Dollars per Thousand Cubic Feet,$/Mcf,2009,6.57
USA-CO,USA-CO,Dollars per Thousand Cubic Feet,$/Mcf,2008,8.76
USA-CO,USA-CO,Dollars per Thousand Cubic Feet,$/Mcf,2007,7.21
USA-CO,USA-CO,Dollars per Thousand Cubic Feet,$/Mcf,2006,11.53
USA-CO,USA-CO,Dollars per Thousand Cubic Feet,$/Mcf,2005,8.68
USA-CO,USA-CO,Dollars per Thousand Cubic Feet,$/Mcf,2004,6.54
USA-CO,USA-CO,Dollars per Thousand Cubic Feet,$/Mcf,2003,4.46
USA-CO,USA-CO,Dollars per Thousand Cubic Feet,$/Mcf,2002,4.79
USA-CO,USA-CO,Dollars per Thousand Cubic Feet,$/Mcf,2001,6.59
USA-CO,USA-CO,Dollars per Thousand Cubic Feet,$/Mcf,2000,4.68
USA-CO,USA-CO,Dollars per Thousand Cubic Feet,$/Mcf,1999,3.08
USA-CO,USA-CO,Dollars per Thousand Cubic Feet,$/Mcf,1998,2.55
USA-CO,USA-CO,Dollars per Thousand Cubic Feet,$/Mcf,1997,3.02
USA-CT,USA-CT,Dollars per Thousand Cubic Feet,$/Mcf,2020,
USA-CT,USA-CT,Dollars per Thousand Cubic Feet,$/Mcf,2019,6.82
USA-CT,USA-CT,Dollars per Thousand Cubic Feet,$/Mcf,2018,6.55
USA-CT,USA-CT,Dollars per Thousand Cubic Feet,$/Mcf,2017,6.48
USA-CT,USA-CT,Dollars per Thousand Cubic Feet,$/Mcf,2016,6.07
USA-CT,USA-CT,Dollars per Thousand Cubic Feet,$/Mcf,2015,6.35
USA-CT,USA-CT,Dollars per Thousand Cubic Feet,$/Mcf,2014,8.07
USA-CT,USA-CT,Dollars per Thousand Cubic Feet,$/Mcf,2013,6.85
USA-CT,USA-CT,Dollars per Thousand Cubic Feet,$/Mcf,2012,8.83
USA-CT,USA-CT,Dollars per Thousand Cubic Feet,$/Mcf,2011,9.16
USA-CT,USA-CT,Dollars per Thousand Cubic Feet,$/Mcf,2010,9.6
USA-CT,USA-CT,Dollars per Thousand Cubic Feet,$/Mcf,2009,8.44
USA-CT,USA-CT,Dollars per Thousand Cubic Feet,$/Mcf,2008,12.63
USA-CT,USA-CT,Dollars per Thousand Cubic Feet,$/Mcf,2007,10.54
USA-CT,USA-CT,Dollars per Thousand Cubic Feet,$/Mcf,2006,10.86
USA-CT,USA-CT,Dollars per Thousand Cubic Feet,$/Mcf,2005,11.68
USA-CT,USA-CT,Dollars per Thousand Cubic Feet,$/Mcf,2004,9.32
USA-CT,USA-CT,Dollars per Thousand Cubic Feet,$/Mcf,2003,7.52
USA-CT,USA-CT,Dollars per Thousand Cubic Feet,$/Mcf,2002,4.97
USA-CT,USA-CT,Dollars per Thousand Cubic Feet,$/Mcf,2001,6.77
