iso3166,geography,units,unitsshort,period,value
USA-AK,USA-AK,Percent,%,2020,
USA-AK,USA-AK,Percent,%,2019,98.4
USA-AK,USA-AK,Percent,%,2018,98.5
USA-AK,USA-AK,Percent,%,2017,98.4
USA-AK,USA-AK,Percent,%,2016,98.5
USA-AK,USA-AK,Percent,%,2015,98.2
USA-AK,USA-AK,Percent,%,2014,94.5
USA-AK,USA-AK,Percent,%,2013,94.5
USA-AK,USA-AK,Percent,%,2012,94.9
USA-AK,USA-AK,Percent,%,2011,88.6
USA-AK,USA-AK,Percent,%,2010,87.7
USA-AK,USA-AK,Percent,%,2009,85.3
USA-AK,USA-AK,Percent,%,2008,74.9
USA-AK,USA-AK,Percent,%,2007,76.0
USA-AK,USA-AK,Percent,%,2006,56.3
USA-AK,USA-AK,Percent,%,2005,51.2
USA-AK,USA-AK,Percent,%,2004,55.5
USA-AK,USA-AK,Percent,%,2003,59.1
USA-AK,USA-AK,Percent,%,2002,60.0
USA-AK,USA-AK,Percent,%,2001,60.5
USA-AK,USA-AK,Percent,%,2000,59.3
USA-AK,USA-AK,Percent,%,1999,55.4
USA-AK,USA-AK,Percent,%,1998,49.6
USA-AK,USA-AK,Percent,%,1997,54.5
USA-AK,USA-AK,Percent,%,1996,63.4
USA-AK,USA-AK,Percent,%,1995,79.9
USA-AK,USA-AK,Percent,%,1994,100.0
USA-AK,USA-AK,Percent,%,1993,100.0
USA-AK,USA-AK,Percent,%,1992,100.0
USA-AK,USA-AK,Percent,%,1991,100.0
USA-AK,USA-AK,Percent,%,1990,100.0
USA-AL,USA-AL,Percent,%,2020,77.4
USA-AL,USA-AL,Percent,%,2019,78.5
USA-AL,USA-AL,Percent,%,2018,78.9
USA-AL,USA-AL,Percent,%,2017,76.0
USA-AL,USA-AL,Percent,%,2016,77.2
USA-AL,USA-AL,Percent,%,2015,77.7
USA-AL,USA-AL,Percent,%,2014,78.4
USA-AL,USA-AL,Percent,%,2013,76.6
USA-AL,USA-AL,Percent,%,2012,76.2
USA-AL,USA-AL,Percent,%,2011,78.9
USA-AL,USA-AL,Percent,%,2010,79.3
USA-AL,USA-AL,Percent,%,2009,78.8
