iso3166,geography,units,unitsshort,period,value
USA-AK,USA-AK,Percent,%,202102,99.7
USA-AK,USA-AK,Percent,%,202101,99.6
USA-AK,USA-AK,Percent,%,202012,99.8
USA-AK,USA-AK,Percent,%,202011,99.8
USA-AK,USA-AK,Percent,%,202010,99.8
USA-AK,USA-AK,Percent,%,202009,99.7
USA-AK,USA-AK,Percent,%,202008,99.7
USA-AK,USA-AK,Percent,%,202007,99.6
USA-AK,USA-AK,Percent,%,202006,
USA-AK,USA-AK,Percent,%,202005,
USA-AK,USA-AK,Percent,%,202004,
USA-AK,USA-AK,Percent,%,202003,99.7
USA-AK,USA-AK,Percent,%,202002,99.7
USA-AK,USA-AK,Percent,%,202001,99.4
USA-AK,USA-AK,Percent,%,201912,99.3
USA-AK,USA-AK,Percent,%,201911,99.2
USA-AK,USA-AK,Percent,%,201910,97.6
USA-AK,USA-AK,Percent,%,201909,95.7
USA-AK,USA-AK,Percent,%,201908,93.4
USA-AK,USA-AK,Percent,%,201907,94.9
USA-AK,USA-AK,Percent,%,201906,96.7
USA-AK,USA-AK,Percent,%,201905,97.4
USA-AK,USA-AK,Percent,%,201904,99.0
USA-AK,USA-AK,Percent,%,201903,99.1
USA-AK,USA-AK,Percent,%,201902,99.4
USA-AK,USA-AK,Percent,%,201901,99.3
USA-AK,USA-AK,Percent,%,201812,99.2
USA-AK,USA-AK,Percent,%,201811,99.1
USA-AK,USA-AK,Percent,%,201810,98.2
USA-AK,USA-AK,Percent,%,201809,95.8
USA-AK,USA-AK,Percent,%,201808,95.5
USA-AK,USA-AK,Percent,%,201807,95.8
USA-AK,USA-AK,Percent,%,201806,96.6
USA-AK,USA-AK,Percent,%,201805,98.1
USA-AK,USA-AK,Percent,%,201804,98.9
USA-AK,USA-AK,Percent,%,201803,99.1
USA-AK,USA-AK,Percent,%,201802,99.3
USA-AK,USA-AK,Percent,%,201801,99.2
USA-AK,USA-AK,Percent,%,201712,99.3
USA-AK,USA-AK,Percent,%,201711,98.7
USA-AK,USA-AK,Percent,%,201710,96.7
USA-AK,USA-AK,Percent,%,201709,96.4
USA-AK,USA-AK,Percent,%,201708,96.4
USA-AK,USA-AK,Percent,%,201707,97.5
USA-AK,USA-AK,Percent,%,201706,96.7
USA-AK,USA-AK,Percent,%,201705,97.7
USA-AK,USA-AK,Percent,%,201704,98.7
USA-AK,USA-AK,Percent,%,201703,99.0
USA-AK,USA-AK,Percent,%,201702,99.1
USA-AK,USA-AK,Percent,%,201701,99.1
USA-AK,USA-AK,Percent,%,201612,99.1
USA-AK,USA-AK,Percent,%,201611,98.9
USA-AK,USA-AK,Percent,%,201610,97.7
USA-AK,USA-AK,Percent,%,201609,96.9
USA-AK,USA-AK,Percent,%,201608,96.8
USA-AK,USA-AK,Percent,%,201607,96.3
USA-AK,USA-AK,Percent,%,201606,97.0
USA-AK,USA-AK,Percent,%,201605,98.0
USA-AK,USA-AK,Percent,%,201604,98.5
USA-AK,USA-AK,Percent,%,201603,99.0
USA-AK,USA-AK,Percent,%,201602,99.0
USA-AK,USA-AK,Percent,%,201601,99.2
USA-AK,USA-AK,Percent,%,201512,99.7
USA-AK,USA-AK,Percent,%,201511,99.9
USA-AK,USA-AK,Percent,%,201510,98.7
USA-AK,USA-AK,Percent,%,201509,98.3
USA-AK,USA-AK,Percent,%,201508,97.3
USA-AK,USA-AK,Percent,%,201507,96.6
USA-AK,USA-AK,Percent,%,201506,97.7
