iso3166,geography,units,unitsshort,period,value
USA-AK,USA-AK,Percent,%,2020,
USA-AK,USA-AK,Percent,%,2019,37.2
USA-AK,USA-AK,Percent,%,2018,100.0
USA-AK,USA-AK,Percent,%,2017,100.0
USA-AK,USA-AK,Percent,%,2016,100.0
USA-AK,USA-AK,Percent,%,2015,100.0
USA-AK,USA-AK,Percent,%,2014,100.0
USA-AK,USA-AK,Percent,%,2013,9.0
USA-AK,USA-AK,Percent,%,2012,100.0
USA-AK,USA-AK,Percent,%,2011,60.8
USA-AK,USA-AK,Percent,%,2010,70.5
USA-AK,USA-AK,Percent,%,2009,72.5
USA-AK,USA-AK,Percent,%,2008,78.2
USA-AK,USA-AK,Percent,%,2007,70.0
USA-AK,USA-AK,Percent,%,2006,63.1
USA-AK,USA-AK,Percent,%,2005,68.6
USA-AK,USA-AK,Percent,%,2004,66.9
USA-AK,USA-AK,Percent,%,2003,72.2
USA-AK,USA-AK,Percent,%,2002,90.2
USA-AK,USA-AK,Percent,%,2001,96.2
USA-AK,USA-AK,Percent,%,2000,99.8
USA-AK,USA-AK,Percent,%,1999,99.1
USA-AK,USA-AK,Percent,%,1998,99.4
USA-AK,USA-AK,Percent,%,1997,97.8
USA-AL,USA-AL,Percent,%,2020,23.4
USA-AL,USA-AL,Percent,%,2019,23.5
USA-AL,USA-AL,Percent,%,2018,24.2
USA-AL,USA-AL,Percent,%,2017,26.2
USA-AL,USA-AL,Percent,%,2016,24.6
USA-AL,USA-AL,Percent,%,2015,23.2
USA-AL,USA-AL,Percent,%,2014,23.3
USA-AL,USA-AL,Percent,%,2013,23.6
USA-AL,USA-AL,Percent,%,2012,22.1
USA-AL,USA-AL,Percent,%,2011,23.5
USA-AL,USA-AL,Percent,%,2010,23.7
USA-AL,USA-AL,Percent,%,2009,27.9
USA-AL,USA-AL,Percent,%,2008,27.2
USA-AL,USA-AL,Percent,%,2007,24.0
USA-AL,USA-AL,Percent,%,2006,23.5
USA-AL,USA-AL,Percent,%,2005,23.6
USA-AL,USA-AL,Percent,%,2004,20.8
USA-AL,USA-AL,Percent,%,2003,21.2
USA-AL,USA-AL,Percent,%,2002,21.6
USA-AL,USA-AL,Percent,%,2001,22.2
USA-AL,USA-AL,Percent,%,2000,22.4
USA-AL,USA-AL,Percent,%,1999,21.8
USA-AL,USA-AL,Percent,%,1998,23.3
USA-AL,USA-AL,Percent,%,1997,24.6
USA-AR,USA-AR,Percent,%,2020,
USA-AR,USA-AR,Percent,%,2019,1.6
USA-AR,USA-AR,Percent,%,2018,1.5
USA-AR,USA-AR,Percent,%,2017,1.4
USA-AR,USA-AR,Percent,%,2016,1.5
USA-AR,USA-AR,Percent,%,2015,1.7
USA-AR,USA-AR,Percent,%,2014,1.8
USA-AR,USA-AR,Percent,%,2013,1.7
USA-AR,USA-AR,Percent,%,2012,1.8
USA-AR,USA-AR,Percent,%,2011,2.1
USA-AR,USA-AR,Percent,%,2010,2.8
USA-AR,USA-AR,Percent,%,2009,3.7
USA-AR,USA-AR,Percent,%,2008,3.9
USA-AR,USA-AR,Percent,%,2007,4.2
USA-AR,USA-AR,Percent,%,2006,4.8
USA-AR,USA-AR,Percent,%,2005,5.2
USA-AR,USA-AR,Percent,%,2004,5.9
USA-AR,USA-AR,Percent,%,2003,5.4
USA-AR,USA-AR,Percent,%,2002,5.0
USA-AR,USA-AR,Percent,%,2001,6.0
USA-AR,USA-AR,Percent,%,2000,8.3
USA-AR,USA-AR,Percent,%,1999,10.1
USA-AR,USA-AR,Percent,%,1998,9.5
USA-AR,USA-AR,Percent,%,1997,10.7
USA-AZ,USA-AZ,Percent,%,2020,21.0
USA-AZ,USA-AZ,Percent,%,2019,18.2
USA-AZ,USA-AZ,Percent,%,2018,14.4
USA-AZ,USA-AZ,Percent,%,2017,13.8
USA-AZ,USA-AZ,Percent,%,2016,15.9
USA-AZ,USA-AZ,Percent,%,2015,15.8
USA-AZ,USA-AZ,Percent,%,2014,12.8
USA-AZ,USA-AZ,Percent,%,2013,16.6
USA-AZ,USA-AZ,Percent,%,2012,21.4
USA-AZ,USA-AZ,Percent,%,2011,24.2
USA-AZ,USA-AZ,Percent,%,2010,25.5
USA-AZ,USA-AZ,Percent,%,2009,29.1
USA-AZ,USA-AZ,Percent,%,2008,29.6
USA-AZ,USA-AZ,Percent,%,2007,31.3
USA-AZ,USA-AZ,Percent,%,2006,37.9
USA-AZ,USA-AZ,Percent,%,2005,43.6
USA-AZ,USA-AZ,Percent,%,2004,55.1
USA-AZ,USA-AZ,Percent,%,2003,40.0
USA-AZ,USA-AZ,Percent,%,2002,41.2
USA-AZ,USA-AZ,Percent,%,2001,46.4
USA-AZ,USA-AZ,Percent,%,2000,26.8
USA-AZ,USA-AZ,Percent,%,1999,36.2
USA-AZ,USA-AZ,Percent,%,1998,33.4
USA-AZ,USA-AZ,Percent,%,1997,25.1
USA-CA,USA-CA,Percent,%,2020,4.4
USA-CA,USA-CA,Percent,%,2019,4.2
USA-CA,USA-CA,Percent,%,2018,4.1
USA-CA,USA-CA,Percent,%,2017,4.2
USA-CA,USA-CA,Percent,%,2016,3.9
USA-CA,USA-CA,Percent,%,2015,3.8
USA-CA,USA-CA,Percent,%,2014,3.7
USA-CA,USA-CA,Percent,%,2013,4.0
USA-CA,USA-CA,Percent,%,2012,4.2
USA-CA,USA-CA,Percent,%,2011,4.5
USA-CA,USA-CA,Percent,%,2010,4.6
USA-CA,USA-CA,Percent,%,2009,4.7
USA-CA,USA-CA,Percent,%,2008,5.1
USA-CA,USA-CA,Percent,%,2007,5.3
USA-CA,USA-CA,Percent,%,2006,5.7
USA-CA,USA-CA,Percent,%,2005,5.5
USA-CA,USA-CA,Percent,%,2004,5.2
USA-CA,USA-CA,Percent,%,2003,4.9
USA-CA,USA-CA,Percent,%,2002,7.7
USA-CA,USA-CA,Percent,%,2001,9.1
USA-CA,USA-CA,Percent,%,2000,8.7
USA-CA,USA-CA,Percent,%,1999,12.9
USA-CA,USA-CA,Percent,%,1998,10.4
USA-CA,USA-CA,Percent,%,1997,9.0
USA-CO,USA-CO,Percent,%,2020,8.5
USA-CO,USA-CO,Percent,%,2019,8.2
USA-CO,USA-CO,Percent,%,2018,7.4
USA-CO,USA-CO,Percent,%,2017,7.2
USA-CO,USA-CO,Percent,%,2016,7.5
USA-CO,USA-CO,Percent,%,2015,7.7
USA-CO,USA-CO,Percent,%,2014,7.7
USA-CO,USA-CO,Percent,%,2013,7.2
USA-CO,USA-CO,Percent,%,2012,6.8
USA-CO,USA-CO,Percent,%,2011,7.5
USA-CO,USA-CO,Percent,%,2010,5.2
USA-CO,USA-CO,Percent,%,2009,0.5
USA-CO,USA-CO,Percent,%,2008,0.6
USA-CO,USA-CO,Percent,%,2007,0.5
USA-CO,USA-CO,Percent,%,2006,0.6
USA-CO,USA-CO,Percent,%,2005,0.6
USA-CO,USA-CO,Percent,%,2004,0.8
USA-CO,USA-CO,Percent,%,2003,0.9
USA-CO,USA-CO,Percent,%,2002,1.2
USA-CO,USA-CO,Percent,%,2001,0.7
USA-CO,USA-CO,Percent,%,2000,1.8
USA-CO,USA-CO,Percent,%,1999,7.1
USA-CO,USA-CO,Percent,%,1998,7.6
USA-CO,USA-CO,Percent,%,1997,7.3
USA-CT,USA-CT,Percent,%,2020,
USA-CT,USA-CT,Percent,%,2019,51.2
USA-CT,USA-CT,Percent,%,2018,51.8
USA-CT,USA-CT,Percent,%,2017,50.4
USA-CT,USA-CT,Percent,%,2016,49.0
USA-CT,USA-CT,Percent,%,2015,47.3
USA-CT,USA-CT,Percent,%,2014,39.4
USA-CT,USA-CT,Percent,%,2013,33.4
USA-CT,USA-CT,Percent,%,2012,32.3
USA-CT,USA-CT,Percent,%,2011,31.0
USA-CT,USA-CT,Percent,%,2010,31.1
USA-CT,USA-CT,Percent,%,2009,37.5
USA-CT,USA-CT,Percent,%,2008,47.3
USA-CT,USA-CT,Percent,%,2007,50.0
USA-CT,USA-CT,Percent,%,2006,48.5
USA-CT,USA-CT,Percent,%,2005,46.4
USA-CT,USA-CT,Percent,%,2004,44.0
USA-CT,USA-CT,Percent,%,2003,45.3
