iso3166,geography,units,unitsshort,period,value
USA-AK,USA-AK,Percent,%,202102,34.4
USA-AK,USA-AK,Percent,%,202101,36.1
USA-AK,USA-AK,Percent,%,202012,37.2
USA-AK,USA-AK,Percent,%,202011,37.4
USA-AK,USA-AK,Percent,%,202010,41.1
USA-AK,USA-AK,Percent,%,202009,43.6
USA-AK,USA-AK,Percent,%,202008,43.1
USA-AK,USA-AK,Percent,%,202007,
USA-AK,USA-AK,Percent,%,202006,42.6
USA-AK,USA-AK,Percent,%,202005,37.8
USA-AK,USA-AK,Percent,%,202004,32.4
USA-AK,USA-AK,Percent,%,202003,50.2
USA-AK,USA-AK,Percent,%,202002,42.8
USA-AK,USA-AK,Percent,%,202001,38.8
USA-AK,USA-AK,Percent,%,201912,37.2
USA-AK,USA-AK,Percent,%,201911,37.2
USA-AK,USA-AK,Percent,%,201910,37.2
USA-AK,USA-AK,Percent,%,201909,37.2
USA-AK,USA-AK,Percent,%,201908,37.2
USA-AK,USA-AK,Percent,%,201907,37.2
USA-AK,USA-AK,Percent,%,201906,37.2
USA-AK,USA-AK,Percent,%,201905,37.2
USA-AK,USA-AK,Percent,%,201904,37.2
USA-AK,USA-AK,Percent,%,201903,37.2
USA-AK,USA-AK,Percent,%,201902,37.2
USA-AK,USA-AK,Percent,%,201901,37.2
USA-AK,USA-AK,Percent,%,201812,100.0
USA-AK,USA-AK,Percent,%,201811,100.0
USA-AK,USA-AK,Percent,%,201810,100.0
USA-AK,USA-AK,Percent,%,201809,100.0
USA-AK,USA-AK,Percent,%,201808,100.0
USA-AK,USA-AK,Percent,%,201807,100.0
USA-AK,USA-AK,Percent,%,201806,100.0
USA-AK,USA-AK,Percent,%,201805,100.0
USA-AK,USA-AK,Percent,%,201804,100.0
USA-AK,USA-AK,Percent,%,201803,100.0
USA-AK,USA-AK,Percent,%,201802,100.0
USA-AK,USA-AK,Percent,%,201801,100.0
USA-AK,USA-AK,Percent,%,201712,100.0
USA-AK,USA-AK,Percent,%,201711,100.0
USA-AK,USA-AK,Percent,%,201710,100.0
USA-AK,USA-AK,Percent,%,201709,100.0
USA-AK,USA-AK,Percent,%,201708,100.0
USA-AK,USA-AK,Percent,%,201707,100.0
USA-AK,USA-AK,Percent,%,201706,100.0
USA-AK,USA-AK,Percent,%,201705,100.0
USA-AK,USA-AK,Percent,%,201704,100.0
USA-AK,USA-AK,Percent,%,201703,100.0
USA-AK,USA-AK,Percent,%,201702,100.0
USA-AK,USA-AK,Percent,%,201701,100.0
USA-AK,USA-AK,Percent,%,201612,100.0
USA-AK,USA-AK,Percent,%,201611,100.0
USA-AK,USA-AK,Percent,%,201610,100.0
USA-AK,USA-AK,Percent,%,201609,100.0
USA-AK,USA-AK,Percent,%,201608,100.0
USA-AK,USA-AK,Percent,%,201607,100.0
USA-AK,USA-AK,Percent,%,201606,100.0
USA-AK,USA-AK,Percent,%,201605,100.0
USA-AK,USA-AK,Percent,%,201604,100.0
USA-AK,USA-AK,Percent,%,201603,100.0
USA-AK,USA-AK,Percent,%,201602,100.0
USA-AK,USA-AK,Percent,%,201601,100.0
USA-AK,USA-AK,Percent,%,201512,100.0
USA-AK,USA-AK,Percent,%,201511,100.0
USA-AK,USA-AK,Percent,%,201510,100.0
USA-AK,USA-AK,Percent,%,201509,100.0
USA-AK,USA-AK,Percent,%,201508,100.0
USA-AK,USA-AK,Percent,%,201507,100.0
USA-AK,USA-AK,Percent,%,201506,100.0
USA-AK,USA-AK,Percent,%,201505,100.0
USA-AK,USA-AK,Percent,%,201504,100.0
USA-AK,USA-AK,Percent,%,201503,100.0
USA-AK,USA-AK,Percent,%,201502,100.0
USA-AK,USA-AK,Percent,%,201501,100.0
USA-AK,USA-AK,Percent,%,201412,100.0
USA-AK,USA-AK,Percent,%,201411,100.0
USA-AK,USA-AK,Percent,%,201410,100.0
USA-AK,USA-AK,Percent,%,201409,100.0
USA-AK,USA-AK,Percent,%,201408,100.0
USA-AK,USA-AK,Percent,%,201407,100.0
USA-AK,USA-AK,Percent,%,201406,100.0
USA-AK,USA-AK,Percent,%,201405,100.0
USA-AK,USA-AK,Percent,%,201404,100.0
USA-AK,USA-AK,Percent,%,201403,100.0
USA-AK,USA-AK,Percent,%,201402,100.0
USA-AK,USA-AK,Percent,%,201401,100.0
USA-AK,USA-AK,Percent,%,201312,9.0
USA-AK,USA-AK,Percent,%,201311,9.0
USA-AK,USA-AK,Percent,%,201310,9.0
