iso3166,geography,units,unitsshort,period,value
USA,USA,Percent,%,2020,96.3
USA,USA,Percent,%,2019,96.2
USA,USA,Percent,%,2018,96.0
USA,USA,Percent,%,2017,95.9
USA,USA,Percent,%,2016,95.8
USA,USA,Percent,%,2015,95.6
USA,USA,Percent,%,2014,95.5
USA,USA,Percent,%,2013,95.7
USA,USA,Percent,%,2012,95.8
USA,USA,Percent,%,2011,96.3
USA,USA,Percent,%,2010,97.4
USA,USA,Percent,%,2009,97.4
USA,USA,Percent,%,2008,97.5
USA,USA,Percent,%,2007,98.0
USA,USA,Percent,%,2006,98.1
USA,USA,Percent,%,2005,98.1
USA,USA,Percent,%,2004,97.7
USA,USA,Percent,%,2003,97.5
USA,USA,Percent,%,2002,97.9
USA,USA,Percent,%,2001,92.4
USA,USA,Percent,%,2000,92.6
USA,USA,Percent,%,1999,95.2
USA,USA,Percent,%,1998,97.7
USA,USA,Percent,%,1997,98.8
USA,USA,Percent,%,1996,99.0
USA,USA,Percent,%,1995,99.0
USA,USA,Percent,%,1994,99.1
USA,USA,Percent,%,1993,99.1
USA,USA,Percent,%,1992,99.1
USA,USA,Percent,%,1991,99.2
USA,USA,Percent,%,1990,99.2
USA,USA,Percent,%,1989,99.9
USA-AK,USA-AK,Percent,%,2020,100.0
USA-AK,USA-AK,Percent,%,2019,100.0
USA-AK,USA-AK,Percent,%,2018,100.0
USA-AK,USA-AK,Percent,%,2017,100.0
USA-AK,USA-AK,Percent,%,2016,100.0
USA-AK,USA-AK,Percent,%,2015,100.0
USA-AK,USA-AK,Percent,%,2014,100.0
USA-AK,USA-AK,Percent,%,2013,100.0
USA-AK,USA-AK,Percent,%,2012,100.0
USA-AK,USA-AK,Percent,%,2011,100.0
USA-AK,USA-AK,Percent,%,2010,100.0
USA-AK,USA-AK,Percent,%,2009,100.0
USA-AK,USA-AK,Percent,%,2008,100.0
USA-AK,USA-AK,Percent,%,2007,100.0
USA-AK,USA-AK,Percent,%,2006,100.0
USA-AK,USA-AK,Percent,%,2005,100.0
USA-AK,USA-AK,Percent,%,2004,100.0
USA-AK,USA-AK,Percent,%,2003,100.0
USA-AK,USA-AK,Percent,%,2002,100.0
USA-AK,USA-AK,Percent,%,2001,100.0
USA-AK,USA-AK,Percent,%,2000,100.0
USA-AK,USA-AK,Percent,%,1999,100.0
USA-AK,USA-AK,Percent,%,1998,1.0
USA-AK,USA-AK,Percent,%,1997,100.0
USA-AK,USA-AK,Percent,%,1996,100.0
USA-AK,USA-AK,Percent,%,1995,100.0
USA-AK,USA-AK,Percent,%,1994,100.0
USA-AK,USA-AK,Percent,%,1993,100.0
USA-AK,USA-AK,Percent,%,1992,100.0
USA-AK,USA-AK,Percent,%,1991,100.0
USA-AK,USA-AK,Percent,%,1990,100.0
USA-AK,USA-AK,Percent,%,1989,100.0
USA-AL,USA-AL,Percent,%,2020,100.0
USA-AL,USA-AL,Percent,%,2019,100.0
USA-AL,USA-AL,Percent,%,2018,100.0
USA-AL,USA-AL,Percent,%,2017,100.0
USA-AL,USA-AL,Percent,%,2016,100.0
USA-AL,USA-AL,Percent,%,2015,100.0
USA-AL,USA-AL,Percent,%,2014,100.0
USA-AL,USA-AL,Percent,%,2013,100.0
USA-AL,USA-AL,Percent,%,2012,100.0
USA-AL,USA-AL,Percent,%,2011,100.0
USA-AL,USA-AL,Percent,%,2010,100.0
USA-AL,USA-AL,Percent,%,2009,100.0
USA-AL,USA-AL,Percent,%,2008,100.0
USA-AL,USA-AL,Percent,%,2007,100.0
USA-AL,USA-AL,Percent,%,2006,100.0
USA-AL,USA-AL,Percent,%,2005,100.0
USA-AL,USA-AL,Percent,%,2004,100.0
USA-AL,USA-AL,Percent,%,2003,100.0
USA-AL,USA-AL,Percent,%,2002,100.0
USA-AL,USA-AL,Percent,%,2001,100.0
USA-AL,USA-AL,Percent,%,2000,100.0
USA-AL,USA-AL,Percent,%,1999,100.0
USA-AL,USA-AL,Percent,%,1998,1.0
USA-AL,USA-AL,Percent,%,1997,100.0
USA-AL,USA-AL,Percent,%,1996,100.0
USA-AL,USA-AL,Percent,%,1995,100.0
USA-AL,USA-AL,Percent,%,1994,100.0
USA-AL,USA-AL,Percent,%,1993,99.9
USA-AL,USA-AL,Percent,%,1992,100.0
USA-AL,USA-AL,Percent,%,1991,100.0
USA-AL,USA-AL,Percent,%,1990,100.0
