iso3166,geography,units,unitsshort,period,value
USA,USA,Percent,%,202102,96.7
USA,USA,Percent,%,202101,96.7
USA,USA,Percent,%,202012,96.8
USA,USA,Percent,%,202011,96.8
USA,USA,Percent,%,202010,96.6
USA,USA,Percent,%,202009,96.6
USA,USA,Percent,%,202008,95.9
USA,USA,Percent,%,202007,96.3
USA,USA,Percent,%,202006,95.9
USA,USA,Percent,%,202005,95.7
USA,USA,Percent,%,202004,95.9
USA,USA,Percent,%,202003,96.1
USA,USA,Percent,%,202002,96.3
USA,USA,Percent,%,202001,96.4
USA,USA,Percent,%,201912,96.4
USA,USA,Percent,%,201911,96.6
USA,USA,Percent,%,201910,96.8
USA,USA,Percent,%,201909,96.2
USA,USA,Percent,%,201908,96.1
USA,USA,Percent,%,201907,95.9
USA,USA,Percent,%,201906,95.6
USA,USA,Percent,%,201905,95.7
USA,USA,Percent,%,201904,95.6
USA,USA,Percent,%,201903,96.0
USA,USA,Percent,%,201902,96.1
USA,USA,Percent,%,201901,96.4
USA,USA,Percent,%,201812,96.2
USA,USA,Percent,%,201811,96.4
USA,USA,Percent,%,201810,96.5
USA,USA,Percent,%,201809,96.2
USA,USA,Percent,%,201808,95.6
USA,USA,Percent,%,201807,95.8
USA,USA,Percent,%,201806,95.7
USA,USA,Percent,%,201805,94.8
USA,USA,Percent,%,201804,95.6
USA,USA,Percent,%,201803,95.9
USA,USA,Percent,%,201802,96.0
USA,USA,Percent,%,201801,96.1
USA,USA,Percent,%,201712,96.5
USA,USA,Percent,%,201711,96.1
USA,USA,Percent,%,201710,96.4
USA,USA,Percent,%,201709,96.1
USA,USA,Percent,%,201708,95.6
USA,USA,Percent,%,201707,95.8
USA,USA,Percent,%,201706,95.6
USA,USA,Percent,%,201705,95.5
USA,USA,Percent,%,201704,95.7
USA,USA,Percent,%,201703,95.7
USA,USA,Percent,%,201702,95.8
USA,USA,Percent,%,201701,95.9
USA,USA,Percent,%,201612,96.0
USA,USA,Percent,%,201611,96.0
USA,USA,Percent,%,201610,95.9
USA,USA,Percent,%,201609,96.0
USA,USA,Percent,%,201608,95.8
USA,USA,Percent,%,201607,95.9
USA,USA,Percent,%,201606,95.7
USA,USA,Percent,%,201605,95.4
USA,USA,Percent,%,201604,95.6
USA,USA,Percent,%,201603,95.6
USA,USA,Percent,%,201602,95.8
USA,USA,Percent,%,201601,96.0
USA,USA,Percent,%,201512,96.0
USA,USA,Percent,%,201511,96.0
USA,USA,Percent,%,201510,95.5
USA,USA,Percent,%,201509,95.8
USA,USA,Percent,%,201508,95.4
USA,USA,Percent,%,201507,95.7
USA,USA,Percent,%,201506,95.5
USA,USA,Percent,%,201505,95.4
USA,USA,Percent,%,201504,95.4
USA,USA,Percent,%,201503,95.4
USA,USA,Percent,%,201502,95.6
USA,USA,Percent,%,201501,95.7
USA,USA,Percent,%,201412,95.6
USA,USA,Percent,%,201411,95.8
USA,USA,Percent,%,201410,95.3
USA,USA,Percent,%,201409,95.6
USA,USA,Percent,%,201408,95.6
USA,USA,Percent,%,201407,95.5
USA,USA,Percent,%,201406,95.5
USA,USA,Percent,%,201405,95.4
USA,USA,Percent,%,201404,95.3
USA,USA,Percent,%,201403,95.4
