iso3166,geography,units,unitsshort,period,value
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2020,2.1
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2019,2.64
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2018,3.34
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2017,3.2
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2016,2.63
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2015,2.95
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2014,5.4
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2013,4.06
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2012,3.08
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2011,4.35
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2010,4.75
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2009,4.34
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2008,8.62
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2007,6.96
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2006,6.9
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2005,7.77
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2004,6.18
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2003,5.66
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2002,3.32
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2001,4.14
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2000,4.02
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1999,2.3
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1998,2.13
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1997,2.49
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1996,2.45
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1995,1.64
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1994,2.08
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1993,2.08
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1992,1.88
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1991,1.79
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1990,2.31
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1989,2.05
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1988,2.14
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1987,2.35
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1986,2.35
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1985,3.92
