iso3166,geography,units,unitsshort,period,value
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202102,18.69
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202101,2.89
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202012,2.85
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202011,2.73
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202010,2.17
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202009,2.23
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202008,2.11
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202007,1.83
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202006,1.78
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202005,1.97
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202004,1.68
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202003,1.74
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202002,1.93
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202001,2.13
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201912,2.48
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201911,2.66
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201910,2.28
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201909,2.38
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201908,2.15
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201907,2.26
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201906,2.28
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201905,2.94
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201904,2.49
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201903,3.04
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201902,3.17
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201901,3.6
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201812,4.39
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201811,3.92
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201810,3.28
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201809,2.98
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201808,3.13
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201807,2.98
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201806,2.96
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201805,2.99
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201804,2.98
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201803,2.87
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201802,3.31
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201801,3.85
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201712,3.28
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201711,3.18
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201710,3.11
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201709,3.14
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201708,3.13
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201707,3.13
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201706,3.1
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201705,3.17
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201704,3.25
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201703,2.97
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201702,3.24
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201701,3.75
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201612,3.65
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201611,2.74
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201610,3.05
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201609,2.99
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201608,2.84
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201607,2.78
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201606,2.39
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201605,2.03
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201604,2.04
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201603,1.93
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201602,2.26
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201601,2.54
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201512,2.3
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201511,2.36
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201510,2.66
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201509,2.84
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201508,2.99
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201507,2.96
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201506,2.91
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201505,2.85
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201504,2.83
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201503,3.4
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201502,3.81
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201501,3.51
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201412,4.24
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201411,4.44
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201410,4.09
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201409,4.13
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201408,4.09
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201407,4.48
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201406,4.81
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201405,4.82
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201404,4.93
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201403,8.2
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201402,9.44
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201401,5.81
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201312,4.56
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201311,3.92
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201310,3.88
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201309,3.88
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201308,3.75
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201307,3.93
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201306,4.22
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201305,4.37
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201304,4.43
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201303,4.05
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201302,3.84
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201301,3.9
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201212,3.88
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201211,3.96
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201210,3.46
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201209,3.0
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201208,3.14
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201207,3.05
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201206,2.65
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201205,2.5
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201204,2.28
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201203,2.59
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201202,2.93
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201201,3.25
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201112,3.73
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201111,3.8
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201110,3.92
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201109,4.19
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201108,4.51
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201107,4.64
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201106,4.71
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201105,4.62
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201104,4.55
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201103,4.31
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201102,4.58
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201101,4.74
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201012,4.57
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201011,4.1
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201010,3.99
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201009,4.16
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201008,4.69
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201007,4.9
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201006,4.79
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201005,4.51
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201004,4.36
