iso3166,geography,units,unitsshort,period,value
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2020,2.0
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2019,2.44
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2018,2.58
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2017,2.55
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2016,2.18
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2015,2.84
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2014,5.21
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2013,3.73
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2012,2.79
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2011,4.09
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2010,4.46
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2009,4.13
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2008,8.57
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2007,6.83
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2006,6.83
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2005,8.09
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2004,5.8
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2003,5.23
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2002,3.13
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2001,4.44
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2000,3.98
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1999,2.23
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1998,1.95
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1997,2.15
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1996,1.96
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1995,1.48
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1994,1.86
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1993,2.02
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1992,1.84
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1991,1.81
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1990,1.91
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1989,1.81
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1988,1.83
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1987,1.95
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1986,2.42
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1985,3.17
