iso3166,geography,units,unitsshort,period,value
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202102,5.54
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202101,2.75
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202012,2.72
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202011,2.63
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202010,2.17
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202009,1.99
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202008,1.88
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202007,1.58
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202006,1.53
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202005,1.58
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202004,1.49
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202003,1.63
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202002,1.94
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202001,2.43
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201912,2.84
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201911,2.66
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201910,1.96
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201909,1.65
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201908,1.63
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201907,1.72
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201906,1.54
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201905,1.81
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201904,1.97
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201903,3.63
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201902,3.6
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201901,3.55
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201812,4.14
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201811,3.87
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201810,2.34
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201809,1.97
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201808,2.1
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201807,2.03
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201806,1.77
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201805,1.64
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201804,2.11
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201803,2.16
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201802,2.76
